tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,2,((3,(15,(((((16,17),((18,19),(20,21))),((22,((23,24),((25,26),(27,28)))),29)),30),31))),(((4,5),6),((7,8),((((9,10),(12,13)),14),11))))); -14145.4  -7.50836 240.261 116.449 26.7173 -14288.4 0.213495 0.250663 0.164581 0.371261   0.162657    0.20257   0.036607  0.0150269   0.579524 0.00361445
(1,2,((3,(15,(((((16,17),((18,19),(20,21))),((22,((23,24),((25,26),(27,28)))),29)),30),31))),(((4,5),6),((7,8),(((9,10),11),((12,13),14)))))); -14136.8  -7.85825 239.577 116.608 30.111 -14282 0.212972 0.243493 0.166097 0.377438   0.163052   0.188861  0.0427337  0.0121572   0.590704 0.00249189
(1,2,((3,(((4,5),6),((7,8),(((9,10),11),((12,13),14))))),(15,(((16,17),((18,19),(20,21))),(((((22,(23,24)),((25,26),(27,28))),29),30),31))))); -14128.4  -6.78902 245.892 116.368 33.1375 -14284.2 0.220531 0.225994 0.173105 0.380369   0.155064   0.201327  0.0498754  0.0106254   0.580735 0.00237267
(1,2,((3,(((4,5),6),((7,8),(((9,10),(12,13)),(11,14))))),(15,((((16,17),((18,19),(20,21))),(((22,((23,24),((25,26),(27,28)))),29),31)),30)))); -14141.4  -9.49647 240.472 116.221 31.8265 -14287.9 0.223536 0.225524 0.165032 0.385909    0.166895    0.204612   0.0506279  0.00909408    0.567929 0.000842174
(1,2,((3,((4,5),(6,((7,8),((((9,10),(12,13)),14),11))))),((15,30),((((16,17),((18,19),(20,21))),((((22,(25,26)),(23,24)),(27,28)),29)),31)))); -14156.1  -11.5422 240.758 116.611 31.1819 -14299.9 0.221266 0.236431 0.158142 0.384161     0.1502   0.206442  0.0431318  0.0112314   0.585017 0.00397803
(1,2,((3,(15,((((16,17),((18,19),(20,21))),29),((((22,(23,24)),((25,26),(27,28))),30),31)))),((4,5),(6,((7,8),((((9,10),(12,13)),14),11)))))); -14163.8  -10.329 243.769 116.584 29.7564 -14310.4 0.221313  0.21244  0.18434 0.381907    0.165419    0.215405   0.0470569  0.00964083    0.561545 0.000933534
(1,2,((3,((4,5),(6,((7,8),(((9,10),((12,13),14)),11))))),(15,(((16,17),((18,19),(20,21))),(((((22,(23,24)),((25,26),(27,28))),29),31),30))))); -14136.8  -7.46278 249.65 116.577 30.9584 -14293.4 0.211338 0.223324 0.177342 0.387996    0.14859   0.207856  0.0480951 0.00653049   0.586858 0.00207009
(1,2,((3,(15,(((((16,17),((18,19),(20,21))),(((22,((25,26),(27,28))),(23,24)),29)),31),30))),((4,5),(6,(((7,8),((9,10),((12,13),14))),11))))); -14142.7  -10.5035 244.716 116.331 30.1492 -14290.7 0.225149 0.231283 0.153019 0.390549   0.162453    0.19335  0.0500742  0.0132619   0.576857 0.00400361
(1,2,((3,(15,(((((16,17),((18,19),(20,21))),29),(30,31)),((22,(23,24)),((25,26),(27,28)))))),(((4,5),6),((7,8),(((9,10),((12,13),14)),11))))); -14147.9  -8.54215 253.459 116.679 27.1912 -14303.4 0.242566 0.217739 0.157015  0.38268    0.15589   0.216058  0.0601255 0.00766196   0.555683 0.00458155
(1,2,((3,(15,((((((16,17),((18,19),(20,21))),29),((22,(23,24)),((25,26),(27,28)))),30),31))),(((4,5),6),((7,8),((((9,10),(12,13)),14),11))))); -14129.7  -8.55717 257.11 116.873 30.4853 -14291.9 0.231403 0.229355 0.174807 0.364435    0.16841   0.207252  0.0561516 0.00873932   0.556357 0.00309042
(1,2,((3,(15,(((16,17),((18,19),(20,21))),((((22,(23,24)),((25,26),(27,28))),29),(30,31))))),((4,5),((6,(((9,10),((12,13),14)),11)),(7,8))))); -14171.7  -11.4592 249.497 117.091 29.8004 -14322.4 0.210729 0.231936 0.177001 0.380334   0.151861   0.222799  0.0492525   0.013453   0.561001 0.00163292
(1,2,((3,(15,((((16,17),((18,19),(20,21))),(((((22,(23,24)),25),(27,28)),26),29)),(30,31)))),(((4,5),6),((7,8),((((9,10),(12,13)),14),11))))); -14160.3  -11.5047 249.36 116.301 27.2279 -14309.1 0.199646 0.234745 0.178614 0.386995   0.163418   0.219229  0.0544849 0.00581215   0.554345 0.00271075
(1,2,((3,(((4,5),6),((7,8),(((9,10),((12,13),14)),11)))),(15,(((16,17),((18,19),(20,21))),(((22,((23,24),((25,26),(27,28)))),29),(30,31)))))); -14149.6  -5.37129 237.373 116.813 28.2989 -14293.1 0.242998 0.216698 0.158036 0.382268   0.156461   0.199499  0.0520648 0.00891443   0.576482 0.00657848
(1,2,((3,(15,(((16,17),((18,19),(20,21))),((((((22,(25,26)),(23,24)),(27,28)),29),30),31)))),(((4,5),6),(((7,8),((12,13),14)),((9,10),11))))); -14164.4  -12.4233 250.211 116.09 28.9457 -14315 0.219962 0.251097 0.174998 0.353944   0.163114   0.201542  0.0419021   0.011122   0.580826 0.00149316
(1,2,((3,((4,5),(6,((7,8),((((9,10),(12,13)),14),11))))),(15,((((16,17),((18,19),(20,21))),((22,(((23,24),(25,26)),(27,28))),29)),(30,31))))); -14149.6  -7.907 238.654 115.995 28.7779 -14293.1  0.23572 0.225013 0.153645 0.385623   0.170652   0.193366  0.0495683 0.00532517   0.577873  0.0032152
(1,2,((3,(((4,5),6),((7,8),((((9,10),(12,13)),14),11)))),(15,((((16,17),((18,19),(20,21))),((22,((23,24),((25,26),(27,28)))),29)),(30,31))))); -14136.8  -5.75046 242.518 115.677 28.8991 -14286.8 0.213662 0.243787 0.158678 0.383874   0.172001   0.203439  0.0376627   0.011588   0.572314 0.00299561
(1,2,((3,((4,5),(6,(((7,8),((9,10),((12,13),14))),11)))),(15,(((16,17),((18,19),(20,21))),(((22,((23,24),((25,26),(27,28)))),(29,30)),31))))); -14159.8  -10.0315 244.786 116.066 32.0129 -14310.5 0.214949 0.226976 0.166586 0.391488   0.160072   0.204578  0.0442456  0.0113705   0.575799 0.00393419
(1,2,((3,((4,5),(6,((7,8),(((9,10),(12,13)),(11,14)))))),(15,(((16,17),((18,19),(20,21))),((((22,(23,24)),((25,26),(27,28))),29),(30,31)))))); -14147.9  -6.99193 237.365 115.795 30.9526 -14293.4 0.215721 0.227957 0.162919 0.393403   0.158404   0.217385  0.0552658 0.00853695   0.558963 0.00144568
(1,2,((3,(((4,5),6),((7,8),(((9,10),(12,13)),(11,14))))),(15,(((16,17),((18,19),(20,21))),(((22,((23,24),((25,26),(27,28)))),29),(30,31)))))); -14152.2  -6.54658 241.532 116.777 29.167 -14299.6 0.235612 0.206726 0.161266 0.396396   0.164016   0.214642   0.048935  0.0106734   0.557616 0.00411726
(1,2,((3,(((4,5),6),((7,8),(((9,10),((12,13),14)),11)))),(15,(((((16,17),((18,19),(20,21))),((22,(((23,24),(25,26)),(27,28))),29)),30),31)))); -14151.9  -7.83325 240.481 116.516 24.6613 -14292.7 0.208553 0.230807 0.177267 0.383373   0.138042   0.210429  0.0383286  0.0117189   0.594836 0.00664566
(1,2,((3,(15,(((16,17),((18,19),(20,21))),((((22,(23,24)),((25,26),(27,28))),29),(30,31))))),(((4,5),6),((((7,8),14),(12,13)),((9,10),11))))); -14159.2  -11.3106 251.511 117.212 30.6189 -14312.8  0.21412 0.217902 0.171317  0.39666   0.156599   0.213396  0.0404017  0.0123712   0.574788 0.00244445
(1,2,((3,(((4,5),6),((7,8),(((9,10),((12,13),14)),11)))),(15,((((16,17),((18,19),(20,21))),(((22,(23,24)),((25,26),(27,28))),29)),(30,31))))); -14139.6  -4.45533 241.972 116.855 27.7165 -14288 0.208366 0.207874 0.194175 0.389585   0.16062   0.20762 0.0484479 0.0119844  0.568338 0.0029895
(1,2,((3,(15,(((((16,17),((18,19),(20,21))),((((22,(23,24)),(25,26)),(27,28)),29)),31),30))),(((4,5),6),(((7,8),11),((9,10),(12,(13,14))))))); -14149  -14.41 245.566 115.954 31.832 -14296 0.223693 0.227787 0.165178 0.383342   0.165496   0.203011  0.0505075  0.0135005   0.564295 0.00318989
(1,2,((3,(15,(((((16,17),((18,19),(20,21))),(((22,((23,24),(25,26))),(27,28)),29)),31),30))),(((4,5),6),((7,8),(((9,10),11),((12,13),14)))))); -14135.1  -9.0975 254.215 116.588 29.5216 -14293.1  0.20884 0.224812 0.175303 0.391044   0.160941   0.184378   0.043206  0.0100581   0.599631 0.00178567
