tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,2,((3,(((4,5),6),((7,8),(((((9,10),12),13),14),11)))),(15,(((((16,17),((18,19),(20,21))),(((22,(23,24)),((25,26),(27,28))),29)),30),31)))); -14282.1  -9.45598 248.984 116.198 28.1483 -14433.6 0.231962 0.216638 0.155625 0.395776   0.163117   0.185666  0.0717017  0.0219285   0.550815 0.00677179
(1,2,((3,(15,(((16,17),((18,19),(20,21))),(((((22,(23,24)),((25,26),(27,28))),29),30),31)))),((4,5),(6,(((7,8),((9,10),((12,13),14))),11))))); -14266  -8.27963 253.991 115.835 29.8057 -14425.7 0.225235  0.21458 0.179681 0.380504   0.149737   0.220151  0.0730641  0.0170208   0.533349 0.00667701
(1,2,((3,(15,((((16,17),((18,19),(20,21))),(((22,(23,24)),((25,26),(27,28))),29)),(30,31)))),(((4,5),6),((7,8),(((9,10),11),((12,13),14)))))); -14314.9  -5.45949 236.159 115.543 30.7809 -14460.8 0.211847 0.225698 0.168976  0.39348    0.13931   0.211426  0.0776586  0.0144108   0.551805 0.00538914
(1,2,((3,(((4,5),6),((7,8),(((9,10),((12,13),14)),11)))),(15,(((16,17),((18,19),(20,21))),(((((22,(23,24)),(25,26)),((27,28),29)),30),31))))); -14382.7  -9.90011 247.559 115.194 29.1085 -14534.3 0.219705 0.223299 0.161758 0.395238   0.145448   0.187515  0.0721375  0.0257396   0.563135 0.00602516
(1,2,((3,(15,(((16,17),((18,19),(20,21))),((((22,(23,24)),((25,26),(27,28))),29),(30,31))))),((4,5),(6,((7,8),(((9,10),((12,14),13)),11)))))); -14397.5  -8.93906 234.64 116.354 30.3744 -14537.2 0.228354 0.220739 0.170558 0.380349   0.149363   0.186975   0.072101  0.0213053   0.563403 0.00685274
(1,2,((3,(((4,5),6),((7,8),(((9,10),(12,13)),(11,14))))),(15,((((16,17),((18,19),(20,21))),((((22,(23,24)),(25,26)),(27,28)),29)),(30,31))))); -14285.4  -7.24368 238.208 115.515 26.3054 -14427.2 0.210442 0.241088 0.165949  0.38252   0.161648    0.18104  0.0670338  0.0218098     0.5594 0.00906823
(1,2,((3,(((4,5),6),((7,8),(((9,10),11),((12,13),14))))),(15,(((16,17),((18,19),(20,21))),((((22,((23,24),((25,26),(27,28)))),29),30),31))))); -14325.9  -6.74474 240.175 115.998 31.2927 -14474.6  0.21407 0.216057 0.178857 0.391016   0.153377   0.193645  0.0741387  0.0209964   0.549898 0.00794588
(1,2,((3,(((4,5),6),((7,8),(((9,10),(12,13)),(11,14))))),(15,((((16,17),((18,19),(20,21))),(((22,(23,24)),((25,26),(27,28))),29)),(30,31))))); -14587.5  -5.71326 222.589 114.544 30.6472 -14720.5 0.211719  0.22339 0.166532 0.398358   0.145059   0.216048  0.0790899  0.0192141   0.535092 0.00549791
(1,2,((3,(15,((((((16,17),((18,19),(20,21))),29),((22,(23,24)),((25,26),(27,28)))),30),31))),((4,5),(6,((7,8),(((9,10),((12,13),14)),11)))))); -14312.4  -8.20506 253.59 115.497 28.7958 -14471 0.203992 0.222324  0.17964 0.394043   0.160451   0.204071  0.0696918  0.0203658   0.541631 0.00378941
(1,2,((3,((4,5),(6,(((7,8),((9,10),((12,13),14))),11)))),(15,((((16,17),((18,19),(20,21))),((22,((23,24),((25,26),(27,28)))),29)),(30,31))))); -14374.3  -7.09413 240.073 114.378 21.1986 -14514.1 0.238292 0.246722 0.174698 0.340288   0.143809   0.216955  0.0688258  0.0184716   0.546427 0.00551181
