tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,((((2,3),4),5),12),(6,(((7,(8,9)),10),11))); -9136.93  -0.234218 76.4026 28.4149 0 -9184.68 0.248098 0.231388 0.203686 0.316828  0.0476859   0.317592  0.0751614  0.0135079   0.538174 0.00787876
(1,((((2,3),4),5),(6,(((7,(8,9)),10),11))),12); -9160.58  -1.56712 118.121 28.8019 0 -9248.33 0.248103 0.231386 0.203691 0.316821  0.0476829   0.317592  0.0751591  0.0135076    0.53818 0.00787848
(1,((((2,3),4),5),12),(6,(((7,(8,9)),10),11))); -9141.94  -0.234218 96.7463 29.5002 0 -9208.95 0.248098 0.231377 0.203692 0.316833  0.0476864   0.317592    0.07516  0.0135055   0.538176 0.00787965
(1,((((2,3),4),5),12),(6,(((7,(8,9)),10),11))); -9139.3  -0.234218 75.3959 29.0606 0 -9185.4 0.248097  0.23138 0.203692  0.31683  0.0476877   0.317589  0.0751606  0.0135081   0.538177 0.00787782
(1,((((2,3),4),5),12),(6,(((7,(8,9)),10),11))); -9142.45  -0.234218 77.7241 28.8547 0 -9191.08 0.248093 0.231381 0.203695 0.316831  0.0476858   0.317588  0.0751613  0.0135072    0.53818 0.00787777
(1,((((2,3),4),5),12),(6,(((7,(8,9)),10),11))); -9138.66  -0.234218 99.8646 29.8271 0 -9208.46 0.248098 0.231387 0.203686 0.316829  0.0476868   0.317587  0.0751578   0.013506   0.538185 0.00787817
(1,((((2,3),4),5),12),(6,(((7,(8,9)),10),11))); -9140.97  -0.234218 77.0838 29.2138 0 -9188.6 0.248096 0.231385 0.203685 0.316834  0.0476865   0.317582  0.0751655  0.0135075   0.538181 0.00787829
(1,((((2,3),4),5),(6,(((7,(8,9)),10),11))),12); -9136.4  -1.56712 73.1945 28.8314 0 -9179.2 0.248095 0.231385 0.203694 0.316826  0.0476859   0.317583  0.0751638  0.0135057   0.538183 0.00787851
(1,((((2,3),4),5),12),(6,(((7,(8,9)),10),11))); -9156.86  -0.234218 73.7016 28.5943 0 -9201.74 0.248095 0.231381 0.203695 0.316829  0.0476877   0.317592  0.0751588  0.0135086   0.538175 0.00787788
(1,((((2,3),4),5),12),(6,(((7,(8,9)),10),11))); -9140.93  -0.234218 inf 29.1351 0 -inf 0.248096  0.23138  0.20369 0.316834  0.0476861   0.317591  0.0751617  0.0135052   0.538177 0.00787949
(1,((((2,3),4),5),(6,(((7,(8,9)),10),11))),12); -9134.6  -1.56712 71.7168 29.9398 0 -9174.81 0.248099 0.231383  0.20369 0.316828  0.0476864   0.317593  0.0751603  0.0135081   0.538174 0.00787887
(1,((((2,3),4),5),12),(6,(((7,(8,9)),10),11))); -9138.31  -0.234218 82.6463 29.2365 0 -9191.49 0.248102  0.23138 0.203692 0.316826 0.0476867  0.317591 0.0751612  0.013505  0.538176 0.0078799
(1,((((2,3),4),5),(6,(((7,(8,9)),10),11))),12); -9164.6  -1.56712 82.07 29.2367 0 -9215.87   0.2481 0.231379 0.203693 0.316828  0.0476879   0.317591   0.075158  0.0135066   0.538179 0.00787764
(1,((((2,3),4),5),12),(6,(((7,(8,9)),10),11))); -9136.59  -0.234218 111.206 29.2329 0 -9218.33 0.248096 0.231387 0.203697  0.31682  0.0476854   0.317585  0.0751619  0.0135065   0.538184 0.00787764
(1,((((2,3),4),5),12),(6,(((7,(8,9)),10),11))); -9137.35  -0.234218 78.9192 29.6345 0 -9186.41 0.248105 0.231384 0.203694 0.316817  0.0476892   0.317589  0.0751566  0.0135076   0.538179 0.00787846
(1,((((2,3),4),5),(6,(((7,(8,9)),10),11))),12); -9125.88  -1.56712 80.2561 29.4078 0 -9175.16 0.248098 0.231385 0.203692 0.316825  0.0476865   0.317589  0.0751587  0.0135071    0.53818 0.00787817
(1,((((2,3),4),5),12),(6,(((7,(8,9)),10),11))); -9134.73  -0.234218 378.197 28.8307 0 -9483.86 0.248096  0.23138 0.203697 0.316826  0.0476856    0.31759   0.075157  0.0135073    0.53818 0.00787973
(1,((((2,3),4),5),12),(6,(((7,(8,9)),10),11))); -9152.66  -0.234218 73.7069 28.6523 0 -9197.48   0.2481 0.231387 0.203691 0.316823  0.0476841   0.317592  0.0751605  0.0135066   0.538177 0.00787972
(1,((((2,3),4),5),12),(6,(((7,(8,9)),10),11))); -9140.63  -0.234218 74.5542 30.1936 0 -9184.76   0.2481  0.23138 0.203686 0.316834  0.0476844   0.317589  0.0751615  0.0135071   0.538179 0.00787872
(1,((((2,3),4),5),12),(6,(((7,(8,9)),10),11))); -9140.38  -0.234218 81.2806 28.8611 0 -9192.56 0.248096 0.231392 0.203688 0.316824  0.0476873   0.317591  0.0751613  0.0135071   0.538174 0.00787902
(1,((((2,3),4),5),(6,(((7,(8,9)),10),11))),12); -9211.24  -1.56712 115.8 29.8951 0 -9295.57   0.2481 0.231386 0.203694 0.316819  0.0476862   0.317588   0.075161  0.0135072   0.538179 0.00787856
(1,((((2,3),4),5),12),(6,(((7,(8,9)),10),11))); -9139.97  -0.234218 81.1432 29.4188 0 -9191.46 0.248095 0.231387 0.203689 0.316829  0.0476863   0.317586  0.0751576  0.0135059   0.538185 0.00787912
(1,((((2,3),4),5),12),(6,(((7,(8,9)),10),11))); -9134.95  -0.234218 85.4421 29.3564 0 -9190.8 0.248099 0.231382 0.203689 0.316829  0.0476859   0.317592  0.0751639  0.0135084   0.538172 0.00787829
(1,((((2,3),4),5),12),(6,(((7,(8,9)),10),11))); -9137.81  -0.234218 81.4623 28.3402 0 -9190.7 0.248102  0.23138 0.203689 0.316829 0.0476848  0.317589 0.0751583 0.0135068  0.538182 0.0078784
(1,((((2,3),4),5),12),(6,(((7,(8,9)),10),11))); -9141.39  -0.234218 84.6045 28.8928 0 -9196.86   0.2481 0.231389 0.203688 0.316823  0.0476853   0.317596  0.0751619  0.0135073   0.538171 0.00787863
(1,((((2,3),4),5),(6,(((7,(8,9)),10),11))),12); -9199.83  -1.56712 72.6704 28.5206 0 -9242.42 0.248102 0.231382 0.203691 0.316825  0.0476864   0.317584  0.0751645  0.0135078   0.538179 0.00787856
(1,((((2,3),4),5),12),(6,(((7,(8,9)),10),11))); -9144.81  -0.234218 79.1353 28.5371 0 -9195.18 0.248099  0.23138 0.203695 0.316826  0.0476844   0.317581  0.0751602  0.0135075   0.538188 0.00787903
(1,((((2,3),4),5),12),(6,(((7,(8,9)),10),11))); -9142.51  -0.234218 79.0845 29.9328 0 -9191.43 0.248096 0.231385 0.203697 0.316822  0.0476844   0.317589  0.0751584  0.0135074   0.538182 0.00787825
(1,((((2,3),4),5),12),(6,(((7,(8,9)),10),11))); -9143.73  -0.234218 73.3859 29.2359 0 -9187.64   0.2481 0.231384 0.203685 0.316832  0.0476856   0.317592  0.0751618  0.0135073   0.538175 0.00787867
(1,((((2,3),4),5),(6,(((7,(8,9)),10),11))),12); -9143.74  -1.56712 78.6011 29.2638 0 -9191.51 0.248097 0.231381  0.20369 0.316833  0.047687  0.317593 0.0751584 0.0135066  0.538177 0.0078787
(1,((((2,3),4),5),(6,(((7,(8,9)),10),11))),12); -9124.76  -1.56712 79.8422 29.0468 0 -9173.99 0.248104 0.231382 0.203686 0.316828  0.0476854   0.317586  0.0751652  0.0135059   0.538178 0.00787955
(1,((((2,3),4),5),12),(6,(((7,(8,9)),10),11))); -9135.25  -0.234218 92.0546 29.7439 0 -9197.33   0.2481 0.231387 0.203688 0.316825 0.0476824  0.317588 0.0751646  0.013506  0.538179 0.0078803
(1,((((2,3),4),5),12),(6,(((7,(8,9)),10),11))); -9136.68  -0.234218 84.8265 28.863 0 -9192.41 0.248099 0.231387  0.20369 0.316824  0.0476879   0.317589  0.0751586   0.013507    0.53818 0.00787815
(1,((((2,3),4),5),12),(6,(((7,(8,9)),10),11))); -9142.62  -0.234218 73.3773 29.4345 0 -9186.32 0.248097 0.231383 0.203692 0.316828  0.0476852   0.317591  0.0751572  0.0135073    0.53818 0.00787869
(1,((((2,3),4),5),(6,(((7,(8,9)),10),11))),12); -9131.92  -1.56712 74.1736 29.0682 0 -9175.46 0.248098 0.231384 0.203694 0.316823   0.047688   0.317583  0.0751625  0.0135071   0.538179 0.00787983
(1,((((2,3),4),5),12),(6,(((7,(8,9)),10),11))); -9140.73  -0.234218 73.9131 28.0336 0 -9186.37 0.248088 0.231378 0.203701 0.316833  0.0476874   0.317587   0.075165  0.0135074   0.538174 0.00787923
(1,((((2,3),4),5),12),(6,(((7,(8,9)),10),11))); -9135.36  -0.234218 80.347 29.5206 0 -9185.95 0.248096 0.231389  0.20369 0.316825 0.0476844  0.317593 0.0751619  0.013507  0.538175 0.0078784
(1,((((2,3),4),5),12),(6,(((7,(8,9)),10),11))); -9136.93  -0.234218 82.484 28.9889 0 -9190.19 0.248099 0.231386 0.203688 0.316828  0.0476842   0.317587  0.0751615  0.0135066   0.538182 0.00787876
(1,((((2,3),4),5),12),(6,(((7,(8,9)),10),11))); -9137.94  -0.234218 inf 28.9212 0 -inf 0.248095 0.231388 0.203688 0.316829  0.0476848   0.317589   0.075162  0.0135068   0.538178 0.00787929
(1,((((2,3),4),5),12),(6,(((7,(8,9)),10),11))); -9140.05  -0.234218 150.037 28.989 0 -9260.86 0.248099 0.231382 0.203696 0.316824    0.04769   0.317587  0.0751594  0.0135086   0.538176 0.00787841
(1,((((2,3),4),5),12),(6,(((7,(8,9)),10),11))); -9141.69  -0.234218 676.882 29.1102 0 -9789.23 0.248094 0.231383 0.203692  0.31683  0.0476855   0.317589  0.0751628  0.0135059   0.538178 0.00787852
(1,((((2,3),4),5),12),(6,(((7,(8,9)),10),11))); -9139.17  -0.234218 91.1364 27.8464 0 -9202.22 0.248101 0.231386  0.20369 0.316824  0.0476869   0.317588  0.0751596   0.013507    0.53818 0.00787811
(1,((((2,3),4),5),12),(6,(((7,(8,9)),10),11))); -9133.88  -0.234218 79.197 28.8304 0 -9184.01 0.248093 0.231383 0.203692 0.316832  0.0476883   0.317593  0.0751586   0.013507   0.538173 0.00788009
(1,((((2,3),4),5),12),(6,(((7,(8,9)),10),11))); -9136.03  -0.234218 88.7953 29.3781 0 -9195.21 0.248099 0.231375 0.203695 0.316831  0.0476827    0.31759  0.0751639  0.0135072   0.538176 0.00788003
(1,((((2,3),4),5),12),(6,(((7,(8,9)),10),11))); -9140.06  -0.234218 80.8745 29.2694 0 -9191.43 0.248098 0.231382 0.203689  0.31683  0.0476859   0.317591   0.075154  0.0135078   0.538183 0.00787875
(1,((((2,3),4),5),12),(6,(((7,(8,9)),10),11))); -9135.53  -0.234218 83.629 29.1232 0 -9189.8 0.248097 0.231388 0.203687 0.316828  0.0476854   0.317588  0.0751589  0.0135072   0.538182 0.00787917
(1,((((2,3),4),5),12),(6,(((7,(8,9)),10),11))); -9141.51  -0.234218 115.54 27.6808 0 -9229.14 0.248098 0.231386 0.203688 0.316829  0.0476872   0.317581   0.075161  0.0135051   0.538186 0.00787939
(1,((((2,3),4),5),12),(6,(((7,(8,9)),10),11))); -9140.38  -0.234218 90.1438 28.8955 0 -9201.4 0.248104 0.231384  0.20369 0.316822  0.0476862   0.317588  0.0751617  0.0135074   0.538178 0.00787895
(1,((((2,3),4),5),12),(6,(((7,(8,9)),10),11))); -9142.38  -0.234218 75.8412 27.9956 0 -9189.99   0.2481 0.231383 0.203693 0.316824  0.0476872   0.317592  0.0751616  0.0135054   0.538174 0.00787979
(1,((((2,3),4),5),(6,(((7,(8,9)),10),11))),12); -9128.97  -1.56712 77.3899 29.7874 0 -9175   0.2481 0.231386 0.203689 0.316824  0.0476887   0.317591  0.0751615  0.0135066   0.538172 0.00788039
(1,((((2,3),4),5),12),(6,(((7,(8,9)),10),11))); -9138.69  -0.234218 85.0795 29.2613 0 -9194.27 0.248104 0.231379 0.203688 0.316829    0.04769   0.317585  0.0751574   0.013507   0.538181 0.00787946
(1,((((2,3),4),5),12),(6,(((7,(8,9)),10),11))); -9139.45  -0.234218 83.3691 30.8009 0 -9191.78 0.248095 0.231386 0.203693 0.316826  0.0476866    0.31759  0.0751627  0.0135056   0.538176 0.00787891
