tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,((2,3),(((4,5),(22,23)),((((6,7),(8,(9,10))),(((13,14),15),((18,19),(20,21)))),((11,12),(16,17))))),24); -9836.79  -3.30222 193.411 92.827 29.8896 -9963.96 0.242336 0.251618 0.175794 0.330251  0.373369  0.171202  0.114701 0.0281359  0.296534 0.0160579
(1,((((((2,3),(16,17)),((6,7),(8,(9,10)))),(((4,5),(22,23)),(11,12))),((15,(18,19)),(20,21))),(13,14)),24); -9872.57  -10.0385 198.16 92.9723 27.8489 -9995.57 0.250268 0.241108 0.186259 0.322365  0.378733  0.166675  0.128585 0.0349348  0.275735 0.0153376
(1,((2,3),(((4,5),(22,23)),(((((6,7),8),(9,10)),((((13,14),15),(20,21)),(18,19))),((11,12),(16,17))))),24); -9836.47  -8.49665 208.479 92.969 26.7344 -9970.21 0.248962 0.258843 0.180306 0.311888  0.369072  0.152727   0.11758 0.0485079  0.293745 0.0183675
(1,(((((2,3),(4,5)),(((6,7),(8,(9,10))),(20,21))),(22,23)),((11,12),((((13,14),15),(18,19)),(16,17)))),24); -9840.16  -12.2933 205.132 93.4202 27.8575 -9967.44 0.232438 0.256624 0.178527 0.332411  0.354553  0.164803  0.130313 0.0379658  0.293134 0.0192319
(1,(((((2,3),(4,5)),((11,12),(((13,14),15),(16,17)))),(((18,19),(20,21)),(22,23))),(((6,7),8),(9,10))),24); -9831.02  -11.5941 201.296 93.4102 28.5434 -9955.85 0.250866 0.248729 0.175357 0.325049  0.364669  0.171305 0.0999145   0.04255  0.307438  0.014124
(1,(((((((2,3),(6,7)),8),(((16,17),22),23)),(4,5)),(((11,12),(20,21)),(((13,14),15),(18,19)))),(9,10)),24); -9892.3  -15.6226 211.3 93.0648 24.3482 -10019.3 0.238204 0.265367  0.18153 0.314899   0.35292   0.16228  0.140636 0.0408414  0.285757  0.017566
(1,((((2,3),(4,5)),((((6,7),(8,(9,10))),(((13,14),15),((18,19),(20,21)))),((11,12),(16,17)))),(22,23)),24); -9833.02  -5.68585 200.127 93.1951 29.797 -9964.06 0.246345 0.252234 0.169294 0.332127  0.354282  0.165408  0.112239 0.0403479  0.308059 0.0196637
(1,((2,3),((4,5),((((6,7),(((11,12),(16,17)),((13,14),15))),((8,9),(10,((18,19),(20,21))))),(22,23)))),24); -9852.32  -10.7669 205.376 92.6253 27.2494 -9981.55  0.25408 0.257512 0.162854 0.325554  0.359468  0.149153  0.132425 0.0357797  0.305462 0.0177123
(1,(((((2,(3,(16,17))),((6,7),(8,(9,10)))),(((11,12),(22,23)),(20,21))),(4,5)),(((13,14),15),(18,19))),24); -9859.53  -12.658 205.869 92.8578 29.0124 -9988.89 0.239009 0.250455  0.18288 0.327656  0.392115  0.154265  0.103956 0.0352465  0.297763 0.0166542
(1,(((((((2,3),((((6,7),8),20),(9,10))),(4,5)),(((11,12),(16,17)),((13,14),15))),(22,23)),(18,19)),21),24); -9871.78  -8.40649 202.874 93.1405 28.4772 -10001.6  0.24861 0.240003 0.184081 0.327306  0.359166  0.164782  0.112805 0.0304296  0.310769 0.0220494
(1,((2,3),((((4,5),((11,12),(22,23))),((((13,14),15),(16,17)),((18,19),(20,21)))),((6,7),(8,(9,10))))),24); -9835.74  -7.37021 205.398 92.9989 25.584 -9966.35 0.238051 0.229241 0.186715 0.345993  0.354461  0.161712  0.129156 0.0368018  0.303058 0.0148119
(1,(2,(3,((4,5),((((((6,7),(8,(9,10))),((18,19),(20,21))),((13,14),15)),((11,12),(16,17))),(22,23))))),24); -9833.71  -6.33569 203.81 93.0293 29.7623 -9967.92  0.24957 0.254006  0.16754 0.328884  0.367237  0.154514  0.112738 0.0414718  0.305471 0.0185681
(1,((((((2,3),(((((6,7),8),(9,10)),(20,21)),(16,17))),((4,5),(22,23))),(11,12)),(18,19)),((13,14),15)),24); -9854.31  -12.6506 204.05 92.9459 27.9451 -9980.71 0.246936 0.256891 0.165261 0.330913  0.357465  0.169948 0.0994008 0.0427178    0.3123 0.0181682
(1,(2,(3,(((((4,5),(13,14)),(((11,12),(16,17)),(22,23))),((15,(18,19)),(20,21))),((6,7),(8,(9,10)))))),24); -9868.22  -12.891 204.279 92.9511 26.3248 -9992.98 0.268003 0.243527 0.166828 0.321642  0.381561  0.165042  0.104882 0.0446227  0.284495 0.0193973
(1,((2,3),((4,5),((((((6,7),(8,(9,10))),(16,17)),((11,12),((15,(18,19)),(20,21)))),(13,14)),(22,23)))),24); -9862.46  -8.66396 202.042 93.2725 27.7809 -9990.35 0.246896 0.247312 0.176804 0.328988   0.38568  0.152426  0.121843 0.0310131  0.284508 0.0245301
