tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,2,((3,(((4,5),14),((6,7),(((8,9),((10,13),12)),11)))),(15,((((16,17),((18,19),(20,21))),(((24,(25,26)),((27,28),(29,30))),31)),(22,23))))); -14135.3  -7.2553 247.575 117.229 29.5961 -14288 0.235729 0.220268 0.156788 0.387215    0.14026   0.193797  0.0499297  0.0126565   0.600419 0.00293739
(1,2,((3,(((4,5),14),((6,7),(((8,9),11),((10,12),13))))),(15,((((16,17),((18,19),(20,21))),(((24,(25,26)),((27,28),(29,30))),31)),(22,23))))); -14127.1  -2.10996 250.691 117.208 27.5546 -14286 0.242005  0.21652 0.174498 0.366976   0.160461   0.204184  0.0541203 0.00760158   0.568476 0.00515725
(1,2,((3,(((4,5),14),((6,7),(((8,9),((10,12),13)),11)))),(15,(((16,17),((18,19),(20,21))),((22,23),(((24,((25,26),(27,28))),(29,30)),31)))))); -14150.5  -8.10857 242.121 116.016 29.4999 -14298 0.227597 0.235138 0.159686 0.377579   0.164822   0.176364  0.0531731  0.0115283   0.589848 0.00426449
(1,2,((3,(((4,5),14),((6,7),(((8,9),11),((10,12),13))))),(15,((((16,17),((18,19),(20,21))),(((24,((27,28),(29,30))),(25,26)),31)),(22,23))))); -14131.8  -4.68619 248.186 117.24 30.5096 -14288.5 0.240289 0.218763 0.157304 0.383644   0.145727   0.203355  0.0501977 0.00900031   0.587993 0.00372625
(1,2,((3,(((4,5),14),((6,7),(((8,9),((10,12),13)),11)))),(15,((((16,17),((18,19),(20,21))),(((24,(25,26)),((27,28),(29,30))),31)),(22,23))))); -14126.2  -2.91683 253.634 116.831 29.2979 -14289.4  0.21405 0.229384 0.146717  0.40985   0.157701   0.202159  0.0475398  0.0102171   0.579875 0.00250832
(1,2,((3,(((4,5),14),((6,7),(((8,9),11),((10,12),13))))),(15,((((16,17),((18,19),(20,21))),(((24,(25,26)),((27,28),(29,30))),31)),(22,23))))); -14116.8  -2.10996 251.609 116.228 33.0936 -14283.2 0.232201 0.228392 0.159538 0.379869   0.152287   0.212304  0.0484009   0.012226   0.572255 0.00252742
(1,2,((3,(((4,5),14),((6,7),(((8,9),11),((10,12),13))))),(15,((((16,17),((18,19),(20,21))),(22,23)),((((24,(25,26)),(27,28)),(29,30)),31))))); -14133.4  -10.7375 258.064 116.758 29.2489 -14293.2 0.231484 0.234026 0.160058 0.374433    0.15324   0.196377  0.0423736  0.0155552   0.588397 0.00405792
(1,2,((3,(((4,5),14),((6,7),(((8,9),11),((10,12),13))))),(15,((((16,17),((18,19),(20,21))),((((24,(25,26)),(27,28)),(29,30)),31)),(22,23))))); -14129.2  -5.50125 252.032 117.078 31.8983 -14290.6 0.217011 0.233661 0.168424 0.380904   0.157962   0.189886  0.0530064  0.0142561    0.58194 0.00294907
(1,2,((3,(15,(((16,17),((18,19),(20,21))),((22,(((24,(25,26)),((27,28),(29,30))),31)),23)))),(((4,5),14),((6,7),(((8,9),11),((10,12),13)))))); -14131  -5.73732 253.983 116.043 31.7315 -14294.9 0.222397 0.239082 0.160007 0.378514   0.162382   0.210805  0.0509723  0.0113459   0.560341 0.00415391
(1,2,((3,(((4,5),14),((6,7),(((8,9),11),((10,12),13))))),(15,((((16,17),((18,19),(20,21))),(((24,(25,26)),((27,28),(29,30))),31)),(22,23))))); -14128.2  -2.10996 246.492 116.411 30.4464 -14286.6 0.215384 0.219332 0.166221 0.399063  0.168267  0.214545 0.0435281 0.0114445  0.559089 0.0031268
(1,2,((3,(((4,5),14),((6,7),(((8,9),11),((10,12),13))))),(15,((((16,17),((18,19),(20,21))),(((24,(25,26)),((27,28),(29,30))),31)),(22,23))))); -14122.2  -2.10996 251.129 117.332 32.6953 -14286.6 0.230755 0.220673 0.170596 0.377975   0.151176    0.19623  0.0466758  0.0100631   0.591973 0.00388186
