tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,2,((3,((4,5),(((6,7),(((8,9),(10,12)),(11,13))),14))),(15,(((16,17),((18,19),(20,21))),((22,23),(24,((((25,26),(28,(29,30))),27),31))))))); -12744.8  -13.8347 230.882 114.013 31.2007 -12879 0.223302 0.230371 0.167991 0.378337   0.150611   0.202582  0.0557919  0.0123469   0.574801 0.00386682
(1,2,((3,(((4,5),((6,7),(((8,9),(10,(11,12))),13))),14)),(15,((((16,17),((18,19),(20,21))),((24,((25,26),((27,28),(29,30)))),31)),(22,23))))); -12739.3  -8.73589 222.916 113.619 29.1458 -12869 0.243936 0.225214 0.163399 0.367451    0.16151   0.202528  0.0565634  0.0167606   0.555604 0.00703395
(1,2,((3,(15,(((((16,17),((18,19),(20,21))),(((24,(25,26)),(27,(28,(29,30)))),31)),22),23))),(((4,5),14),((6,7),((((8,9),11),(10,12)),13))))); -12745.8  -12.0636 229.666 113.559 30.4419 -12880.3 0.241042  0.22885 0.163583 0.366524    0.14585   0.207041  0.0528191 0.00958414   0.578586 0.00611888
(1,2,((3,((4,5),((((6,7),(8,9)),(((10,12),11),13)),14))),(15,(((16,17),((18,19),(20,21))),((22,23),((24,((25,26),((27,28),(29,30)))),31)))))); -12734.6  -12.7605 225.378 113.895 29.834 -12863.2 0.219618 0.228468 0.185405 0.366508   0.154094   0.201586  0.0595846   0.015355   0.567653 0.00172743
(1,2,((3,(((4,5),14),((6,7),(((8,9),11),((10,12),13))))),((15,((((16,17),((18,19),(20,21))),31),(24,((25,26),((27,28),(29,30)))))),(22,23)))); -12754.1  -10.8709 213.369 114.329 30.5783 -12872.9 0.225009 0.226316 0.177453 0.371223    0.14951   0.192998  0.0568351  0.0158581    0.58029 0.00450837
(1,2,((3,(((4,5),14),(((6,7),(8,9)),(((10,13),11),12)))),(15,(((((16,17),((18,19),(20,21))),31),22),(23,(24,((25,26),(27,(28,(29,30)))))))))); -12772.6  -17.9193 219.925 114.178 30.2302 -12890.7 0.221196 0.220639 0.183844 0.374321   0.164753   0.193251  0.0610601  0.0103741   0.565117 0.00544519
(1,2,((3,(((4,5),((6,7),(((8,9),(10,12)),(11,13)))),14)),(15,((((16,17),((18,19),(20,21))),(((24,((27,28),(29,30))),(25,26)),31)),(22,23))))); -12733.6  -8.86203 224.957 113.938 31.1837 -12866.9 0.234375 0.215088 0.172102 0.378435   0.161144   0.199991   0.066643  0.0108775    0.55918 0.00216485
(1,2,((3,(((4,5),14),((6,7),(((8,9),((11,13),12)),10)))),(15,((((16,17),((18,19),(20,21))),(((24,((27,28),(29,30))),(25,26)),31)),(22,23))))); -12721.2  -11.4324 227.691 113.496 32.6664 -12856.7 0.237313 0.217188  0.17973 0.365768   0.156318   0.196701  0.0629958  0.0104656   0.569534 0.00398542
(1,2,((3,(((4,5),((6,7),(((((8,9),11),10),13),12))),14)),(15,((((16,17),((18,19),(20,21))),((24,((25,26),(27,(28,(29,30))))),31)),(22,23))))); -12733.7  -8.87681 228.755 114.371 26.8699 -12866.1   0.2642 0.210342 0.180302 0.345156   0.153164   0.198284  0.0605821  0.0106765   0.573097 0.00419687
(1,2,((3,((4,5),(((6,7),(((8,9),((10,13),11)),12)),14))),((15,23),((((16,17),((18,19),(20,21))),22),((24,((25,26),(27,(28,(29,30))))),31))))); -12757.4  -13.2038 222.525 114.172 28.0232 -12880.6 0.225766 0.218942  0.18968 0.365612   0.164607   0.213906  0.0588815  0.0137069   0.539351 0.00954849
