tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,2,((3,(((4,5),14),((6,7),((((8,9),11),13),(10,12))))),(((15,23),(((16,17),((18,19),(20,21))),((24,((25,26),((27,28),(29,30)))),31))),22))); -12750  -12.7228 225.132 113.831 30.5102 -12879.1 0.230433 0.230597 0.161797 0.377174    0.14924   0.213032  0.0472244  0.0120449   0.572342 0.00611585
(1,2,((3,((((4,5),14),(6,7)),((((8,9),11),(10,12)),13))),(15,((((16,17),((18,19),(20,21))),(((24,(27,(28,(29,30)))),(25,26)),31)),(22,23))))); -12744.2  -11.6388 222.343 114.263 30.1541 -12870.8 0.235574 0.225551 0.173988 0.364886   0.165454   0.217358  0.0552212 0.00982034   0.549729 0.00241758
(1,2,((3,((15,(((16,17),((18,19),(20,21))),(((24,(27,(28,(29,30)))),(25,26)),31))),(22,23))),((4,5),(((6,7),14),((8,9),(10,((11,13),12))))))); -12783.7  -17.0914 230.531 114.844 26.6075 -12908.9 0.225078 0.218999 0.176692 0.379231   0.176319   0.207282  0.0575288  0.0161706   0.539625 0.00307568
(1,2,((3,((4,5),(((6,7),((8,9),((10,(11,12)),13))),14))),(15,(((16,17),((18,19),(20,21))),((22,23),((((24,27),(28,(29,30))),(25,26)),31)))))); -12724  -12.2033 226.947 114.044 28.4678 -12853.1 0.234653 0.208412 0.173963 0.382972   0.163004   0.211823  0.0596969   0.015033   0.542655 0.00778892
(1,2,((3,((4,5),(((6,7),((((8,9),13),(11,12)),10)),14))),(15,((((16,17),((18,19),(20,21))),((22,31),23)),(24,((25,26),((27,28),(29,30)))))))); -12766.1  -14.6625 218.49 113.932 29.4429 -12885.4 0.224286 0.222392  0.16611 0.387213   0.144987   0.208654  0.0516087 0.00793369   0.583736  0.0030797
(1,2,((3,(((4,5),14),((6,7),((((8,9),11),13),(10,12))))),(15,((((16,17),((18,19),(20,21))),((24,((25,26),(27,(28,(29,30))))),31)),(22,23))))); -12727.6  -7.34279 223.547 113.48 23.0132 -12853.3 0.228873 0.221076 0.162912 0.387139   0.142061   0.164978   0.052163  0.0116148   0.626868 0.00231524
(1,2,((3,((15,(22,23)),((((16,17),((18,19),(20,21))),31),((24,(27,(28,(29,30)))),(25,26))))),((((4,5),(6,7)),((8,9),(((10,12),11),13))),14))); -12794.1  -18.7944 221.111 113.465 31.5117 -12914.5 0.242144 0.218408 0.165536 0.373912   0.155405   0.205876  0.0490426  0.0100627    0.57694 0.00267394
(1,2,((3,(((4,5),14),((6,7),(((8,9),(10,12)),(11,13))))),(15,((((16,17),((18,19),(20,21))),((24,((25,26),(27,(28,(29,30))))),31)),(22,23))))); -12745.9  -8.07893 204.08 112.994 30.3986 -12859.3 0.228227 0.227637 0.170411 0.373724   0.152693   0.221825  0.0549327  0.0117689   0.550997 0.00778263
(1,2,((3,((4,5),(((6,7),((((8,9),13),11),(10,12))),14))),((15,23),((((16,17),((18,19),(20,21))),((((24,27),(28,(29,30))),(25,26)),31)),22)))); -12770.8  -14.8595 215.384 112.934 28.7657 -12887.2 0.241031 0.225265 0.172969 0.360735   0.144251   0.198459   0.041442 0.00907113    0.60164 0.00513625
(1,2,((3,(((4,5),14),((6,7),((((8,9),10),(11,13)),12)))),(15,(((((16,17),((18,19),(20,21))),31),(22,23)),(24,((25,26),(27,(28,(29,30))))))))); -12738.9  -10.3227 214.089 112.924 29.3991 -12859.2 0.228952 0.217333 0.169888 0.383827   0.149449   0.221988  0.0455521  0.0140048   0.561886 0.00711994
(1,2,((3,(((15,31),((16,17),((18,19),(20,21)))),((22,23),(((24,27),(25,26)),(28,(29,30)))))),(((4,5),14),((6,7),(((8,9),(10,(11,12))),13))))); -12775.7  -19.2263 221.73 113.527 30.6905 -12895.4 0.226015 0.220559 0.169354 0.384073   0.165673   0.198918  0.0488124  0.0133947   0.568992 0.00421071
(1,2,((3,(((4,5),14),((6,7),(((((8,9),11),10),12),13)))),(15,((((16,17),((18,19),(20,21))),(((24,(27,(28,(29,30)))),(25,26)),31)),(22,23))))); -12732.2  -9.05907 216.826 114.086 31.7736 -12857.7  0.22848 0.226061 0.175027 0.370433   0.157927   0.207577   0.045157  0.0123897   0.571526 0.00542378
(1,2,(3,((((4,5),14),((6,7),(((8,9),11),((10,12),13)))),(15,((((16,17),((18,19),(20,21))),((24,((25,26),(27,(28,(29,30))))),31)),(22,23)))))); -12738.9  -10.1797 223.684 114.92 27.6787 -12865.2 0.242692 0.204752 0.193245 0.359311   0.148821    0.20873  0.0432175  0.0117124   0.580085 0.00743365
(1,2,(3,((((4,5),14),((6,7),((8,9),(((10,12),11),13)))),(15,((((16,17),((18,19),(20,21))),((((24,27),28),((25,26),(29,30))),31)),(22,23)))))); -12770.7  -16.32 214.175 114.137 29.0046 -12883.4 0.214726 0.230518 0.176348 0.378408  0.147414  0.193535 0.0545557  0.012992  0.583929 0.0075747
(1,2,((3,(((4,5),14),((6,7),((((8,9),13),(10,11)),12)))),(15,((((16,17),((18,19),(20,21))),((24,((25,26),((27,28),(29,30)))),31)),(22,23))))); -12731.3  -8.05643 219.795 113.79 30.6102 -12859.8 0.232487 0.226976 0.182874 0.357663   0.152593   0.220738  0.0543815  0.0101232    0.55505 0.00711493
(1,2,((3,(((4,5),14),((6,7),((((8,9),11),(10,12)),13)))),(15,((((16,17),((18,19),(20,21))),(((24,(27,(28,(29,30)))),(25,26)),31)),(22,23))))); -12714.7  -7.3012 229.151 114.315 32.2612 -12854.5 0.224587 0.217448 0.185311 0.372654   0.154196    0.20266  0.0491921  0.0105479   0.579451 0.00395344
(1,2,((3,(15,((((16,17),((18,19),(20,21))),((((24,(29,30)),(27,28)),(25,26)),31)),(22,23)))),(((4,5),14),((6,7),((((8,9),11),(10,13)),12))))); -12748.9  -11.8548 228.857 115.416 26.5002 -12877 0.237264 0.194347 0.174985 0.393404   0.150734   0.220164  0.0509078 0.00859176   0.566932 0.00267012
(1,2,((3,(15,(((((16,17),((18,19),(20,21))),31),(24,((25,26),((27,28),(29,30))))),(22,23)))),(((4,5),(((((6,7),10),13),12),((8,9),11))),14))); -12766.9  -13.7987 221.547 113.314 30.3763 -12891.7 0.243384  0.21529 0.175607  0.36572   0.147293   0.204269   0.056033  0.0161174    0.56915 0.00713767
(1,2,((3,(((4,5),14),((6,7),(((8,9),11),((10,13),12))))),(15,(((16,17),((18,19),(20,21))),((22,23),((24,((25,26),(27,(28,(29,30))))),31)))))); -12725.3  -9.78246 223.565 113.288 27.9866 -12853.8 0.242678  0.22604 0.173483 0.357798   0.136085   0.208673  0.0620377  0.0110774   0.579882 0.00224481
(1,2,((3,((4,5),(((6,7),((((8,9),(11,13)),10),12)),14))),(15,(((((16,17),((18,19),(20,21))),31),(24,((25,26),(27,(28,(29,30)))))),(22,23))))); -12728.9  -9.47487 223.176 113.279 30.4712 -12859.8  0.24011 0.218891 0.173822 0.367177   0.160206   0.204242   0.048874 0.00706456   0.575356 0.00425768
(1,2,((3,(((4,5),14),((6,7),((((8,9),10),(11,13)),12)))),(15,((((16,17),((18,19),(20,21))),((((24,28),(27,(29,30))),(25,26)),31)),(22,23))))); -12731.2  -9.58026 224.606 113.407 32.182 -12865 0.234332 0.213266 0.189026 0.363376   0.154149   0.207536  0.0527784  0.0103794   0.569903 0.00525491
