tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,2,((3,(((4,5),14),((6,7),(((8,9),(10,12)),(11,13))))),(15,((((16,17),((18,19),(20,21))),((24,(((25,26),(28,(29,30))),27)),31)),(22,23))))); -12730.2  -10.0301 225.827 114.508 29.0039 -12860.5 0.233051 0.229364 0.183702 0.353883   0.150724   0.205115  0.0470834  0.0108635   0.577948 0.00826535
(1,2,((3,(15,(((((16,17),((18,19),(20,21))),(((24,(((25,26),28),27)),(29,30)),31)),22),23))),(((4,5),((6,7),((8,9),(((10,12),13),11)))),14))); -12767.8  -16.1211 230.601 114.288 28.1356 -12896.1 0.230423 0.218014 0.187506 0.364057   0.148758   0.184944  0.0487345  0.0137675    0.60158 0.00221589
(1,2,((3,((4,5),(((6,7),((8,9),(10,((11,12),13)))),14))),(15,((((16,17),((18,19),(20,21))),(((24,(27,(28,(29,30)))),(25,26)),31)),(22,23))))); -12730.6  -10.9311 224.135 113.573 27.2884 -12857.6 0.231567  0.22339 0.164051 0.380992   0.145172   0.184963  0.0572229  0.0041884    0.60277 0.00568422
(1,2,((3,((4,5),(((6,7),((((8,9),(11,13)),10),12)),14))),(15,(((((16,17),((18,19),(20,21))),31),((24,(27,(28,(29,30)))),(25,26))),(22,23))))); -12742.2  -9.91319 210.751 113.96 28.4702 -12857.6 0.249578 0.221161 0.170311  0.35895   0.153297   0.214164  0.0565141  0.0173885   0.553056 0.00558186
(1,2,((3,((4,5),(((6,7),(((((8,9),11),10),13),12)),14))),(15,((((16,17),((18,19),(20,21))),((((24,(29,30)),(27,28)),(25,26)),31)),(22,23))))); -12729.4  -12.9458 227.096 114.084 30.6064 -12860.1 0.232356 0.223874 0.176756 0.367014   0.157795   0.211743  0.0493333 0.00712226   0.568519 0.00548723
(1,2,((3,(((4,5),14),((6,7),((8,9),((10,12),(11,13)))))),(15,(((((16,17),((18,19),(20,21))),22),((((24,(27,28)),(29,30)),(25,26)),31)),23)))); -12763.2  -12.0088 197.585 114.965 30.4245 -12864.3 0.228453 0.226758 0.169932 0.374857   0.155228   0.207108   0.055274 0.00887712   0.565888  0.0076247
(1,2,((3,(((4,5),14),((6,7),((((8,9),11),(10,12)),13)))),(15,((((16,17),((18,19),(20,21))),((24,((25,26),(27,(28,(29,30))))),31)),(22,23))))); -12716.6  -6.82856 230.108 113.964 29.5946 -12855.5 0.235423 0.212366 0.169848 0.382363   0.158781   0.218503  0.0560696  0.0112354   0.548423 0.00698874
(1,2,((3,(((4,5),((6,7),((((8,9),10),(11,13)),12))),14)),((15,(22,23)),((((16,17),((18,19),(20,21))),31),((24,(27,(28,(29,30)))),(25,26)))))); -12762.8  -12.6488 214.099 113.132 25.9507 -12877.1 0.250853 0.231551 0.178716  0.33888    0.13826   0.208015   0.049084 0.00940892   0.587045 0.00818772
(1,2,((3,((4,5),(((6,7),(((8,9),13),((10,11),12))),14))),(15,((((16,17),((18,19),(20,21))),((24,((25,26),((27,28),(29,30)))),31)),(22,23))))); -12745.4  -10.333 220.023 113.157 28.7493 -12870.7  0.23049 0.215765 0.175678 0.378067   0.133743   0.223533   0.051686  0.0120654    0.56965 0.00932327
(1,2,((3,(15,(((((16,17),((18,19),(20,21))),31),((24,((25,26),(27,28))),(29,30))),(22,23)))),(((4,5),14),((6,7),(((8,9),13),((10,12),11)))))); -12745  -13.1987 226.31 114.302 29.7806 -12873.6 0.243312 0.209401 0.168182 0.379105   0.147347   0.194033  0.0548978  0.0078031   0.592244 0.00367426
