(1,2,((((((3,13),((((8,9),11),12),10)),(6,7)),(4,5)),14),(15,(((((16,17),((18,19),(20,21))),31),(23,((24,(25,26)),(27,(28,(29,30)))))),22)))); 0.00010000 0.00000000  -4.00000000  -9.45134525
(1,2,(((((3,(15,((((16,17),((18,19),(20,21))),((24,((25,26),(27,(28,(29,30))))),31)),(22,23)))),((((8,9),11),(10,12)),13)),(6,7)),(4,5)),14)); 0.00010000 0.00000028  -4.00000000  -6.55234542
(1,2,(((((3,13),((6,7),(((8,9),10),(11,12)))),(4,5)),14),(15,((((16,17),((18,19),(20,21))),(((24,((27,28),(29,30))),(25,26)),31)),(22,23))))); 0.00010000 0.00000015  -4.00000000  -6.83801547
(1,2,(((((3,13),((6,7),((8,9),((10,12),11)))),(4,5)),14),(15,(((16,17),((18,19),(20,21))),((22,23),((24,((25,26),((27,28),(29,30)))),31)))))); 0.00010000 0.00000014  -4.00000000  -6.85652967
(1,2,((((3,((((((6,7),(8,9)),10),11),12),13)),(4,5)),14),((15,((16,17),((18,19),(20,21)))),((22,23),(((24,(25,26)),(27,(28,(29,30)))),31))))); 0.00010000 0.00000000  -4.00000000  -9.52512257
(1,2,((((3,(((((6,7),(8,9)),(11,12)),10),13)),(4,5)),14),(15,(((((16,17),((18,19),(20,21))),31),(22,23)),((24,(25,26)),(27,(28,(29,30)))))))); 0.00010000 0.00000000  -4.00000000  -9.42914297
(1,2,((((3,(((((6,7),(8,9)),10),(11,12)),13)),(4,5)),14),(15,(((((16,17),((18,19),(20,21))),31),(22,23)),((24,((27,28),(29,30))),(25,26)))))); 0.00010000 0.00000000  -4.00000000  -8.30620906
(1,2,((((3,(((((6,7),10),(8,9)),(11,12)),13)),(4,5)),14),(15,(((((16,17),((18,19),(20,21))),31),(24,((25,26),(27,(28,(29,30)))))),(22,23))))); 0.00010000 0.00000012  -4.00000000  -6.90608739
(1,2,((((3,(((((6,7),10),12),((8,9),11)),13)),(4,5)),14),(15,(((((16,17),((18,19),(20,21))),31),((24,27),((25,26),(28,(29,30))))),(22,23))))); 0.00010000 0.00000001  -4.00000000  -8.20665905
(1,2,((((3,(((((6,7),12),(10,11)),(8,9)),13)),(4,5)),14),((15,(((16,17),((18,19),(20,21))),((24,(((25,26),(28,(29,30))),27)),31))),(22,23)))); 0.00010000 0.00000000  -4.00000000  -9.84793409
(1,2,((((3,(((((8,9),11),10),12),13)),((4,5),(6,7))),14),(15,(((((16,17),((18,19),(20,21))),31),((24,(27,(28,(29,30)))),(25,26))),(22,23))))); 0.00010000 0.00000001  -4.00000000  -8.13538706
(1,2,((((3,((((6,7),((8,9),(10,12))),13),11)),(4,5)),14),(15,((((((16,17),((18,19),(20,21))),31),((24,((27,28),(29,30))),(25,26))),22),23)))); 0.00010000 0.00000000  -4.00000000  -8.71900741
(1,2,((((3,((((6,7),(8,9)),(10,(11,13))),12)),(4,5)),14),(15,(((((16,17),((18,19),(20,21))),31),(24,(((25,26),(29,30)),(27,28)))),(22,23))))); 0.00010000 0.00000000  -4.00000000  -8.31004260
(1,2,((((3,((((6,7),10),((8,9),(11,12))),13)),(4,5)),14),(15,(((16,17),((18,19),(20,21))),((22,23),(((24,((25,26),(27,28))),(29,30)),31)))))); 0.00010000 0.00000000  -4.00000000  -8.34361580
(1,2,((((3,((((6,7),12),(((8,9),10),11)),13)),(4,5)),14),(15,((((16,17),((18,19),(20,21))),(22,23)),(((24,31),(25,26)),(27,(28,(29,30)))))))); 0.00010000 0.00000000  -4.00000000 -11.12588841
(1,2,((((3,(((15,((24,((27,28),(29,30))),(25,26))),(22,23)),(((16,17),((18,19),(20,21))),31))),((6,7),((((8,9),11),(10,13)),12))),(4,5)),14)); 0.00010000 0.00000000  -4.00000000  -9.04485795
(1,2,((((3,(((6,7),((((8,9),10),11),12)),13)),(4,5)),14),(15,(((16,17),((18,19),(20,21))),((22,23),((24,(((25,26),(27,28)),(29,30))),31)))))); 0.00010000 0.00000000  -4.00000000  -8.43957832
(1,2,((((3,(((6,7),(((8,9),(11,12)),10)),13)),(4,5)),14),(15,(((((16,17),((18,19),(20,21))),31),(22,23)),(24,(((25,26),(27,(29,30))),28)))))); 0.00010000 0.00000000  -4.00000000  -9.52128742
(1,2,((((3,(((6,7),(((8,9),11),(10,12))),13)),(4,5)),14),(15,(((((16,17),((18,19),(20,21))),31),((24,((27,28),(29,30))),(25,26))),(22,23))))); 0.00010000 0.00000025  -4.00000000  -6.59412063
(1,2,((((3,(((6,7),(((8,9),11),(10,12))),13)),(4,5)),14),(15,((((16,17),((18,19),(20,21))),((24,((25,26),(27,28))),((29,30),31))),(22,23))))); 0.00010000 0.00000003  -4.00000000  -7.57383422
(1,2,((((3,(((6,7),(((8,9),11),(10,12))),13)),(4,5)),14),(15,(((16,17),((18,19),(20,21))),(((22,31),23),(24,((25,26),((27,28),(29,30))))))))); 0.00010000 0.00000004  -4.00000000  -7.43716515
(1,2,((((3,(((6,7),((8,9),(10,(11,12)))),13)),(4,5)),14),(15,(((((16,17),((18,19),(20,21))),31),((24,(25,26)),(27,(28,(29,30))))),(22,23))))); 0.00010000 0.00000003  -4.00000000  -7.49711761
(1,2,((((3,(((6,7),((8,9),12)),((10,11),13))),(4,5)),14),(15,((((16,17),((18,19),(20,21))),((24,((25,26),((27,28),(29,30)))),31)),(22,23))))); 0.00010000 0.00000001  -4.00000000  -8.18759755
(1,2,((((3,(((6,7),12),((((8,9),11),10),13))),(4,5)),14),(15,((((16,17),((18,19),(20,21))),((24,((25,26),((27,(29,30)),28))),31)),(22,23))))); 0.00010000 0.00000002  -4.00000000  -7.67009792
(1,2,((((3,(((6,7),12),(((8,9),(11,13)),10))),(4,5)),14),(15,(((((16,17),((18,19),(20,21))),(22,31)),(((24,(27,28)),(29,30)),(25,26))),23)))); 0.00010000 0.00000000  -4.00000000  -9.05633232
(1,2,((((3,(((6,7),12),(((8,9),10),(11,13)))),(4,5)),14),(15,(((((16,17),((18,19),(20,21))),31),((24,(27,(28,(29,30)))),(25,26))),(22,23))))); 0.00010000 0.00000005  -4.00000000  -7.33790544
(1,2,((((3,((15,(((((16,17),((18,19),(20,21))),31),22),((24,(27,(28,(29,30)))),(25,26)))),23)),((6,7),(((8,9),(11,13)),(10,12)))),(4,5)),14)); 0.00010000 0.00000001  -4.00000000  -8.08422179
(1,2,((((3,((15,(((22,31),23),(24,((25,26),(27,(28,(29,30))))))),((16,17),((18,19),(20,21))))),((6,7),(((8,9),(11,12)),(10,13)))),(4,5)),14)); 0.00010000 0.00000001  -4.00000000  -8.28837315
(1,2,((((3,((15,((16,17),((18,19),(20,21)))),((22,23),((24,((27,28),(29,30))),((25,26),31))))),(((6,7),(8,9)),((10,12),(11,13)))),(4,5)),14)); 0.00010000 0.00000000  -4.00000000  -8.99492825
(1,2,((((3,((15,23),((((16,17),((18,19),(20,21))),(((24,((27,28),(29,30))),(25,26)),31)),22))),((6,7),((((8,9),13),(11,12)),10))),(4,5)),14)); 0.00010000 0.00000000  -4.00000000  -8.64287669
(1,2,((((3,((15,23),((((16,17),((18,19),(20,21))),(22,31)),(24,((25,26),((27,(29,30)),28)))))),((6,7),(((((8,9),10),11),12),13))),(4,5)),14)); 0.00010000 0.00000001  -4.00000000  -8.08667478
(1,2,((((3,((15,23),((((16,17),((18,19),(20,21))),22),((24,((25,26),(27,(28,(29,30))))),31)))),(4,5)),((6,7),(((8,9),(10,12)),(11,13)))),14)); 0.00010000 0.00000000  -4.00000000  -8.49205547
(1,2,((((3,((6,7),(((((8,9),10),11),13),12))),(4,5)),14),(15,((((16,17),((18,19),(20,21))),((((24,28),(27,(29,30))),(25,26)),31)),(22,23))))); 0.00010000 0.00000013  -4.00000000  -6.90253573
(1,2,((((3,((6,7),(((((8,9),10),12),11),13))),(4,5)),14),(15,((((((16,17),((18,19),(20,21))),31),((24,(27,28)),((25,26),(29,30)))),22),23)))); 0.00010000 0.00000000  -4.00000000  -8.50832959
(1,2,((((3,((6,7),(((((8,9),11),10),12),13))),(4,5)),14),(15,(((((16,17),((18,19),(20,21))),31),(24,((25,26),((27,28),(29,30))))),(22,23))))); 0.00010000 0.00000165  -4.00000000  -5.78352054
(1,2,((((3,((6,7),(((((8,9),11),12),10),13))),(4,5)),14),(15,(((((16,17),((18,19),(20,21))),31),(24,((25,26),((27,(29,30)),28)))),(22,23))))); 0.00010000 0.00000108  -4.00000000  -5.96513851
(1,2,((((3,((6,7),(((((8,9),11),12),10),13))),(4,5)),14),(15,((((16,17),((18,19),(20,21))),((((24,28),(27,(29,30))),(25,26)),31)),(22,23))))); 0.00010000 0.00000036  -4.00000000  -6.44371453
(1,2,((((3,((6,7),(((((8,9),11),12),10),13))),(4,5)),14),(15,((((16,17),((18,19),(20,21))),22),(23,((24,((25,26),(27,(28,(29,30))))),31)))))); 0.00010000 0.00000013  -4.00000000  -6.89372438
(1,2,((((3,((6,7),(((((8,9),13),11),10),12))),(4,5)),14),(15,((((16,17),((18,19),(20,21))),((((24,28),(25,26)),(27,(29,30))),31)),(22,23))))); 0.00010000 0.00000004  -4.00000000  -7.39897719
(1,2,((((3,((6,7),((((8,9),(11,12)),10),13))),(4,5)),14),(15,(((((16,17),((18,19),(20,21))),31),((24,(25,26)),(27,(28,(29,30))))),(22,23))))); 0.00010000 0.00000056  -4.00000000  -6.24902794
(1,2,((((3,((6,7),((((8,9),(11,12)),10),13))),(4,5)),14),(15,((((16,17),((18,19),(20,21))),(22,23)),((24,(((25,26),27),(28,(29,30)))),31))))); 0.00010000 0.00000001  -4.00000000  -7.88528779
(1,2,((((3,((6,7),((((8,9),(11,13)),10),12))),(4,5)),14),(15,((((16,17),((18,19),(20,21))),(((24,27),((25,26),(28,(29,30)))),31)),(22,23))))); 0.00010000 0.00000022  -4.00000000  -6.65701766
(1,2,((((3,((6,7),((((8,9),10),(11,12)),13))),(4,5)),14),(((15,(24,((((25,26),(27,28)),(29,30)),31))),((16,17),((18,19),(20,21)))),(22,23)))); 0.00010000 0.00000000  -4.00000000  -9.35814782
(1,2,((((3,((6,7),((((8,9),10),(11,13)),12))),(4,5)),14),(15,(((((16,17),((18,19),(20,21))),(((24,27),((25,26),28)),((29,30),31))),22),23)))); 0.00010000 0.00000001  -4.00000000  -7.93444208
(1,2,((((3,((6,7),((((8,9),10),(11,13)),12))),(4,5)),14),(15,(((((16,17),((18,19),(20,21))),31),(24,(((25,26),(28,(29,30))),27))),(22,23))))); 0.00010000 0.00000084  -4.00000000  -6.07414383
(1,2,((((3,((6,7),((((8,9),10),(11,13)),12))),(4,5)),14),(15,((((16,17),((18,19),(20,21))),(((24,27),(((25,26),28),(29,30))),31)),(22,23))))); 0.00010000 0.00000014  -4.00000000  -6.85278494
(1,2,((((3,((6,7),((((8,9),11),(10,12)),13))),(4,5)),14),((15,((16,17),((18,19),(20,21)))),((22,23),(((24,((25,26),28)),(27,(29,30))),31))))); 0.00010000 0.00000004  -4.00000000  -7.43530789
(1,2,((((3,((6,7),((((8,9),11),(10,12)),13))),(4,5)),14),(15,(((((16,17),((18,19),(20,21))),(22,31)),(24,((25,26),((27,28),(29,30))))),23)))); 0.00010000 0.00000116  -4.00000000  -5.93596348
(1,2,((((3,((6,7),((((8,9),11),(10,12)),13))),(4,5)),14),(15,(((((16,17),((18,19),(20,21))),31),(((24,(27,28)),(29,30)),(25,26))),(22,23))))); 0.00010000 0.00000167  -4.00000000  -5.77797767
(1,2,((((3,((6,7),((((8,9),11),(10,12)),13))),(4,5)),14),(15,(((((16,17),((18,19),(20,21))),31),(24,((25,26),((27,28),(29,30))))),(22,23))))); 0.00010000 0.00001136  -4.00000000  -4.94448316
