((((((1,2),(3,(((4,5),14),((6,7),((((8,9),11),13),(10,12)))))),15),((16,17),((18,19),(20,21)))),(22,23)),(((24,(27,28)),(25,26)),(29,30)),31); 0.15167500 0.15181120  -0.81908600  -0.81869618
((((((1,2),(3,(((4,5),14),((6,7),(((8,9),10),((11,12),13)))))),15),((16,17),((18,19),(20,21)))),(22,23)),(((24,(27,28)),(25,26)),(29,30)),31); 0.11270000 0.11427222  -0.94807608  -0.94205935
((((((1,2),(3,(((4,5),14),((6,7),(((((8,9),11),13),10),12))))),15),((16,17),((18,19),(20,21)))),(22,23)),(((24,(27,28)),(25,26)),(29,30)),31); 0.10737500 0.10310638  -0.96909682  -0.98671444
((((((1,2),(3,(((4,5),14),((6,7),((((8,9),10),(11,13)),12))))),15),((16,17),((18,19),(20,21)))),(22,23)),(((24,(27,28)),(25,26)),(29,30)),31); 0.10587500 0.10534035  -0.97520658  -0.97740524
((((((1,2),(3,(((4,5),14),((6,7),(((8,9),10),((11,13),12)))))),15),((16,17),((18,19),(20,21)))),(22,23)),(((24,(27,28)),(25,26)),(29,30)),31); 0.06525000 0.06547560  -1.18541948  -1.18392053
((((((1,2),(3,(((4,5),14),((6,7),((((8,9),11),(10,12)),13))))),15),((16,17),((18,19),(20,21)))),(22,23)),(((24,(27,28)),(25,26)),(29,30)),31); 0.04232500 0.04251114  -1.37340303  -1.37149723
((((((1,2),(3,(((4,5),14),((6,7),(((((8,9),11),10),13),12))))),15),((16,17),((18,19),(20,21)))),(22,23)),(((24,(27,28)),(25,26)),(29,30)),31); 0.02495000 0.02536471  -1.60292945  -1.59577018
((((((1,2),(3,(((4,5),14),((6,7),(((8,9),11),((10,12),13)))))),15),((16,17),((18,19),(20,21)))),(22,23)),(((24,(27,28)),(25,26)),(29,30)),31); 0.02437500 0.02446260  -1.61305538  -1.61149738
((((((1,2),(3,(((4,5),14),((6,7),(((8,9),(11,13)),(10,12)))))),15),((16,17),((18,19),(20,21)))),(22,23)),(((24,(27,28)),(25,26)),(29,30)),31); 0.02172500 0.01546921  -1.66304021  -1.81053198
((((((1,2),(3,(((4,5),14),((6,7),((8,9),(10,((11,12),13))))))),15),((16,17),((18,19),(20,21)))),(22,23)),(((24,(27,28)),(25,26)),(29,30)),31); 0.01630000 0.01614718  -1.78781240  -1.79190323
