tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,2,((((3,(15,(((16,17),((18,19),(20,21))),((22,23),((24,(((25,26),28),(27,(29,30)))),31))))),((6,7),(((8,9),(11,12)),(10,13)))),(4,5)),14)); -12932  -14.6366 225.668 112.159 29.2174 -13060.1 0.221515 0.220966 0.190354 0.367165   0.161516   0.215303  0.0617136  0.0108489   0.545299 0.00531994
(1,2,((3,(((4,5),(((6,7),(((8,9),13),(10,11))),12)),14)),((15,((16,17),((18,19),(20,21)))),((22,23),(((24,(27,(28,(29,30)))),(25,26)),31))))); -12802.9  -12.9083 227.777 112.107 29.1701 -12934.9 0.226864 0.228208 0.188825 0.356102   0.142231    0.21581  0.0509444  0.0074135    0.57934 0.00426058
(1,2,((3,((4,5),(((6,7),(((8,9),(10,(11,13))),12)),14))),(15,(((((16,17),((18,19),(20,21))),22),23),((24,(((25,26),28),(27,(29,30)))),31))))); -12840.9  -13.3962 232.008 112.895 30.0463 -12976.7 0.233802 0.203427 0.189603 0.373169   0.158834   0.201764  0.0497831 0.00997617   0.573142  0.0065005
(1,2,((3,((4,5),(((6,7),((8,9),(10,((11,13),12)))),14))),(15,(((((16,17),((18,19),(20,21))),31),((24,((27,28),(29,30))),(25,26))),(22,23))))); -12795.5  -9.46021 224.706 114.334 28.6932 -12925.1 0.229229 0.225941 0.171993 0.372838   0.145469   0.223497  0.0613364 0.00606309   0.559045 0.00458989
(1,2,((3,(((4,5),((6,7),((((8,9),11),(10,12)),13))),14)),(15,(((((16,17),((18,19),(20,21))),31),(22,23)),(24,((25,26),((27,28),(29,30)))))))); -12849  -9.19855 234.932 112.336 30.8375 -12993.3 0.240091 0.225402 0.180391 0.354116   0.141989   0.212703  0.0506507  0.0105067   0.577511 0.00663992
(1,2,((3,(((4,5),((6,7),(((((8,9),11),10),13),12))),14)),(15,((((16,17),((18,19),(20,21))),(((24,((27,28),(29,30))),(25,26)),31)),(22,23))))); -13024.2  -9.01646 226.076 111.652 23.1051 -13152.7 0.231047  0.20046 0.188962 0.379531  0.158487   0.20835 0.0653607  0.016435  0.538601 0.0127662
(1,2,((3,(15,(((((16,17),((18,19),(20,21))),31),(24,((25,26),((27,28),(29,30))))),(22,23)))),((((4,5),14),(6,7)),(((8,9),(10,(11,12))),13)))); -12824.8  -14.2084 232.377 112.946 27.6895 -12957.8 0.246087 0.224413 0.192189 0.337311   0.148253   0.222284  0.0513476   0.010442   0.561524 0.00614945
(1,2,((3,((15,(22,23)),((((16,17),((18,19),(20,21))),31),(24,((25,26),((27,(29,30)),28)))))),(((4,5),((6,7),((((8,9),11),(10,13)),12))),14))); -12964.5  -13.5785 234.381 110.472 27.6849 -13102.5  0.21726 0.245316 0.167725 0.369699   0.162892   0.192978  0.0514265  0.0141981   0.573355 0.00515021
(1,2,((3,(((4,5),14),(((6,7),(((8,9),11),(10,13))),12))),(15,(((((16,17),((18,19),(20,21))),(22,31)),((24,(((25,26),28),27)),(29,30))),23)))); -12905.9  -14.6219 232.244 113.133 26.9008 -13037.3 0.221301 0.215992  0.20037 0.362336   0.165576   0.209739  0.0475215 0.00963936   0.558451 0.00907329
(1,2,((3,(15,((((16,17),((18,19),(20,21))),((24,((25,26),31)),((27,28),(29,30)))),(22,23)))),(((4,5),((6,7),((8,9),((10,12),(11,13))))),14))); -12808.1  -12.2747 239.809 115.153 27.1716 -12947.6 0.228833 0.199516 0.200659 0.370992     0.1501   0.203497  0.0469669  0.0130457   0.581471 0.00491967
(1,2,(3,((((4,5),14),(((6,7),((8,9),(10,(11,13)))),12)),(15,(((((16,17),((18,19),(20,21))),22),(((((24,27),(29,30)),28),(25,26)),31)),23))))); -12943.8  -17.0989 229.705 110.601 28.7326 -13074.5   0.2344 0.238657 0.167484 0.359459   0.139643   0.208804  0.0555126  0.0134407   0.573225 0.00937546
(1,2,((3,(15,((((16,17),((18,19),(20,21))),(22,((24,((((25,26),28),27),(29,30))),31))),23))),(((4,5),((6,7),(((8,9),(10,12)),(11,13)))),14))); -13029.2  -17.6395 237.33 111.538 27.6092 -13165 0.214292 0.215748  0.19381 0.376149    0.17152   0.205151  0.0487766   0.011884   0.557189 0.00547949
(1,2,((3,((4,5),(((6,7),((((8,9),11),(10,13)),12)),14))),(15,(((16,17),((18,19),(20,21))),((22,23),((24,((25,26),((27,28),(29,30)))),31)))))); -12965.1  -9.09352 231.068 113.034 24.3499 -13098.4 0.230671 0.233945 0.179556 0.355828   0.130059   0.198791  0.0417949 0.00755383   0.616555 0.00524621
(1,2,((3,(((4,5),((6,7),(((8,9),10),((11,12),13)))),14)),(15,((((16,17),((18,19),(20,21))),((24,((25,26),((27,28),(29,30)))),31)),(22,23))))); -12821.7  -9.10216 231.22 113.964 25.7252 -12955.6 0.201613  0.23178  0.19015 0.376457   0.139543   0.215301  0.0523553 0.00822268   0.579233 0.00534513
(1,2,((3,((4,5),(((6,7),(((8,9),11),((10,12),13))),14))),((15,((22,23),((24,((25,26),((27,28),(29,30)))),31))),((16,17),((18,19),(20,21)))))); -12866.7  -10.6287 231.144 113.337 28.6983 -13002.6 0.229193 0.210095 0.192778 0.367934   0.164204   0.200395  0.0633291  0.0124345   0.552346 0.00729089
