tree logl logTop logProp logPrior logWt
(((((1,2),(3,(15,((((((16,17),((18,19),(20,21))),31),(24,((25,26),(27,(28,(29,30)))))),22),23)))),(4,5)),14),(6,7),((((8,9),11),(10,12)),13)); -12923.7 -11.6647 220.422 111.692 -13044.1
(((1,2),3),(((4,5),((6,7),((((8,9),11),(10,12)),13))),14),(15,((((16,17),((18,19),(20,21))),(((24,((25,26),28)),27),((29,30),31))),(22,23)))); -12923.7 -14.3076 221.546 110.62 -13049
(((((((1,2),(3,(((4,5),14),((6,7),(((8,9),(10,(11,12))),13))))),15),(22,23)),(24,(((25,26),(28,(29,30))),27))),31),(16,17),((18,19),(20,21))); -12912.3 -10.8139 216.264 112.261 -13027.2
(((((((((1,2),((15,23),((((16,17),((18,19),(20,21))),((24,((25,26),(27,(28,(29,30))))),31)),22))),3),14),(4,5)),(6,7)),((10,12),13)),11),8,9); -12934.1 -11.4669 219.239 111.068 -13053.8
((((1,2),(((4,5),14),((6,7),((((8,9),11),13),(10,12))))),3),15,(((((16,17),((18,19),(20,21))),31),((24,((27,(29,30)),28)),(25,26))),(22,23))); -12914 -11.5526 220.526 111.277 -13034.8
((((((1,2),(15,(((((16,17),((18,19),(20,21))),31),(22,23)),((24,(25,26)),(27,(28,(29,30))))))),3),14),(4,5)),(6,7),((((8,9),11),(10,13)),12)); -12926.8 -12.9917 365.794 110.953 -13194.6
((((1,2),3),(15,((((16,17),((18,19),(20,21))),(22,31)),(23,(24,((25,26),(27,(28,(29,30))))))))),(4,5),(((6,7),((((8,9),11),(10,12)),13)),14)); -12952.2 -14.4605 214.49 110.323 -13070.8
((((((((1,2),(3,(((4,5),((6,7),((((8,9),11),(10,13)),12))),14))),15),(22,23)),((16,17),((18,19),(20,21)))),(24,31)),((27,28),(29,30))),25,26); -12919.6 -10.715 inf 112.013 -inf
((((((((1,2),(15,((((16,17),((18,19),(20,21))),((24,((25,26),((27,28),(29,30)))),31)),(22,23)))),3),14),(4,5)),(6,7)),(8,9)),((10,12),13),11); -12906.8 -10.0024 222.291 111.842 -13027.3
(((1,2),(3,((15,((16,17),((18,19),(20,21)))),((22,23),((24,(((25,26),(29,30)),(27,28))),31))))),(4,5),(((6,7),((((8,9),(10,12)),11),13)),14)); -12917.5 -16.4266 230.91 111.547 -13053.3
((((((1,2),(((4,5),14),((6,7),(((8,9),(11,13)),(10,12))))),3),(((16,17),((18,19),(20,21))),31)),(15,(22,23))),24,(((25,26),(29,30)),(27,28))); -12944 -18.2835 230.062 112.134 -13080.2
(((((((((((1,2),(3,(((4,5),14),((((6,7),10),(((8,9),11),13)),12)))),15),((16,17),((18,19),(20,21)))),23),22),31),28),(27,(29,30))),24),25,26); -12936.4 -18.6149 231.36 112.038 -13074.3
(((((((1,2),((15,(22,23)),((((16,17),((18,19),(20,21))),31),(24,((25,26),((27,28),(29,30))))))),3),((4,5),14)),12),(6,7)),((8,9),11),(10,13)); -12931.2 -13.2989 207.708 110.896 -13041.3
((((((1,2),(3,((((4,5),(6,7)),((8,9),((10,13),(11,12)))),14))),15),(((22,23),31),((24,(25,26)),((27,28),(29,30))))),(16,17)),(18,19),(20,21)); -12955.4 -17.1125 216.501 110.065 -13079
(((1,2),(3,(((4,5),14),((6,7),((8,9),((10,(11,12)),13)))))),15,((((16,17),((18,19),(20,21))),31),((22,23),(24,((25,26),((27,28),(29,30))))))); -12911.6 -12.5442 222.335 112.163 -13034.4
(((((1,2),(((4,5),(((6,7),((8,9),(10,(11,12)))),13)),14)),3),15),(((16,17),((18,19),(20,21))),(((((24,28),27),(29,30)),(25,26)),31)),(22,23)); -12932 -16.0929 230.669 112.25 -13066.5
((((((1,2),((3,((4,5),((6,7),((((8,9),11),(10,13)),12)))),14)),(15,23)),(22,31)),((16,17),((18,19),(20,21)))),(24,((27,28),(29,30))),(25,26)); -12972.8 -17.4384 226.226 111.028 -13105.4
((((1,2),14),((4,5),((((6,7),10),12),(((8,9),11),13)))),3,(15,(((((16,17),((18,19),(20,21))),31),((24,((25,26),(28,(29,30)))),27)),(22,23)))); -12970.1 -18.9024 213.635 111.101 -13091.5
(((((((((1,2),((4,5),(((6,7),((((8,9),13),(10,12)),11)),14))),3),15),23),22),(((24,(25,26)),((27,(29,30)),28)),31)),((18,19),(20,21))),16,17); -12950.9 -16.8245 219.342 110.617 -13076.4
(((1,2),((15,(22,23)),(((16,17),((18,19),(20,21))),((24,((25,26),((27,28),(29,30)))),31)))),3,(((4,5),14),((6,7),(((((8,9),11),13),10),12)))); -12904.6 -11.6033 225.535 111.64 -13030.1
((((((1,2),(3,(((4,5),((6,7),(((8,9),(10,(11,12))),13))),14))),(15,((22,23),(((24,(25,26)),(27,(28,(29,30)))),31)))),(16,17)),(18,19)),20,21); -12908 -13.056 228.316 111.794 -13037.6
((((((((((1,2),(((4,5),14),(((((6,7),10),((8,9),11)),12),13))),3),15),(22,23)),((24,((27,28),(29,30))),(25,26))),31),(16,17)),(18,19)),20,21); -12928.4 -14.9544 225.552 111.697 -13057.2
((((((((1,2),(3,((15,23),(((((16,17),((18,19),(20,21))),31),(24,(((25,26),28),(27,(29,30))))),22)))),((4,5),14)),(6,7)),12),(8,9)),11),10,13); -12977.7 -14.1548 210.366 110.886 -13091.4
((((((1,2),(3,((4,5),(((6,7),((((8,9),11),(10,13)),12)),14)))),(15,((22,23),((24,(((25,26),(28,(29,30))),27)),31)))),(16,17)),(18,19)),20,21); -12899.9 -13.2223 220.477 111.341 -13022.3
((((((((((1,2),(((4,5),14),(((((6,7),(8,9)),10),(11,13)),12))),3),15),23),22),(((16,17),((18,19),(20,21))),31)),(29,30)),(27,28)),24,(25,26)); -12930.5 -17.4617 218.539 111.132 -13055.4
((((((((((1,2),(((4,5),((6,7),((((8,9),(11,13)),10),12))),14)),3),((16,17),((18,19),(20,21)))),15),(22,31)),23),(25,26)),27),24,(28,(29,30))); -12951.5 -19.1369 224.091 111.715 -13083.1
((((((((1,2),(3,(((4,5),14),((6,7),((8,9),(((10,13),12),11)))))),15),((16,17),((18,19),(20,21)))),((22,23),31)),(24,(25,26))),27),28,(29,30)); -12912.7 -15.4511 222.373 110.771 -13039.8
(((1,2),(3,(((4,5),14),((6,7),(((8,9),((11,13),12)),10))))),(15,(((16,17),((18,19),(20,21))),(((24,((25,26),28)),(27,(29,30))),31))),(22,23)); -12936.1 -15.5396 220.273 111.719 -13060.2
((((((((1,2),(((4,5),((6,7),(((8,9),(11,13)),(10,12)))),14)),3),15),((22,23),((24,((25,26),((27,(29,30)),28))),31))),(16,17)),(20,21)),18,19); -12919.2 -11.6183 213.395 111.793 -13032.4
((((((((1,2),(3,(((4,5),14),((6,7),(((((8,9),11),10),13),12))))),15),(22,23)),((16,17),((18,19),(20,21)))),31),(24,(25,26))),27,(28,(29,30))); -12909.6 -10.5056 213.715 111.912 -13021.9
(((((((1,2),(3,(((4,5),((6,7),((((8,9),11),12),(10,13)))),14))),15),23),22),((16,17),((18,19),(20,21)))),(24,((25,26),(27,(28,(29,30))))),31); -12918.6 -11.5738 228.24 111.322 -13047.1
(1,2,((3,((4,5),(((6,7),(((((8,9),11),10),12),13)),14))),(15,((((((16,17),((18,19),(20,21))),31),22),(((24,27),(28,(29,30))),(25,26))),23)))); -12938.1 -15.0574 203.222 110.803 -13045.6
((((((1,2),(((4,5),((6,7),(((((8,9),10),12),11),13))),14)),3),(15,(23,((24,(27,(28,(29,30)))),(25,26))))),(22,31)),(16,17),((18,19),(20,21))); -12966.4 -17.7578 228.064 111.415 -13100.8
(((((1,2),(3,(((4,5),((6,7),((8,9),(((10,13),11),12)))),14))),15),(((16,17),((18,19),(20,21))),((24,((25,26),((27,28),(29,30)))),31))),22,23); -12913.6 -10.2601 219.722 111.384 -13032.2
((((((((1,2),(3,(((4,5),((6,7),((((8,9),(10,13)),11),12))),14))),15),(22,23)),((24,((25,26),((27,28),(29,30)))),31)),(16,17)),(18,19)),20,21); -12920.9 -9.8572 219.452 111.289 -13038.9
(((((((((1,2),(3,(((4,5),((6,7),(((8,9),(11,13)),(10,12)))),14))),(22,23)),15),((24,(25,26)),((27,28),(29,30)))),31),(16,17)),(20,21)),18,19); -12926.4 -11.4958 232.413 111.491 -13058.8
((((1,2),(3,((15,(22,23)),((((16,17),((18,19),(20,21))),31),((((24,(25,26)),27),(29,30)),28))))),((4,5),14)),(6,7),((((8,9),11),(10,12)),13)); -12960.1 -17.8308 217.379 111.643 -13083.7
