tree logl logTop logProp logPrior logWt parsimonyScore
(1,2,(3,((((4,5),14),((6,7),((((8,9),11),(10,13)),12))),(15,((((16,17),((18,19),(20,21))),(24,(((25,26),31),(27,(28,(29,30)))))),(22,23)))))); -12762.1 -14.2447 220.383 115.261 -12881.5 34200
(1,2,((3,((4,5),(((6,7),((8,9),((10,13),(11,12)))),14))),(15,(((((16,17),((18,19),(20,21))),31),(24,((25,26),((27,28),(29,30))))),(22,23))))); -12736.1 -9.79093 227.637 114.714 -12858.8 34200
(1,2,((3,((4,5),(((6,7),((((8,9),13),11),(10,12))),14))),(15,((((16,17),((18,19),(20,21))),((24,((25,26),((27,28),(29,30)))),31)),(22,23))))); -12737.7 -10.033 219.613 114.696 -12852.6 34200
(1,2,((3,((4,5),(((6,7),(((8,9),((10,12),11)),13)),14))),(15,((((16,17),((18,19),(20,21))),(((24,(25,26)),(27,(28,(29,30)))),31)),(22,23))))); -12732.4 -10.0808 229.836 114.428 -12857.9 34200
(1,2,((3,((4,5),(((((6,7),10),((8,9),(11,12))),13),14))),(15,((((16,17),((18,19),(20,21))),(((24,(27,28)),(29,30)),((25,26),31))),(22,23))))); -12757.1 -15.9093 229.343 114.758 -12887.6 34200
(1,2,((3,((4,5),(((6,7),(((((8,9),10),13),11),12)),14))),(15,((((16,17),((18,19),(20,21))),(((24,(27,28)),(25,26)),((29,30),31))),(22,23))))); -12722.3 -13.2193 235.654 114.919 -12856.3 34200
(1,2,((3,(15,((((16,17),((18,19),(20,21))),((((24,(27,28)),(25,26)),(29,30)),31)),(22,23)))),(((((4,5),14),12),((((8,9),11),13),10)),(6,7)))); -12748.6 -18.6336 236.407 114.371 -12889.3 34200
(1,2,((3,((4,5),(((6,7),((8,9),((10,12),(11,13)))),14))),(15,(((16,17),((18,19),(20,21))),((22,23),((24,((25,26),(27,(28,(29,30))))),31)))))); -12714 -9.2573 233.625 115.115 -12841.8 34200
(1,2,((3,((15,23),(((((16,17),((18,19),(20,21))),31),(24,((25,26),(27,(28,(29,30)))))),22))),(((4,5),((6,7),(((((8,9),11),12),10),13))),14))); -12766.7 -13.2433 233.555 114.756 -12898.7 34200
(1,2,((3,(((4,5),14),((6,7),((((8,9),11),(10,12)),13)))),(15,((((16,17),((18,19),(20,21))),((24,((25,26),(27,(28,(29,30))))),31)),(22,23))))); -12733 -7.32685 214.283 114.314 -12840.3 34200
