tree logl logTop logProp logPrior logWt
(1,2,((3,(((4,5),14),(((6,7),13),(((8,9),(10,12)),11)))),(15,((((16,17),((18,19),(20,21))),((22,31),(24,((((25,26),28),27),(29,30))))),23)))); -12793.2 -18.7027 229.859 113.993 -12927.7
(1,2,((3,(15,(((((16,17),((18,19),(20,21))),31),(24,(((25,26),(29,30)),(27,28)))),(22,23)))),((4,5),(((6,7),(((8,9),(11,12)),(10,13))),14)))); -12742.3 -14.2395 239.631 115.157 -12881
(1,2,((3,(((4,5),14),((6,7),((((8,9),10),(11,13)),12)))),((15,23),((((16,17),((18,19),(20,21))),22),(((24,(27,(28,(29,30)))),(25,26)),31))))); -12727.9 -11.4452 233.967 115.251 -12858
(1,2,((3,(((4,5),14),((6,7),((8,9),((10,12),(11,13)))))),((15,23),((((16,17),((18,19),(20,21))),22),((((24,(27,28)),(25,26)),(29,30)),31))))); -12729.8 -12.7753 228.7 114.958 -12856.3
(1,2,((3,(((4,5),(((6,7),(((8,9),11),(10,13))),12)),14)),(15,((((16,17),((18,19),(20,21))),((24,(((25,26),(27,28)),(29,30))),31)),(22,23))))); -12738 -11.7953 233.793 114.487 -12869.1
(1,2,((3,(((4,5),(6,7)),(((((8,9),(10,13)),11),12),14))),(15,(((16,17),((18,19),(20,21))),((22,23),(((24,(25,26)),((27,28),(29,30))),31)))))); -12770.9 -18.3069 224.639 115.673 -12898.2
(1,2,((3,(((4,5),((6,7),(((8,9),10),((11,12),13)))),14)),((15,((((16,17),((18,19),(20,21))),31),(24,((25,26),((27,28),(29,30)))))),(22,23)))); -12747.2 -11.8955 229.109 115.205 -12873
(1,2,((3,(15,(((((16,17),((18,19),(20,21))),31),((24,((27,28),(29,30))),(25,26))),(22,23)))),(((4,5),((6,7),((8,9),(10,((11,12),13))))),14))); -12735.2 -11.7953 233.526 114.535 -12866
(1,2,(3,((((4,5),((6,7),((((8,9),13),(10,11)),12))),14),(15,((((16,17),((18,19),(20,21))),(((24,((27,28),(29,30))),(25,26)),31)),(22,23)))))); -12749.2 -12.7073 224.444 114.818 -12871.6
(1,2,((3,((4,5),(((6,7),(((8,9),((10,11),12)),13)),14))),(15,(((((16,17),((18,19),(20,21))),22),23),((24,((25,26),((27,28),(29,30)))),31))))); -12739.3 -13.4257 227.981 114.995 -12865.7
(1,2,((3,(((4,5),14),((6,7),((8,9),((10,(11,13)),12))))),(15,(((((16,17),((18,19),(20,21))),31),((24,((25,26),28)),(27,(29,30)))),(22,23))))); -12747.7 -13.2182 224.322 115.051 -12870.2
(1,2,((3,(((4,5),14),((6,7),((((8,9),11),(10,12)),13)))),(15,(((((16,17),((18,19),(20,21))),31),(24,((25,26),(27,(28,(29,30)))))),(22,23))))); -12718 -7.48883 237.085 115.864 -12846.7
(1,2,((3,(((4,5),((6,7),((((8,9),(11,13)),10),12))),14)),((15,(22,23)),((((16,17),((18,19),(20,21))),31),(((24,28),((25,26),27)),(29,30)))))); -12749.6 -17.4331 227.216 114.855 -12879.4
(1,2,((3,(15,((((16,17),((18,19),(20,21))),((24,(((25,26),(27,28)),(29,30))),31)),(22,23)))),(((4,5),((6,7),((((8,9),11),13),(10,12)))),14))); -12741 -11.4747 233.276 116.007 -12869.8
(1,2,((3,((4,5),(((6,7),((((8,9),13),(10,11)),12)),14))),(((15,(((16,17),((18,19),(20,21))),((24,((25,26),(27,(28,(29,30))))),31))),22),23))); -12761.5 -16.5175 234.929 114.78 -12898.1
(1,2,((3,(((4,5),((6,7),((((8,9),12),(10,11)),13))),14)),(15,(((((16,17),((18,19),(20,21))),(((24,((27,28),(29,30))),(25,26)),31)),22),23)))); -12755.8 -13.7194 260.923 115.531 -12914.9
(1,2,((3,(((4,5),((6,7),((((8,9),10),13),(11,12)))),14)),((15,(((16,17),((18,19),(20,21))),(((24,(27,(28,(29,30)))),31),(25,26)))),(22,23)))); -12765.7 -17.6531 238.681 114.635 -12907.4
(1,2,((3,(15,((((16,17),((18,19),(20,21))),((((24,(25,26)),(27,28)),(29,30)),31)),(22,23)))),(((4,5),14),((6,7),((8,9),(((10,12),13),11)))))); -12734.5 -14.4048 226.891 114.744 -12861
(1,2,((3,(((4,5),14),((6,7),(((8,9),(11,12)),(10,13))))),(15,(((16,17),((18,19),(20,21))),((22,23),((24,(((25,26),(27,28)),(29,30))),31)))))); -12724.9 -11.8645 226.764 115.345 -12848.2
(1,2,((3,(((4,5),14),((6,7),((8,9),((10,12),(11,13)))))),(15,((((16,17),((18,19),(20,21))),(((24,28),27),((25,26),((29,30),31)))),(22,23))))); -12738.1 -13.7106 233.853 114.852 -12870.8
(1,2,((3,(((4,5),14),((6,7),((((8,9),10),(11,12)),13)))),(15,((((16,17),((18,19),(20,21))),((24,((25,26),(27,(28,(29,30))))),31)),(22,23))))); -12718.8 -8.33038 234.934 115.753 -12846.3
(1,2,((3,((4,5),(((6,7),(((8,9),10),((11,13),12))),14))),(15,(((((16,17),((18,19),(20,21))),31),(24,((25,26),((27,(29,30)),28)))),(22,23))))); -12734.2 -10.8736 232.359 114.991 -12862.5
(1,2,(3,((((4,5),14),((6,7),((((8,9),10),(11,13)),12))),(15,(((((16,17),((18,19),(20,21))),31),(((24,27),(28,(29,30))),(25,26))),(22,23)))))); -12720.4 -12.9528 234.488 114.964 -12852.9
(1,2,((3,(((4,5),14),((6,7),((8,9),((10,12),(11,13)))))),((15,((((16,17),((18,19),(20,21))),22),((24,(((25,26),28),(27,(29,30)))),31))),23))); -12764.2 -14.2616 222.378 114.682 -12886.2
(1,2,((3,(((4,5),((6,7),((((8,9),10),(11,13)),12))),14)),(15,(((16,17),((18,19),(20,21))),((22,23),((24,((25,26),((27,(29,30)),28))),31)))))); -12727.8 -10.1089 234.064 115.377 -12856.6
(1,2,((3,((15,23),(((16,17),((18,19),(20,21))),(22,((24,((25,26),((27,28),(29,30)))),31))))),(((4,5),((6,7),(((((8,9),11),10),13),12))),14))); -12777.4 -13.8847 215.595 114.54 -12892.3
(1,2,((3,((4,5),((((((6,7),(8,9)),(10,13)),11),12),14))),(15,(((((16,17),((18,19),(20,21))),31),(24,((25,26),((27,28),(29,30))))),(22,23))))); -12756.3 -12.4406 218.497 114.466 -12872.8
(1,2,((3,((4,5),(((6,7),((((8,9),11),(10,12)),13)),14))),(15,((((((16,17),((18,19),(20,21))),31),((24,((27,28),(29,30))),(25,26))),22),23)))); -12738.6 -10.7477 233.312 115.587 -12867.1
(1,2,((3,((4,5),(((6,7),(((8,9),(10,(11,12))),13)),14))),(15,((((16,17),((18,19),(20,21))),(((24,((27,28),(29,30))),(25,26)),31)),(22,23))))); -12738.2 -9.70636 221.062 114.603 -12854.3
(1,2,((3,(((4,5),((6,7),(((((8,9),11),10),13),12))),14)),((15,(((16,17),((18,19),(20,21))),((24,((25,26),((27,(29,30)),28))),31))),(22,23)))); -12751.6 -12.3812 231.45 114.886 -12880.5
(1,2,((3,(((4,5),14),((6,7),((((8,9),11),(10,13)),12)))),(15,(((((16,17),((18,19),(20,21))),31),((24,(27,28)),((25,26),(29,30)))),(22,23))))); -12726.7 -11.4648 232.371 114.561 -12856
(1,2,((3,(((4,5),14),((6,7),((((8,9),(10,13)),11),12)))),(15,(((((16,17),((18,19),(20,21))),31),(24,((25,26),((27,28),(29,30))))),(22,23))))); -12746.5 -10.6065 220.853 115.448 -12862.5
(1,2,((3,(((4,5),((6,7),((((8,9),(11,13)),10),12))),14)),(15,(((16,17),((18,19),(20,21))),((22,23),((((24,28),(27,(29,30))),(25,26)),31)))))); -12739.5 -12.3542 235.023 115.821 -12871.1
(1,2,(3,((((4,5),14),(((6,7),(((8,9),11),(10,13))),12)),(15,(((16,17),((18,19),(20,21))),((22,23),((24,((25,26),(27,(28,(29,30))))),31))))))); -12733.2 -13.0556 227.622 115.332 -12858.6
(1,2,((3,(((4,5),((6,7),(((8,9),(10,(11,12))),13))),14)),(15,((((16,17),((18,19),(20,21))),(22,(((24,(27,(28,(29,30)))),(25,26)),31))),23)))); -12748.8 -12.7994 237.418 115.264 -12883.7
(1,2,((3,(((4,5),((6,7),(((8,9),(11,12)),(10,13)))),14)),((15,((22,23),((24,((25,26),((27,28),(29,30)))),31))),((16,17),((18,19),(20,21)))))); -12727.8 -12.4332 232.314 115.048 -12857.5
(1,2,((3,((4,5),(((6,7),((((8,9),13),11),(10,12))),14))),(15,((((16,17),((18,19),(20,21))),((((24,27),((25,26),28)),(29,30)),31)),(22,23))))); -12727.2 -13.4329 235.93 115.363 -12861.2
(1,2,((3,(((4,5),((6,7),((8,9),(((10,13),12),11)))),14)),(15,(((((16,17),((18,19),(20,21))),22),((24,((25,26),(27,(28,(29,30))))),31)),23)))); -12745.3 -12.9676 230.964 114.456 -12874.8
(1,2,((3,(15,(((((16,17),((18,19),(20,21))),31),(24,((25,26),((27,28),(29,30))))),(22,23)))),(((4,5),14),((6,7),((((8,9),11),(10,13)),12))))); -12746.1 -9.22816 219.843 114.829 -12860.3
(1,2,((3,((15,((((16,17),((18,19),(20,21))),22),((24,((25,26),(27,(28,(29,30))))),31))),23)),((4,5),(((6,7),((((8,9),10),(11,13)),12)),14)))); -12761.8 -14.2439 220.059 114.074 -12882.1
(1,2,((3,(((4,5),((6,7),(((((8,9),10),11),13),12))),14)),(15,(((((16,17),((18,19),(20,21))),31),(22,23)),(((24,(27,28)),(25,26)),(29,30)))))); -12728.2 -14.1012 240.468 115.573 -12867.2
(1,2,((3,((4,5),(((6,7),(((8,9),10),((11,13),12))),14))),(15,((((16,17),((18,19),(20,21))),(((24,28),(27,(29,30))),((25,26),31))),(22,23))))); -12757.9 -13.8978 225.186 114.431 -12882.5
(1,2,(3,((((4,5),14),((((6,7),12),(((8,9),10),13)),11)),(15,((((16,17),((18,19),(20,21))),((24,((25,26),((27,(29,30)),28))),31)),(22,23)))))); -12757.1 -16.8646 234.68 115.262 -12893.4
(1,2,((3,(15,((((16,17),((18,19),(20,21))),(22,31)),(23,(24,((25,26),(27,(28,(29,30))))))))),((4,5),(((6,7),(((8,9),11),((10,12),13))),14)))); -12778.5 -13.7749 225.992 115.011 -12903.3
