tree logl logTop logProp logPrior logWt
(1,2,((3,((4,5),(((6,7),(((8,9),11),((10,12),13))),14))),(15,(((16,17),((18,19),(20,21))),((22,23),(((24,(27,(28,(29,30)))),(25,26)),31)))))); -12716.1 -10.6956 231.193 114.928 -12843.1
(1,2,((3,(((4,5),14),((6,7),((((8,9),11),13),(10,12))))),(15,((((16,17),((18,19),(20,21))),((((24,27),(28,(29,30))),(25,26)),31)),(22,23))))); -12719.9 -10.4986 227.25 114.517 -12843.1
(1,2,((3,(((4,5),14),((6,7),(((((8,9),11),13),10),12)))),(15,(((16,17),((18,19),(20,21))),((22,23),((24,((25,26),(27,(28,(29,30))))),31)))))); -12713.2 -9.46765 226.949 114.969 -12834.7
(1,2,((3,(((4,5),((6,7),((((8,9),11),(10,13)),12))),14)),(15,(((((16,17),((18,19),(20,21))),31),22),(23,((24,((27,28),(29,30))),(25,26))))))); -12752.2 -12.2513 236.145 115.002 -12885.6
(1,2,((3,(((4,5),((6,7),((((8,9),11),(10,13)),12))),14)),(15,(((((16,17),((18,19),(20,21))),31),(((24,(27,28)),(25,26)),(29,30))),(22,23))))); -12722 -10.5385 230.016 114.883 -12847.7
(1,2,((3,((4,5),(((6,7),((((8,9),11),(10,12)),13)),14))),(15,(((((16,17),((18,19),(20,21))),((24,((25,26),((27,(29,30)),28))),31)),22),23)))); -12750.8 -10.8005 226.744 114.696 -12873.7
(1,2,((3,((15,((((16,17),((18,19),(20,21))),((((24,(27,28)),(29,30)),(25,26)),31)),22)),23)),((4,5),(((6,7),(((((8,9),10),12),11),13)),14)))); -12776.3 -18.3538 231.744 114.335 -12912.1
(1,2,((3,(15,((((16,17),((18,19),(20,21))),(24,(((25,26),31),((27,(29,30)),28)))),(22,23)))),(((4,5),((6,7),(((8,9),(10,(11,13))),12))),14))); -12782.7 -15.1447 217.509 114.621 -12900.7
(1,2,((3,(((4,5),14),((6,7),(((8,9),((10,13),11)),12)))),(15,(((((16,17),((18,19),(20,21))),22),((24,((25,26),((27,28),(29,30)))),31)),23)))); -12744.9 -11.3832 222.967 115.758 -12863.5
(1,2,((3,((4,5),(((6,7),14),(((((8,9),11),12),10),13)))),((15,((((16,17),((18,19),(20,21))),22),23)),((((24,(25,26)),27),(28,(29,30))),31)))); -12771.6 -23.9518 233.907 114.394 -12915.1
(1,2,((3,((4,5),(((6,7),((((8,9),11),(10,12)),13)),14))),(15,(((((16,17),((18,19),(20,21))),31),(24,(((25,26),(28,(29,30))),27))),(22,23))))); -12726 -9.71012 233.236 114.761 -12854.2
(1,2,((3,((4,5),((6,7),((((((8,9),11),13),10),12),14)))),(15,(((16,17),((18,19),(20,21))),((22,23),((((24,27),(28,(29,30))),(25,26)),31)))))); -12733.5 -16.1617 236.273 115.165 -12870.8
(1,2,((((3,((((6,7),10),(((8,9),11),13)),12)),(4,5)),(15,((((((16,17),((18,19),(20,21))),31),(((24,(25,26)),(27,28)),(29,30))),22),23))),14)); -12799.5 -22.3618 231.426 113.99 -12939.3
(1,2,((3,(((4,5),14),((6,7),((((8,9),10),(11,12)),13)))),(15,(((((16,17),((18,19),(20,21))),22),((24,31),((((25,26),28),27),(29,30)))),23)))); -12757.4 -15.3077 226.031 114.643 -12884.1
