tree logl logTop logProp logPrior logWt
(1,2,((3,(15,(((((16,17),((18,19),(20,21))),31),(24,((25,26),((27,28),(29,30))))),(22,23)))),((4,5),(((6,7),((((8,9),(10,12)),11),13)),14)))); -12750.3 -12.9956 224.86 115.155 -12847
(1,2,((3,(((4,5),14),((6,7),((((8,9),11),13),(10,12))))),(15,(((((16,17),((18,19),(20,21))),31),(24,((25,26),(27,(28,(29,30)))))),(22,23))))); -12727.9 -4.67347 225.993 114.982 -12834.2
(1,2,((3,(((4,5),14),((6,7),(((((8,9),11),10),12),13)))),(15,(((((16,17),((18,19),(20,21))),31),(24,((25,26),(27,(28,(29,30)))))),(22,23))))); -12738.4 -5.92066 216.552 114.754 -12834.3
(1,2,((3,(((4,5),14),((6,7),((8,9),(10,((11,12),13)))))),(15,((((((16,17),((18,19),(20,21))),31),22),(24,((25,26),(27,(28,(29,30)))))),23)))); -12750.3 -9.88704 223.696 115.366 -12848.8
(1,2,((3,(((4,5),14),((6,7),(((8,9),10),((11,12),13))))),(15,(((((16,17),((18,19),(20,21))),31),(24,((25,26),(27,(28,(29,30)))))),(22,23))))); -12728.1 -5.15253 225.531 115.231 -12833.3
(1,2,((3,(((4,5),14),((6,7),((((8,9),11),(10,13)),12)))),(15,(((((16,17),((18,19),(20,21))),31),((24,((27,28),(29,30))),(25,26))),(22,23))))); -12726.3 -5.87877 229.849 115.927 -12834.3
(1,2,((3,(((4,5),14),((6,7),((((8,9),10),(11,13)),12)))),(15,(((((16,17),((18,19),(20,21))),31),(22,23)),(((24,(27,28)),(25,26)),(29,30)))))); -12713.5 -9.80468 235.569 115.103 -12824.2
(1,2,((3,(((4,5),14),((6,7),((((8,9),11),(10,12)),13)))),(15,(((((16,17),((18,19),(20,21))),31),(24,((25,26),((27,28),(29,30))))),(22,23))))); -12738.7 -3.5855 214.386 114.285 -12835.2
(1,2,((3,(((4,5),14),((6,7),((((8,9),11),13),(10,12))))),(15,(((((16,17),((18,19),(20,21))),31),(24,((25,26),(27,(28,(29,30)))))),(22,23))))); -12727.2 -4.67347 226.778 115.404 -12833.9
(1,2,((3,((4,5),(((6,7),(((8,9),10),((11,13),12))),14))),(15,(((((16,17),((18,19),(20,21))),31),(24,((25,26),((27,28),(29,30))))),(22,23))))); -12747.9 -7.85011 207.579 114.818 -12832.8
(1,2,((3,(((4,5),14),((6,7),((8,9),(10,((11,13),12)))))),(15,((((16,17),((18,19),(20,21))),((24,((25,26),(27,(28,(29,30))))),31)),(22,23))))); -12722.6 -9.95432 230.9 115.669 -12827.9
(1,2,((3,((((4,5),14),(6,7)),((8,9),((10,(11,13)),12)))),(15,((((16,17),((18,19),(20,21))),((24,((25,26),(27,(28,(29,30))))),31)),(22,23))))); -12753.1 -15.6178 219.581 114.387 -12842.7
(1,2,((3,(((4,5),14),((6,7),(((8,9),(11,13)),(10,12))))),(15,(((((16,17),((18,19),(20,21))),31),(24,((25,26),((27,28),(29,30))))),(22,23))))); -12730.4 -4.96841 227.087 115.31 -12837.2
(1,2,((3,((4,5),(((6,7),((8,9),((10,12),(11,13)))),14))),(15,(((((16,17),((18,19),(20,21))),31),(24,((25,26),((27,28),(29,30))))),(22,23))))); -12725.2 -6.40032 232.24 114.52 -12836.5
(1,2,((3,(((4,5),14),((6,7),(((8,9),(10,(11,13))),12)))),(15,(((((16,17),((18,19),(20,21))),31),(24,((25,26),(27,(28,(29,30)))))),(22,23))))); -12733.1 -6.80627 224.238 115.178 -12835.4
(1,2,((3,((((4,5),14),(6,7)),((((8,9),10),(11,13)),12))),(15,(((((16,17),((18,19),(20,21))),31),(24,((25,26),((27,28),(29,30))))),(22,23))))); -12744 -10.1506 224.572 114.896 -12843.5
