tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,2,(((3,6),(4,5)),(((((7,8),9),10),12),11))); -7695.37  -3.48951 82.783 39.2787 26.2525 -7761.64 0.238205 0.254823 0.205381 0.301591   0.032284    0.32575  0.0693027  0.0146734   0.549753 0.00823679
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7699.21  -1.48777 81.6525 38.9412 23.0917 -7763.52 0.233199 0.252599 0.197225 0.316977 0.0386719  0.295131 0.0639177 0.0316002  0.557966 0.0127132
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7708.68  -1.35469 73.4358 38.6671 27.7306 -7769.83 0.248357 0.224593 0.198368 0.328682 0.0523406  0.277416 0.0786698 0.0172995  0.562838 0.0114364
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7691.06  -1.48777 82.7815 38.8096 25.7395 -7759.29 0.250917 0.233368 0.195911 0.319804 0.0572451  0.272976 0.0944186 0.0109529  0.554217   0.01019
(1,2,(((3,6),(4,5)),((((7,8),9),10),(11,12)))); -7703.58  -3.46325 82.5428 39.1271 22.8374 -7766.37   0.2545 0.239918 0.221157 0.284425 0.0287795  0.304019 0.0796628 0.0117382  0.563832 0.0119681
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7687.62  -1.48777 81.2322 38.7337 28.0584 -7756.69 0.255408 0.225736 0.202018 0.316838 0.0562447  0.291466 0.0566949 0.0165847   0.56649 0.0125201
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7706.3  -1.35469 80.9712 38.7417 25.1251 -7772.3 0.223896 0.242382 0.200933 0.332789 0.0381252  0.296819 0.0802339 0.0144544  0.553386  0.016981
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7706.46  -1.4615 75.2458 39.0918 25.3741 -7766.53   0.2489 0.220739 0.190208 0.340153  0.0519863   0.302225  0.0637204 0.00701851   0.560444  0.0146057
(1,(2,(((((7,8),9),10),12),11)),(3,((4,5),6))); -7697  -3.44945 77.1327 38.8944 25.5206 -7757.31 0.269153 0.240156 0.191806 0.298885  0.040669  0.320049 0.0564424 0.0163588  0.555942 0.0105387
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7715.06  -1.4615 73.6114 38.6398 21.5982 -7770.17 0.239826 0.260705 0.207911 0.291559  0.0304418   0.316262  0.0541451 0.00537523    0.58552 0.00825617
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7710.17  -1.35469 75.9651 39.1889 26.5957 -7772.19 0.253361 0.232695 0.193328 0.320616  0.0511042    0.28687  0.0863095  0.0202951   0.545625 0.00979601
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7699.41  -1.48777 78.5125 38.9069 25.4185 -7762.94 0.249063 0.249883 0.180918 0.320136  0.0419094   0.325579  0.0730353 0.00754684    0.54519  0.0067403
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7704.6  -1.35469 77.2933 38.5326 29.3785 -7771.38 0.241912 0.240673 0.207084 0.310332  0.0534035   0.281338  0.0764698  0.0155536   0.567311 0.00592444
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7696.51  -1.4615 82.0379 38.9159 27.9446 -7766.12 0.246043 0.223402 0.214152 0.316403  0.0539492   0.261807  0.0727073  0.0135652   0.590539 0.00743252
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7691.15  -1.48777 80.349 38.6687 26.519 -7757.87 0.253568  0.22439 0.205813 0.316228  0.0593991   0.307721  0.0499569  0.0191827   0.554573 0.00916652
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7699.62  -1.35469 79.3514 39.0176 29.5712 -7768.17 0.249947 0.227488 0.205857 0.316708 0.0438697  0.294375 0.0691646 0.0127083  0.565695 0.0141878
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7687.06  -1.48777 82.5592 39.0981 27.7327 -7756.77 0.249331 0.219986 0.216395 0.314288  0.0398259   0.302468  0.0824356  0.0159853   0.549764 0.00952093
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7698.33  -1.4615 78.012 38.5518 27.5214 -7763.85 0.224426 0.247301 0.196055 0.332218  0.0479155   0.284075  0.0709891  0.0159033   0.571588 0.00952919
(1,2,(((3,6),(4,5)),((((7,8),9),10),(11,12)))); -7701.84  -3.46325 78.9239 39.0388 26.6212 -7764.89 0.246831 0.231462 0.211143 0.310565  0.0573744   0.259896   0.077543 0.00802487    0.58565  0.0115118
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7707.5  -1.35469 78.9748 39.1415 25.5183 -7771.49 0.241447  0.21629 0.228025 0.314239 0.0356008  0.308073 0.0626285 0.0190723  0.563278 0.0113473
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7705.59  -1.35469 77.1275 39.1847 29.5509 -7771.73 0.234594 0.248469  0.19772 0.319217  0.0431315   0.292925  0.0649438 0.00977933   0.580966 0.00825402
(1,2,(((3,(4,5)),6),(((((7,8),9),10),12),11))); -7699.8  -4.07343 75.2659 38.9459 29.7897 -7761.83  0.24363  0.23753 0.203942 0.314898  0.0545996   0.309701  0.0636926  0.0162471   0.548822 0.00693793
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7691.95  -1.48777 80.4957 39.2751 28.3531 -7760.03 0.259869 0.230393 0.194883 0.314856  0.0377738   0.292682  0.0634581 0.00819544   0.589176 0.00871501
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7690.96  -3.42318 80.0223 38.6527 28.3138 -7757.22  0.24392 0.245534  0.21093 0.299617  0.0444048   0.279084  0.0690854  0.0191007   0.578402 0.00992269
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7695.17  -1.4615 81.2207 38.7393 26.5708 -7762.76 0.245012 0.220275 0.206538 0.328175  0.0360631   0.298587  0.0833328  0.0202538   0.552957 0.00880542
