tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7904.34  -1.2024 76.2006 36.6143 61.0828 -8003.8 0.259225 0.253811 0.184027 0.302936  0.037598  0.298363 0.0500422 0.0108919  0.590822 0.0122831
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7713.07  -1.2024 85.4217 38.6919 56.9682 -7815.56 0.262819 0.251289 0.185993 0.299899 0.0376395  0.298399 0.0500492 0.0108768  0.590767 0.0122686
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7727.84  -1.39936 71.7518 38.7585 58.5867 -7818.02 0.253819 0.257214 0.185927 0.303039 0.0375605  0.298346 0.0500501 0.0108622  0.590874 0.0123068
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7727.33  -1.2024 79.2931 38.8727 62.6305 -7829.18 0.258889 0.255278 0.185422 0.300411 0.0375686  0.298466 0.0500417 0.0108669  0.590788 0.0122688
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7723.45  -1.2024 83.7527 38.4457 60.9588 -7828.51 0.257795 0.253725 0.182346 0.306134 0.0375604  0.298443 0.0500326 0.0108625  0.590806 0.0122953
(1,2,(((3,6),(4,5)),((((7,8),9),10),(11,12)))); -7822.98  -3.7218 79.5107 37.921 62.6725 -7923.52 0.258779 0.257414 0.183018 0.300788 0.0376011  0.298454 0.0500688 0.0108744  0.590714 0.0122873
(1,2,(((3,(4,5)),6),(((((7,8),9),10),12),11))); -7703.56  -4.23697 86.293 39.0783 62.0382 -7808.57 0.252764 0.256789 0.187305 0.303143  0.037583  0.298387  0.050029 0.0108696  0.590832 0.0122994
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7719.04  -1.2024 87.07 38.6724 62.8551 -7829.09 0.258397 0.259718 0.183907 0.297978  0.037587  0.298388 0.0500468 0.0108843  0.590816 0.0122775
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7722.95  -3.41209 77.4031 38.6594 61.0874 -7819.36 0.257559 0.259763 0.184361 0.298317 0.0375533  0.298372  0.050029 0.0108712  0.590882 0.0122923
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7725.19  -1.2024 73.2254 38.6148 60.259 -7818.86 0.256822 0.260741 0.186636   0.2958 0.0375696  0.298469 0.0500586 0.0108739  0.590727 0.0123017
