tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7701.72  -1.78728 77.1295 38.8384 0 -7738.22 0.242312 0.222933  0.21847 0.316285 0.0503272  0.304983 0.0696737 0.0133434  0.550633 0.0110402
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7720.15  -3.26425 86.4417 38.7949 0 -7764.53 0.242309 0.222931 0.218471 0.316288 0.0503292  0.304981 0.0696777 0.0133434  0.550629 0.0110395
(1,(2,((((7,8),9),10),(11,12))),((3,6),(4,5))); -7725.63  -3.72065 80.0209 38.3465 0 -7763.59 0.242308 0.222932 0.218471 0.316289 0.0503259   0.30498 0.0696759 0.0133438  0.550636 0.0110378
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7693.09  -0.571944 104.935 39.1016 0 -7758.35 0.242314 0.222934  0.21847 0.316282 0.0503279  0.304985 0.0696772  0.013342  0.550628   0.01104
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7700.26  -0.571944 126.423 38.8147 0 -7787.29 0.242308 0.222932 0.218474 0.316286 0.0503272  0.304979 0.0696754 0.0133434  0.550637 0.0110379
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7697.09  -1.78728 83.0101 38.9913 0 -7739.32  0.24231 0.222938  0.21847 0.316283 0.0503234  0.304983 0.0696687 0.0133426  0.550644 0.0110386
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7697.01  -1.78728 83.6506 39.1203 0 -7739.75 0.242315 0.222926 0.218469  0.31629 0.0503307  0.304984 0.0696762 0.0133422  0.550628 0.0110395
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7728.3  -2.04891 86.8321 39.063 0 -7774.02 0.242318 0.222928 0.218469 0.316286  0.050327  0.304978 0.0696725 0.0133423  0.550641 0.0110387
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7723.98  -2.04891 94.3193 39.2471 0 -7777 0.242315 0.222927 0.218469 0.316288 0.0503289  0.304981 0.0696737 0.0133421  0.550636 0.0110391
(1,(2,(((((7,8),9),10),12),11)),(3,((4,5),6))); -7692.76  -3.22845 74.1688 38.9536 0 -7724.75 0.242308 0.222939 0.218466 0.316287 0.0503288  0.304979 0.0696758 0.0133431  0.550634 0.0110392
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7707.25  -0.571944 86.5514 38.9401 0 -7754.29 0.242309 0.222932  0.21847  0.31629 0.0503276  0.304981 0.0696759 0.0133418  0.550635 0.0110388
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7732.09  -2.04891 81.797 39.1864 0 -7772.65 0.242312 0.222934 0.218473 0.316281 0.0503262  0.304988 0.0696726 0.0133436   0.55063 0.0110399
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7706.92  -1.78728 74.1555 39.2709 0 -7740.02 0.242316 0.222933 0.218468 0.316283  0.050329  0.304984 0.0696763 0.0133423   0.55063 0.0110382
(1,(2,(((((7,8),9),10),12),11)),(3,((4,5),6))); -7685.46  -3.22845 79.4759 38.7935 0 -7722.91 0.242309 0.222933 0.218468 0.316289   0.05033  0.304984 0.0696731 0.0133427  0.550632 0.0110386
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7692.07  -0.571944 83.8397 39.1245 0 -7736.21 0.242313 0.222933 0.218468 0.316287 0.0503257   0.30498 0.0696743 0.0133447  0.550638 0.0110374
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7709.51  -2.04891 116.427 39.0705 0 -7784.82 0.242311 0.222933 0.218467 0.316289 0.0503297  0.304992 0.0696762 0.0133413  0.550623 0.0110382
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7693.11  -0.571944 75.8453 38.352 0 -7730.03 0.242313 0.222935 0.218466 0.316286 0.0503287  0.304978 0.0696771 0.0133428  0.550634 0.0110392
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7687.19  -0.571944 86.6152 39.4868 0 -7733.74 0.242317 0.222935 0.218468  0.31628 0.0503263   0.30498 0.0696747 0.0133451  0.550636  0.011038
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7727.16  -2.04891 118.019 39.1178 0 -7804.01 0.242315 0.222935 0.218471 0.316279 0.0503307  0.304985 0.0696738 0.0133437  0.550629 0.0110381
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7689.56  -0.571944 83.1351 39.5017 0 -7732.62 0.242312 0.222932 0.218467 0.316289 0.0503265  0.304984 0.0696765  0.013343   0.55063 0.0110395
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7701.87  -1.78728 80.6297 39.3172 0 -7741.39 0.242312 0.222935 0.218471 0.316282 0.0503309   0.30498 0.0696766  0.013343  0.550631 0.0110388
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7706.86  -0.571944 295.622 39.5061 0 -7962.41 0.242311 0.222931 0.218476 0.316282   0.05033  0.304975 0.0696767 0.0133428  0.550637 0.0110385
