tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7736.91  -1.50698 76.4498 38.8712 28.8995 -7801.88 0.245459 0.237865 0.214151 0.302525  0.0597668   0.293225  0.0606754  0.0099732   0.568069 0.00829035
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7699.18  -1.26626 85.1823 39.0618 29.2809 -7773.32 0.236672  0.23032 0.219791 0.313217  0.0420534     0.3071  0.0714835 0.00816418   0.564109 0.00709052
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7698.24  -1.34808 84.2478 38.564 29.4215 -7771.99 0.250636 0.225549 0.207354 0.316462  0.0388417    0.28647  0.0718357 0.00885614   0.587644 0.00635213
(1,(2,(((((7,8),9),10),11),12)),((3,(4,5)),6)); -7712.9  -5.66322 75.6457 38.9515 29.011 -7772.94  0.24169 0.238075 0.203774 0.316461  0.0604854    0.29009  0.0765152  0.0125963   0.555391 0.00492259
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7714.2  -1.50698 80.7292 38.8112 29.5064 -7784.12 0.242509 0.223858 0.207177 0.326456 0.0492579  0.299603 0.0755086  0.011483  0.552071 0.0120772
(1,(2,(((((7,8),9),10),12),11)),((3,6),(4,5))); -7692.77  -6.30059 78.2092 38.6118 27.5304 -7753.6 0.233333 0.246887 0.209922 0.309858  0.0439566   0.316487  0.0767658 0.00545006   0.550419 0.00692137
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7688.19  -1.50698 86.6503 38.7736 27.2121 -7761.77 0.234129 0.244513 0.190781 0.330576 0.0386985  0.293957 0.0677557 0.0178426  0.569089 0.0126578
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7710.78  -1.34808 85.8308 38.5218 29.2454 -7785.99 0.235975 0.228328 0.205462 0.330235  0.0401014   0.300628   0.054806  0.0103555   0.584698 0.00941145
(1,2,(((3,(4,5)),6),(((((7,8),9),10),12),11))); -7713.2  -3.82718 81.1509 39.0049 21.2508 -7772.77 0.260673 0.225984 0.214975 0.298368  0.0540577   0.250204  0.0956739 0.00791845   0.585029 0.00711748
(1,2,(((3,(4,5)),6),(((((7,8),9),10),12),11))); -7709.78  -3.82718 94.6889 38.5168 28.6203 -7790.74 0.252637 0.227042  0.20604 0.314281  0.0622455   0.290949  0.0717375  0.0135701   0.555654 0.00584359
(1,2,(((3,6),(4,5)),(((((7,8),9),10),11),12))); -7721.31  -3.9831 78.7681 39.1253 29.7702 -7786.74 0.240656 0.244999 0.199537 0.314809 0.0528578  0.296924   0.05704 0.0114298  0.570601 0.0111472
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7723.28  -1.34808 88.1882 38.9205 28.1236 -7799.33 0.251856  0.24126 0.199809 0.307076  0.0514732   0.274717  0.0558126  0.0140923   0.598069 0.00583515
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7707.97  -1.26626 82.2653 38.8663 29.8255 -7779.93 0.250477 0.231062 0.203586 0.314875  0.0383111   0.301742  0.0643947  0.0164675   0.571937 0.00714711
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7703.63  -1.50698 81.281 38.8137 25.5847 -7770.18 0.257842 0.225989 0.208956 0.307213  0.0666908   0.321365  0.0609165  0.0147716   0.529629 0.00662702
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7728.05  -1.26626 74.5447 37.8737 29.7501 -7793.2 0.246023 0.238959 0.200777 0.314241 0.0480771  0.293662 0.0641291 0.0164315  0.564507 0.0131934
(1,2,(((3,(4,5)),6),((((7,8),9),10),(11,12)))); -7796.52  -3.66827 83.7289 38.2532 27.8443 -7866.17 0.233367  0.23496 0.209995 0.321678  0.0594526   0.314013  0.0795712  0.0105886   0.527342 0.00903268
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7713.55  -1.50698 82.7314 38.8956 25.359 -7781.24 0.229266 0.247369 0.203232 0.320132 0.0436407  0.327618 0.0723116  0.019883  0.522708 0.0138393
