tree logl logTop logProp logPrior logWt
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7769.92  -1.36413 101.707 38.9924 -7831.27
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7727.25  -1.36413 77.7747 38.9615 -7764.7
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7745.43  -1.36413 176.982 38.8616 -7882.18
(1,(2,(((((7,8),9),10),12),11)),(3,((4,5),6))); -7690.28  -3.09466 75.0126 39.1285 -7723.07
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7706.17  -2.54976 82.8287 38.6126 -7747.83
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7714.01  -1.36413 89.5697 38.5832 -7763.63
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7717.36  -1.36413 85.9075 38.9052 -7763
(1,2,(((3,6),(4,5)),(((((7,8),9),10),11),12))); -7721.03  -3.92862 78.8847 39.2718 -7756.72
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7696.93  -1.36413 89.2997 38.7727 -7746.1
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7722.36  -1.47045 77.9288 39.3341 -7759.49
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7702.02  -1.36413 83.3192 39.1005 -7744.87
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7704  -1.47045 79.9211 39.368 -7743.08
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7699.05  -1.90903 234.047 39.0963 -7892.09
(1,2,(((3,6),(4,5)),(((((7,8),9),10),11),12))); -7710.56  -3.92862 83.1579 38.953 -7750.84
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7697.27  -1.36413 82.5947 38.8273 -7739.68
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7712.23  -1.36413 87.8216 39.2558 -7759.43
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7715.66  -1.47045 83.046 39.1382 -7758.09
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7694.98  -2.54976 82.5711 39.1903 -7735.81
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7690.73  -2.54976 77.7298 39.1477 -7726.76
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7698.12  -1.47045 90.3678 39.0297 -7747.99
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7770.2  -1.36413 87.6346 38.8209 -7817.65
(1,2,(((3,6),(4,5)),(((((7,8),9),10),11),12))); -7766.48  -3.92862 77.3839 39.5832 -7800.35
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7703.78  -1.90903 89.076 38.7499 -7752.19
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7706.24  -1.47045 83.453 38.8256 -7749.4
(1,(2,(((((7,8),9),10),12),11)),(3,((4,5),6))); -7689.42  -3.09466 77.4645 38.7915 -7725
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7716.72  -1.90903 147.683 39.1419 -7823.35
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7690.74  -1.90903 82.7568 39.0207 -7732.56
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7719.33  -1.47045 85.2589 39.1759 -7763.95
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7811.64  -1.36413 284.883 38.7152 -8056.44
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7706.08  -1.47045 76.9784 39.6544 -7741.93
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7740.38  -1.47045 131.793 38.8777 -7831.82
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7707.29  -1.47045 71.9441 39.189 -7738.57
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7699.43  -2.01535 82.1128 38.993 -7740.53
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7688.32  -1.90903 82.4778 38.8872 -7730
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7710.79  -1.36413 195.611 39.1697 -7865.87
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7703.38  -2.01535 75.727 38.9889 -7738.1
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7698.4  -1.36413 83.7398 39.105 -7741.67
(1,2,(((3,6),(4,5)),(((((7,8),9),10),11),12))); -7731.14  -3.92862 77.5305 38.1229 -7766.62
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7697.19  -2.01535 82.3072 39.1557 -7738.33
(1,(2,((((7,8),9),10),(11,12))),((3,6),(4,5))); -7695.67  -4.3672 84.5441 39.3979 -7736.45
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7727.98  -1.47045 84.9658 39.1089 -7772.36
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7732.24  -1.36413 144.528 38.987 -7836.41
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7699.35  -1.47045 88.4043 38.969 -7747.31
(1,(2,(((((7,8),9),10),12),11)),(3,((4,5),6))); -7687.6  -3.09466 79.266 38.9215 -7724.85
