tree logl logTop logProp logPrior logWt
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7719.02  -2.5116 119.935 39.1389 -7797.3
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7692.58  -2.5116 82.4213 39.1128 -7733.38
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7725.47  -1.91082 86.1717 39.0294 -7770.71
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7704.28  -2.02625 77.7363 39.0881 -7740.9
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7701.38  -1.4909 82.7179 39.3681 -7743.24
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7720.87  -1.37548 155.972 38.8271 -7836.64
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7701.37  -2.5116 80.1802 39.8199 -7739.22
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7702.65  -2.02625 79.71 39.3818 -7740.95
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7712.69  -1.37548 85.4966 38.7796 -7758.03
(1,(2,((((7,8),9),10),(11,12))),((3,6),(4,5))); -7702.55  -4.33696 89.7482 39.2169 -7748.74
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7710.43  -1.37548 79.599 39.1659 -7749.49
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7710.7  -1.91082 112.438 39.329 -7781.9
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7701.01  -1.91082 79.9581 39.5793 -7739.48
(1,(2,(((((7,8),9),10),12),11)),(3,((4,5),6))); -7688.98  -3.04695 76.869 38.915 -7723.88
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7710.44  -1.37548 219.937 39.0467 -7889.96
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7701.42  -2.02625 79.5812 39.2554 -7739.72
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7739.1  -1.91082 126.454 39.2984 -7824.34
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7696.53  -1.91082 82.4235 39.1394 -7737.91
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7738.04  -2.5116 113.247 38.754 -7810.02
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7697.84  -2.02625 81.3565 39.018 -7738.16
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7718.23  -1.37548 85.2559 39.2686 -7762.84
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7717.06  -1.4909 83.8419 38.6133 -7760.8
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7703.45  -2.02625 78.3848 39.271 -7740.53
(1,(2,((((7,8),9),10),(11,12))),((3,(4,5)),6)); -7712.2  -5.20123 82.7849 38.9087 -7750.88
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7767.33  -1.37548 141.837 38.7723 -7869.02
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7731.23  -1.37548 139.037 39.0294 -7829.86
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7705.8  -1.91082 115.946 39.5123 -7780.33
(1,2,(((3,6),(4,5)),(((((7,8),9),10),11),12))); -7701.82  -3.91704 81.6982 38.9359 -7740.67
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7700.48  -2.02625 80.2703 38.9568 -7739.77
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7721.5  -1.4909 105.791 39.0481 -7786.75
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7699.44  -1.4909 80.529 39.183 -7739.3
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7707.68  -1.4909 84.1818 38.9705 -7751.4
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7789.32  -1.4909 97.7898 39.1125 -7846.51
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7697.19  -1.4909 85.0866 38.679 -7742.11
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7872.91  -1.37548 104.104 38.7815 -7936.85
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7702.1  -2.02625 80.7101 39.5124 -7741.27
(1,(2,(((((7,8),9),10),12),11)),((3,6),(4,5))); -7698.69  -5.47308 75.4002 38.7174 -7729.9
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7699.9  -2.02625 78.2033 38.6859 -7737.39
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7701.89  -1.4909 82.5518 39.2651 -7743.68
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7746.16  -1.37548 179.587 38.6404 -7885.73
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7724.96  -1.4909 117.996 38.892 -7802.58
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7700.35  -1.4909 82.903 39.0175 -7742.75
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7702.81  -1.91082 99.6394 39.3093 -7761.23
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7739.3  -1.37548 92.1912 39.547 -7790.57
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7714.54  -1.4909 82.5203 38.6302 -7756.93
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7742.73  -1.4909 189.023 39.0345 -7891.23
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7700.27  -1.91082 82.5857 39.4535 -7741.49
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7704.81  -1.4909 80.1149 39.1908 -7744.24
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7734.97  -1.37548 132.637 39.184 -7827.04
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7712.52  -1.37548 94.0485 39.2833 -7765.91
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7687.72  -2.5116 81.1073 39.1323 -7727.19
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7700.9  -1.4909 81.5744 38.9784 -7742.01
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7717.64  -1.4909 84.1519 39.2108 -7761.09
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7689.91  -1.91082 84.2887 39.6212 -7732.66
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7751.35  -1.37548 172.78 39.3193 -7883.43
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7688.71  -1.37548 86.4788 38.9596 -7734.85
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7705.54  -1.91082 93.66 38.6644 -7758.62
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7724.25  -1.4909 86.0069 39.3404 -7769.43
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7697.59  -2.02625 84.1354 38.9886 -7740.71
