tree logl logTop logProp logPrior logWt
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7700.15 -1.37733 74.1684 38.6249 -7734.32
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7691.94 -1.37733 81.1753 38.8148 -7732.92
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7692.2 -1.88116 77.8733 38.9325 -7729.26
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7705.15 -2.01039 75.781 39.4128 -7739.51
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7695.03 -2.01039 86.13 39.2952 -7739.85
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7696.13 -1.37733 76.0759 38.8844 -7731.95
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7691.47 -1.37733 82.8246 39.2052 -7733.71
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7690.96 -1.37733 82.2463 39.1033 -7732.73
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7699.72 -2.01039 77.926 38.6485 -7736.99
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7688.57 -1.37733 85.2613 39.1021 -7733.35
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7698.69 -1.50656 83.0537 39.1438 -7741.09
(1,(2,(((((7,8),9),10),12),11)),(3,((4,5),6))); -7686.66 -3.01609 78.937 38.7294 -7723.85
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7684.66 -2.51226 82.5922 39.1218 -7725.62
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7702.65 -1.50656 76.0958 38.904 -7738.34
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7699.34 -2.01039 81.6592 39.1143 -7739.88
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7693.59 -1.88116 78.5369 39.3101 -7730.93
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7702.38 -1.50656 79.1908 38.9961 -7741.07
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7699.97 -1.50656 82.9203 39.3099 -7742.08
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7699.03 -1.37733 72.4884 38.3478 -7731.79
(1,2,(((3,6),(4,5)),(((((7,8),9),10),12),11))); -7687.75 -4.94768 82.6295 39.0965 -7726.33
(1,2,(((3,6),(4,5)),(((((7,8),9),10),11),12))); -7703.14 -3.94198 78.3491 38.8325 -7738.71
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7694.47 -1.37733 78.1145 38.7218 -7732.49
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7699.38 -2.01039 80.2407 38.7229 -7738.89
(1,(2,(((((7,8),9),10),11),12)),((3,6),(4,5))); -7703.26 -4.4458 80.1073 39.4291 -7739.49
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7708.65 -1.50656 72.9749 39.0881 -7741.03
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7703.75 -1.50656 77.1449 39.0295 -7740.36
(1,(2,((((7,8),9),10),(11,12))),((3,6),(4,5))); -7695.37 -4.31657 78.0989 38.8717 -7730.28
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7694.33 -1.37733 79.874 39.2347 -7733.59
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7696.68 -2.01039 82.6811 38.6352 -7738.72
