tree logl logTop logProp logPrior logWt
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7700.68 -1.28441 80.6159 38.9785 -7743.6
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7688.97 -1.54588 79.2543 38.6899 -7731.08
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7691.67 -1.42802 81.8042 39.0462 -7735.85
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7689.37 -1.54588 78.7876 39.3455 -7730.36
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7699.69 -1.42802 75.1532 38.9807 -7737.29
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7692.65 -1.42802 81.0091 38.9779 -7736.11
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7697.52 -1.42802 76.1039 38.6513 -7736.4
(1,2,(((3,(4,5)),6),(((((7,8),9),10),12),11))); -7695.41 -4.26048 79.0969 38.7959 -7739.97
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7701.34 -1.28441 79.7334 39.2313 -7743.13
(1,2,(((3,6),(4,5)),(((((7,8),9),10),12),11))); -7689.98 -3.78805 81.7872 39.0949 -7736.46
(1,2,(((3,(4,5)),6),((((7,8),9),10),(11,12)))); -7699.34 -4.14263 80.455 38.9187 -7745.02
(1,(2,(((((7,8),9),10),11),12)),((3,6),(4,5))); -7704.02 -5.40717 79.2794 39.1257 -7749.59
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7700.21 -1.28441 80.11 39.2642 -7742.34
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7700.27 -1.28441 82.0608 39.5862 -7744.03
(1,2,(((3,6),(4,5)),(((((7,8),9),10),11),12))); -7706.35 -3.52658 77.5874 39.3644 -7748.1
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7690.62 -1.54588 77.5796 39.0627 -7730.68
(1,2,(((3,6),(4,5)),(((((7,8),9),10),11),12))); -7704.9 -3.52658 79.0394 38.9746 -7748.49
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7693.48 -1.54588 73.873 38.8601 -7730.04
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7690.3 -1.54588 78.1315 39.1397 -7730.84
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7690.25 -1.42802 82.9748 39.1109 -7735.54
(1,2,(((3,6),(4,5)),(((((7,8),9),10),11),12))); -7703.81 -3.52658 79.2105 39.1005 -7747.44
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7687.42 -1.54588 82.7813 38.8434 -7732.91
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7706.3 -1.28441 74.1041 38.892 -7742.79
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7695.61 -1.42802 78.2297 39.1573 -7736.11
(1,(2,(((((7,8),9),10),12),11)),(3,((4,5),6))); -7689.7 -3.42648 76.8497 39.4479 -7730.53
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7688.9 -1.54588 79.9233 39.0976 -7731.28
(1,2,(((3,6),(4,5)),(((((7,8),9),10),12),11))); -7687.4 -3.78805 82.2084 39.2609 -7734.14
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7692.61 -1.42802 81.3071 38.8638 -7736.48
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7698.33 -1.28441 80.2304 38.5537 -7741.29
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7689.18 -1.54588 75.8017 38.1714 -7728.36
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7704.6 -1.28441 74.627 38.5433 -7741.96
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7700.34 -1.42802 74.2631 39.215 -7736.82
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7688.95 -3.30862 81.4447 39.051 -7734.65
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7691.23 -1.54588 74.1668 38.6385 -7728.3
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7706.19 -3.16501 73.1605 39.1557 -7743.36
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7701.54 -1.28441 79.6511 38.7204 -7743.76
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7695.46 -1.28441 85.7927 39.1496 -7743.39
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7687.26 -1.54588 80.5475 39.2275 -7730.12
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7684.44 -1.54588 83.7143 39.0336 -7730.66
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7692.15 -1.54588 75.1138 39.0343 -7729.78
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7691.57 -1.42802 83.0153 39.262 -7736.75
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7684.77 -1.54588 84.1631 39.0969 -7731.38
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7690.55 -1.42802 84.3094 39.392 -7736.89
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7701.98 -1.28441 78.8083 39.3311 -7742.74
(1,2,(((3,6),(4,5)),(((((7,8),9),10),12),11))); -7692.62 -3.78805 76.1707 38.9915 -7733.59
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7697.62 -1.42802 76.9924 39.3089 -7736.73
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7690.28 -1.42802 84.64 39.094 -7737.25
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7692.66 -3.30862 78.4562 39.4191 -7735
(1,2,(((3,6),(4,5)),((((7,8),9),10),(11,12)))); -7699.1 -3.67019 79.2305 39.3239 -7742.68
(1,(2,(((((7,8),9),10),12),11)),(3,((4,5),6))); -7693.48 -3.42648 72.8218 38.8022 -7730.93
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7699.02 -1.28441 81.2552 38.7667 -7742.79
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7694.57 -1.42802 79.9592 39.0118 -7736.95
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7691.32 -1.42802 81.1039 38.6492 -7735.21
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7699.93 -1.28441 81.3657 39.2268 -7743.35
(1,2,(((3,6),(4,5)),(((((7,8),9),10),12),11))); -7693.3 -3.78805 77.3441 39.1756 -7735.26
(1,2,(((3,6),(4,5)),((((7,8),9),10),(11,12)))); -7694.86 -3.67019 82.2464 39.2392 -7741.54
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7692.27 -1.42802 81.7732 38.7361 -7736.74
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7695.55 -1.28441 86.6008 39.2444 -7744.19
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7687.53 -1.54588 80.9866 39.0754 -7730.98
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7689.54 -1.54588 77.9638 39.3572 -7729.69
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7706.89 -1.28441 75.0472 39.0917 -7744.13
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7698.88 -1.28441 82.2224 39.2372 -7743.15
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7684.41 -1.54588 84.1251 38.9918 -7731.09
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7690.04 -1.54588 77.8333 39.2603 -7730.16
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7686.53 -1.54588 82.335 39.4326 -7730.98
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7705.99 -1.28441 74.3145 38.9781 -7742.61
(1,2,(((3,6),(4,5)),(((((7,8),9),10),11),12))); -7703.66 -3.52658 79.6821 39.0762 -7747.79
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7699.3 -1.28441 79.2786 38.5438 -7741.32
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7690.96 -1.42802 84.4961 39.1817 -7737.7
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7699.83 -1.28441 81.0019 38.8207 -7743.3
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7700.1 -1.28441 80.5257 39.1735 -7742.73
(1,(2,(((((7,8),9),10),11),12)),(3,((4,6),5))); -7722.95 -8.71125 74.4643 38.7452 -7767.38
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7695.4 -3.30862 75.0163 39.2164 -7734.51
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7691.16 -1.42802 82.8106 38.8743 -7736.52
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7705.56 -1.28441 77.5833 39.5528 -7744.87
(1,2,(((3,6),(4,5)),(((((7,8),9),10),12),11))); -7685.94 -3.78805 85.2442 39.327 -7735.65
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7698.7 -1.42802 75.5791 39.6363 -7736.07
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7694.51 -1.42802 81.3756 39.0932 -7738.22
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7685.81 -1.54588 81.89 39.2953 -7729.95
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7691.63 -1.54588 77.5171 39.318 -7731.37
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7687.85 -3.30862 81.3048 38.6468 -7733.82
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7697.85 -3.16501 82.3313 39.1723 -7744.17
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7685.71 -1.54588 80.8762 38.6802 -7729.45
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7697.94 -1.42802 75.5883 38.8586 -7736.1
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7695.67 -1.42802 78.0547 39.3577 -7735.79
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7693.54 -1.54588 74.5028 39.0639 -7730.52
