tree logl logTop logProp logPrior logWt
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7690.54 -1.88116 80.5317 39.1332 -7730.05
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7690.04 -1.88116 78.7371 38.6995 -7728.2
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7689.92 -2.51226 77.7463 39.2921 -7725.86
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7700.63 -1.50656 81.3149 39.317 -7741.12
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7698 -1.50656 81.4954 38.8839 -7739.11
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7687.85 -1.88116 82.7491 39.0102 -7729.7
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7687.7 -1.88116 81.4881 39.0877 -7728.22
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7687.83 -2.51226 80.0363 38.9855 -7726.36
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7688.83 -1.88116 79.1751 38.6815 -7727.44
(1,(2,(((((7,8),9),10),11),12)),((3,(4,5)),6)); -7709.42 -5.44063 80.2044 38.8435 -7745.34
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7698.21 -2.01039 82.5625 38.8407 -7739.92
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7692.36 -1.37733 81.7319 39.1558 -7733.56
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7690.61 -2.51226 79.2399 39.1083 -7728.23
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7694.67 -1.37733 78.7574 38.483 -7733.57
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7701.9 -1.50656 77.1786 38.7862 -7738.79
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7689.33 -1.88116 80.8767 39.4745 -7728.85
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7695.28 -1.37733 76.2135 38.8453 -7731.27
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7694.76 -1.37733 77.5623 38.597 -7732.34
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7706.52 -2.01039 73.7156 39.6302 -7738.59
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7699.33 -1.50656 80.6567 39.0666 -7739.42
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7708.26 -1.50656 73.0503 39.5271 -7740.28
(1,(2,(((((7,8),9),10),11),12)),((3,(4,5)),6)); -7713.13 -5.44063 78.5512 39.2297 -7747.01
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7696.51 -1.37733 77.3541 38.7374 -7733.75
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7697.26 -1.50656 84.493 39.18 -7741.07
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7697.78 -1.50656 83.009 39.2513 -7740.03
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7701.71 -1.50656 78.4452 38.6947 -7739.95
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7704.58 -1.50656 77.309 39.2668 -7741.11
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7692.52 -1.88116 77.2705 38.6791 -7729.23
(1,2,(((3,6),(4,5)),(((((7,8),9),10),11),12))); -7708.65 -3.94198 74.725 38.645 -7740.79
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7686.67 -1.88116 82.1593 39.1742 -7727.77
(1,(2,(((((7,8),9),10),12),11)),(3,((4,5),6))); -7691.55 -3.01609 75.4609 39.1762 -7724.81
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7696.1 -2.01039 85.9442 39.514 -7740.52
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7697.52 -2.01039 83.0525 39.0221 -7739.54
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7690.55 -1.88116 77.7674 39.1547 -7727.28
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7690.89 -1.88116 79.6911 38.8563 -7729.84
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7699.47 -2.01039 79.6357 38.6107 -7738.49
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7689.64 -1.37733 84.2271 39.1153 -7733.37
(1,(2,(((((7,8),9),10),12),11)),(3,((4,5),6))); -7688.45 -3.01609 78.76 39.1924 -7725
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7686.41 -2.51226 79.3155 38.7872 -7724.42
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7696.14 -1.37733 78.577 39.4244 -7733.92
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7694.3 -1.37733 79.4557 39.1384 -7733.24
(1,(2,((((7,8),9),10),(11,12))),((3,6),(4,5))); -7691.94 -4.31657 81.9792 38.9148 -7730.69
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7700.53 -1.50656 78.3695 38.295 -7739.1
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7703.51 -2.01039 76.4083 38.7515 -7739.15
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7700.79 -1.50656 80.8048 39.0643 -7741.03
(1,(2,((((7,8),9),10),(11,12))),((3,(4,5)),6)); -7692.91 -5.31139 84.6861 38.8927 -7733.39
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7699.07 -1.37733 75.6226 38.9516 -7734.36
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7684.79 -1.88116 83.9331 38.8867 -7727.96
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7695.34 -1.88116 75.0672 38.9054 -7729.62
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7695.88 -1.37733 77.5803 38.9295 -7733.15
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7697.7 -1.50656 83.6493 39.055 -7740.79
(1,2,(((3,6),(4,5)),((((7,8),9),10),(11,12)))); -7698.95 -3.81274 76.8064 38.909 -7733.03
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7692.42 -1.37733 81.1889 39.2354 -7733
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7696.35 -1.37733 78.3032 39.2554 -7734.02
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7693.63 -1.37733 80.9976 39.142 -7734.1
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7696.05 -1.37733 76.1719 38.771 -7732.08
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7696.01 -1.37733 75.8746 38.863 -7731.64
(1,2,(((3,6),(4,5)),((((7,8),9),10),(11,12)))); -7699.95 -3.81274 76.7814 38.608 -7734.31
(1,2,(((3,6),(4,5)),((((7,8),9),10),(11,12)))); -7698.37 -3.81274 78.8546 39.1286 -7734.28
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7698.12 -1.37733 77.821 39.6537 -7734.91
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7700.66 -1.50656 79.4317 38.8691 -7739.71
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7703.89 -1.50656 76.5741 38.6158 -7740.35
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7693.32 -1.37733 79.1267 38.7674 -7732.31
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7691.5 -1.88116 78.5528 38.6822 -7729.49
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7696.61 -2.01039 84.0751 39.3289 -7739.35
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7688.75 -1.88116 80.7766 39.1663 -7728.48
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7699.06 -2.01039 78.3583 38.3968 -7737.02
(1,(2,(((((7,8),9),10),11),12)),((3,(4,5)),6)); -7707.23 -5.44063 82.9715 39.1465 -7745.61
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7692.88 -1.88116 79.2774 38.9398 -7731.33
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7695.95 -1.37733 79.438 39.2241 -7734.78
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7697.72 -1.37733 75.9806 38.888 -7733.43
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7702.05 -1.50656 77.0547 38.5423 -7739.06
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7696.41 -1.50656 83.9412 38.8968 -7739.94
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7695.93 -1.37733 76.1728 38.7557 -7731.97
(1,(2,(((((7,8),9),10),12),11)),(3,((4,5),6))); -7684.04 -3.01609 81.3946 38.9674 -7723.45
(1,(2,(((((7,8),9),10),11),12)),((3,6),(4,5))); -7701.74 -4.4458 80.6577 38.8235 -7739.12
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7688.18 -1.88116 82.3996 39.5412 -7729.16
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7690.42 -1.88116 81.3087 39.2775 -7730.57
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7700.57 -1.50656 79.9307 38.8521 -7740.15
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7691.8 -1.37733 83.0862 39.1606 -7734.35
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7692.99 -1.88116 78.2539 39.1971 -7730.16
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7700.46 -1.50656 81.7373 39.1404 -7741.55
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7697.12 -2.01039 84.1692 39.1521 -7740.13
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7695.36 -1.37733 77.8602 39.1489 -7732.69
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7691.49 -1.37733 82.2264 39.0753 -7733.26
