tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,(2,(3,4)),((5,6),(((7,(((((((((11,(16,18)),17),(12,13)),(14,26)),((20,21),23)),(15,22)),(19,24)),25),27)),10),(8,9)))); -6903.6  -5.77035 254.898 113.543 0 -7039.19 0.230922 0.238631 0.299603 0.230845 0.0790675  0.137538 0.0804345  0.240598   0.35429  0.108072
(1,(2,(3,4)),((((((5,6),8),9),7),10),((((((((((11,(16,18)),17),(12,13)),(14,26)),20),(19,24)),(21,(22,23))),15),25),27))); -6945.53  -5.1269 253.649 113.533 0 -7080.52  0.23093 0.238627 0.299598 0.230845  0.079061  0.137535 0.0804395  0.240603   0.35429  0.108071
(1,(2,(3,4)),((((((5,6),8),9),10),7),(((((((((11,(16,18)),17),(12,13)),(14,26)),20),21),((15,(19,24)),(22,23))),25),27))); -7007.82  -12.15 254.818 112.519 0 -7137.96 0.230929 0.238624 0.299599 0.230848 0.0790705  0.137539 0.0804293  0.240602   0.35429   0.10807
(1,((2,4),3),((((((5,6),8),9),10),7),((((((((((11,(16,18)),17),(12,13)),(14,26)),20),(19,24)),(21,(22,23))),15),25),27))); -6980.84  -5.83664 234.043 112.306 0 -7096.74 0.230922 0.238631 0.299596 0.230851 0.0790668  0.137538 0.0804328  0.240607  0.354289  0.108067
(1,(2,(3,4)),((5,6),((7,((8,9),10)),(((((((11,(16,18)),((12,26),((13,17),14))),((20,21),23)),(15,22)),(19,24)),25),27)))); -6927.02  -10.4247 254.556 113.433 0 -7057.72  0.23092 0.238627 0.299602  0.23085 0.0790663  0.137538 0.0804339  0.240603  0.354286  0.108073
(1,((2,4),3),((5,6),(((7,((((((((11,18),(12,(13,14))),(16,(17,26))),((20,21),23)),(15,22)),(19,24)),25),27)),10),(8,9)))); -6978.02  -11.0391 259.412 113.52 0 -7112.87  0.23093 0.238629 0.299591 0.230851 0.0790695  0.137537 0.0804389  0.240604  0.354284  0.108066
(1,(2,(3,4)),((((((5,6),8),9),7),10),(((((((((11,(16,18)),17),(12,13)),(14,26)),((20,21),23)),(15,22)),(19,24)),25),27))); -6920.69  -4.17689 259.477 113.51 0 -7062.48 0.230927 0.238631 0.299596 0.230846  0.079069  0.137534 0.0804346  0.240605  0.354288  0.108069
(1,((2,4),3),((5,6),(((7,((((((((((11,16),18),12),((13,14),26)),17),(20,(21,23))),(15,22)),(19,24)),25),27)),10),(8,9)))); -7031.86  -13.8626 272.948 112.848 0 -7178.1 0.230929 0.238627 0.299597 0.230847 0.0790666   0.13754 0.0804349  0.240607  0.354286  0.108065
(1,((2,3),4),((5,6),((((7,((((((((((11,(16,18)),17),(12,13)),(14,26)),15),23),((19,24),22)),(20,21)),25),27)),10),9),8))); -6912.98  -6.41292 251.522 113.319 0 -7044.77 0.230923 0.238628 0.299601 0.230848 0.0790682  0.137535 0.0804361  0.240609  0.354285  0.108067
(1,(2,(3,4)),((((((5,6),8),9),7),10),(((((((((11,(16,18)),12),((13,14),26)),17),((20,21),23)),(15,22)),(19,24)),25),27))); -7002.67  -5.17691 258.511 112.429 0 -7143.57  0.23093 0.238629 0.299597 0.230843  0.079066  0.137537 0.0804327  0.240611  0.354286  0.108067
