tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,((2,3),4),(((((5,6),(8,9)),10),7),(((((((11,(16,18)),((12,(13,14)),(17,26))),((15,(19,24)),(22,23))),21),20),25),27))); -7027.43  -2.83605 261.56 114.372 24.6702 -7196.45 0.240677 0.210789 0.303694  0.24484 0.0747687  0.137446 0.0797934  0.249736  0.363374 0.0948822
(1,((2,3),4),(((((5,6),(8,9)),10),7),(((((((11,(16,18)),((12,26),(13,(14,17)))),((15,((19,24),22)),23)),21),20),25),27))); -6947.44  -9.15179 255.176 113.336 25.1442 -7105.27 0.214763 0.263413 0.283775 0.238049 0.0817322  0.142549 0.0769085  0.254855  0.340159  0.103796
(1,((2,3),4),((((((5,6),8),9),10),7),(((((((11,(16,18)),((12,(13,14)),(17,26))),((15,(19,24)),(22,23))),21),20),25),27))); -6915.35  -0.836962 251.285 113.615 25.9122 -7078.1 0.220239 0.245598 0.312785 0.221377 0.0684856  0.142774 0.0717864  0.234292  0.369799  0.112863
(1,((2,3),4),(((((5,6),(8,9)),10),7),((((((11,(16,18)),((12,(13,14)),(17,26))),((15,(19,24)),(22,23))),(20,21)),25),27))); -6926.95  -5.83605 238.318 113.045 27.4207 -7073.8  0.23956 0.229303 0.311575 0.219562 0.0695374  0.126152 0.0810699  0.251889  0.362324  0.109028
(1,((2,3),4),((((((5,6),8),9),10),7),(((((((11,(16,18)),((12,(13,14)),(17,26))),((15,(19,24)),(22,23))),21),20),25),27))); -6928.9  -0.836962 258.042 113.408 30.1919 -7102.89 0.224553 0.238698 0.299605 0.237145 0.0816212  0.131084  0.077981  0.249508  0.358264  0.101541
(1,((2,3),4),((((((5,6),8),9),10),7),(((((((11,(16,18)),((12,(13,14)),(17,26))),((15,(19,24)),(22,23))),21),20),25),27))); -6898.4  -0.836962 253.8 113.302 21.4035 -7059.46  0.23053 0.234163 0.294916 0.240391 0.0771168  0.127343 0.0751448  0.280189  0.323992  0.116214
(1,((2,3),4),((((((5,6),8),9),10),7),(((((((11,(16,18)),((12,(13,14)),(17,26))),((15,((19,24),22)),23)),21),20),25),27))); -7039.14  -5.15023 263.468 112.762 29.7328 -7214.43 0.231788 0.231825  0.30918 0.227206 0.0813855  0.133106 0.0864343  0.248914  0.351853 0.0983079
(1,(2,(3,4)),((((((5,6),8),9),10),7),((((((11,(16,18)),((((12,(13,14)),(17,26)),23),(15,((19,24),22)))),21),20),25),27))); -6943.81  -7.0882 247.078 112.973 26.2396 -7097.06 0.252928 0.230418 0.301057 0.215598 0.0771785  0.132912 0.0767987  0.260928  0.340166  0.112018
(1,((2,3),4),((((((5,6),8),9),10),7),((((((11,(16,18)),((12,(13,14)),(17,26))),((15,(19,24)),(22,23))),21),20),(25,27)))); -6962.2  -3.91541 249.269 113.404 28.6347 -7122.78 0.220515 0.236979 0.300098 0.242408 0.0778127  0.127564 0.0865091  0.249775  0.344995  0.113344
(1,((2,3),4),((5,6),((((7,((((((11,(16,18)),21),((((12,(13,14)),(17,26)),23),((15,(19,22)),24))),20),25),27)),10),9),8))); -6919.17  -6.36618 239.358 113.087 28.8561 -7067.93 0.232383 0.246906 0.293924 0.226787 0.0791301  0.121637 0.0833159  0.242722  0.365669  0.107526
(1,((2,3),4),((((((5,6),8),9),10),7),(((((((11,(16,18)),((12,(13,14)),(17,26))),((15,(19,24)),(22,23))),21),20),25),27))); -6962.56  -0.836962 257.187 113.469 30.0498 -7135.49 0.240939 0.238751 0.296725 0.223584 0.0793779  0.130359 0.0821125  0.234608  0.364398  0.109144
(1,((2,3),4),(((((5,6),(8,9)),10),7),(((((((11,(16,18)),((12,(13,14)),(17,26))),((15,(19,24)),(22,23))),21),20),25),27))); -6909.82  -2.83605 248.609 113.496 25.3808 -7067.48 0.228062 0.241247 0.295832 0.234859 0.0733003  0.130832 0.0917807  0.267823  0.339591 0.0966723
(1,((2,3),4),((((((5,6),8),9),10),7),((((((11,(16,18)),21),((((12,(13,14)),(17,26)),23),((15,(19,22)),24))),20),25),27))); -6996.3  -3.36618 250.317 112.622 27.6075 -7158.24 0.235911 0.243287 0.304012  0.21679 0.0776983  0.123708 0.0746518  0.254008  0.354097  0.115837
(1,((2,3),4),((((((5,6),8),9),10),7),(((((((11,(16,18)),((12,(13,14)),(17,26))),((15,(19,24)),(22,23))),21),20),25),27))); -7010.86  -0.836962 248.988 112.378 29.2836 -7175.91  0.22095 0.245371 0.306958 0.226721 0.0762765  0.139991 0.0818112  0.243207   0.36229 0.0964242
(1,((2,3),4),((((((5,6),8),9),10),7),(((((((11,(16,18)),((12,(13,14)),(17,26))),((15,(19,24)),(22,23))),21),20),25),27))); -6914.42  -0.836962 249.699 113.411 28.6882 -7078.56 0.245292 0.231918 0.295525 0.227266 0.0802313  0.136016 0.0761267  0.249957  0.340586  0.117083
(1,((2,3),4),((((((5,6),8),9),10),7),(((((((11,(16,18)),((12,(13,14)),(17,26))),((15,(19,24)),(22,23))),21),20),25),27))); -6962.73  -0.836962 243.562 112.777 27.9613 -7120.64 0.224059 0.239999 0.296541 0.239401 0.0684809   0.14023 0.0739502  0.242347  0.359414  0.115578
(1,((2,3),4),((((((5,6),8),9),10),7),(((((((11,(16,18)),((12,(13,14)),(17,26))),((15,(19,24)),(22,23))),21),20),25),27))); -6915.86  -0.836962 238.541 112.933 29.0945 -7069.73 0.225219 0.225693 0.313439 0.235649 0.0765561  0.146903 0.0780615  0.238401  0.351419  0.108659
(1,((2,3),4),((((((5,6),8),9),10),7),((((((11,(16,18)),21),(((12,(13,14)),(17,26)),((15,(19,24)),(22,23)))),20),25),27))); -6953.82  -4.10151 258.336 113.21 28.1127 -7122.96 0.230281 0.226511 0.300766 0.242442 0.0763469   0.13086 0.0922992  0.244449  0.344464  0.111581
(1,((2,3),4),((((((5,6),8),9),10),7),(((((((11,(16,18)),(((12,13),17),(14,26))),((15,(19,24)),(22,23))),21),20),25),27))); -6907.81  -3.83944 263.277 113.682 25.1246 -7078.69 0.228215 0.226665 0.310022 0.235097 0.0640467  0.143615 0.0853296   0.22906  0.361757  0.116192
(1,((2,3),4),((((((5,6),8),9),10),7),(((((((11,(16,18)),((12,26),(13,(14,17)))),((15,(19,24)),(22,23))),21),20),25),27))); -6938.88  -2.83944 248.441 113.449 28.7037 -7099.74 0.239008 0.254455 0.289283 0.217253 0.0787595   0.14003 0.0784879  0.239719  0.361124   0.10188
(1,((2,3),4),((5,6),((((7,((((((11,(16,18)),21),((((12,(13,14)),(17,26)),23),((15,(19,22)),24))),20),25),27)),10),9),8))); -6973.56  -6.36618 257.168 113.15 30.0122 -7141.22 0.238166 0.237039 0.294756 0.230039 0.0817884   0.12794 0.0773314  0.239211  0.364409  0.109321
