tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,(2,((((3,(4,(5,6))),(7,((8,9),10))),(11,12)),(((13,14),15),((((16,17),19),18),((20,21),(((22,23),24),(25,26))))))),27); -7782.15  -23.1849 226.981 112.45 27.327 -7900.82 0.224296 0.256009 0.280179 0.239515 0.0904427  0.156355 0.0595034  0.263266   0.33671 0.0937223
(1,(2,(((3,(4,(5,6))),7),(((((((((((8,9),10),11),12),((13,14),15)),(16,(17,18))),(20,21)),19),(22,(23,24))),25),26))),27); -7709.64  -20.0868 244.358 112.396 26.5866 -7848.1 0.227862 0.250537 0.285889 0.235713 0.0961932  0.137557 0.0602842  0.265817  0.324792  0.115356
(1,(2,((3,((4,(5,6)),7)),((((((((((((8,9),10),11),12),((13,15),14)),(16,17)),19),18),20),(((21,22),24),23)),25),26))),27); -7670.72  -20.9467 237.829 112.527 27.6511 -7802.73 0.210027 0.252493 0.295536 0.241944 0.0980663  0.142971 0.0559876  0.241465   0.35452   0.10699
(1,((2,(3,(4,(5,(6,7))))),((((((((((8,10),9),11),12),((13,14),15)),16),(17,18)),(19,(20,21))),((22,24),23)),(25,26))),27); -7626.77  -13.7466 230.851 112.457 28.677 -7760.1 0.218811 0.254171 0.292125 0.234893 0.0962133  0.148241 0.0643417  0.244077  0.342015  0.105112
(1,(2,27),((3,(((4,6),5),7)),(((((((((8,10),9),(11,12)),(13,(14,15))),(((16,17),18),(19,20))),21),((22,23),24)),25),26))); -7714.89  -17.1903 225.948 112.063 22.1471 -7833.73  0.22373 0.244568 0.285522  0.24618 0.0996023  0.135956 0.0895657  0.224507  0.325621  0.124748
(1,(((2,((4,6),(5,7))),3),(((((((((8,10),9),11),12),13),(14,15)),((((16,17),18),19),(20,21))),((22,24),23)),(25,26))),27); -7645.15  -14.3931 234.881 112.063 25.6568 -7779.24 0.215979 0.251789 0.291146 0.241086 0.0891221  0.121614 0.0841534  0.238071  0.348867  0.118174
(1,(2,((3,((4,(6,7)),5)),((((((((((8,9),10),11),12),13),(14,15)),((16,(17,(18,19))),(20,21))),((22,24),23)),25),26))),27); -7628.7  -13.1985 238.625 112.577 26.9998 -7768.55 0.216267 0.245495 0.300257 0.237981 0.0802698  0.151887 0.0703238  0.269587  0.315322   0.11261
(1,((2,(3,((4,5),(6,7)))),((((((((((8,10),9),11),12),13),14),(((15,16),17),(((18,19),20),21))),((22,24),23)),25),26)),27); -7654.72  -16.6723 235.696 112.256 28.376 -7789.86 0.220763 0.251402  0.29074 0.237096 0.0943006   0.14372 0.0596563  0.241984  0.355604  0.104735
(1,(2,((3,((4,(6,7)),5)),((((((((8,10),9),12),11),((13,14),15)),(16,((17,18),((19,20),21)))),((22,24),23)),(25,26)))),27); -7665.48  -20.8509 234.88 112.146 25.4906 -7792.85 0.219064 0.261887 0.283026 0.236022 0.0793835  0.127573 0.0660735  0.233178  0.380619  0.113173
(1,((2,((3,4),(5,(6,7)))),(((((((((8,9),10),11),12),13),((14,15),16)),(17,((18,19),(20,21)))),(((22,24),23),25)),26)),27); -7650.38  -15.6243 215.158 112.053 23.4746 -7761.33 0.219245 0.267445 0.282821 0.230489 0.0820133  0.138565  0.059029  0.227947  0.356265  0.136181
(1,((2,(3,((4,(5,6)),7))),((((((((((8,10),9),12),11),((13,15),14)),(16,17)),(18,(19,(20,21)))),(22,(23,24))),25),26)),27); -7671.07  -16.6335 232.116 112.183 22.2078 -7796.58 0.211565  0.26132 0.294795  0.23232 0.0707746  0.125537 0.0656604  0.252198  0.342115  0.143715
(1,(2,27),(((3,((4,(6,7)),5)),((8,10),9)),((((((11,12),(13,(14,15))),((16,(((18,19),20),21)),17)),22),(23,24)),(25,26)))); -7695.91  -24.5731 235.575 112.289 27.4912 -7822.11 0.222746 0.256787 0.287916 0.232551 0.0894215  0.147782 0.0517318   0.25038  0.344035   0.11665
(1,((2,(3,(4,(5,(6,7))))),((((8,10),9),(11,12)),((((((13,14),15),(((16,17),19),18)),(20,21)),((22,23),24)),(25,26)))),27); -7685.97  -20.9582 221.257 112.171 26.0507 -7800.15 0.207063 0.249642 0.296625  0.24667 0.0784199   0.16305 0.0515975  0.258271  0.355711 0.0929509
(1,2,(((3,((4,(5,6)),7)),(((((((8,9),10),11),12),(13,(14,15))),(((16,17),(18,(19,20))),((21,(22,24)),23))),(25,26))),27)); -7642.98  -18.1753 231.807 112.192 27.89 -7772.31  0.21279 0.261993 0.284764 0.240453 0.0784411  0.153711 0.0646996  0.259227  0.325384  0.118537
(1,2,((((3,4),(5,(6,7))),((((((((((8,10),9),(11,12)),13),(14,15)),((16,17),((18,19),20))),(21,22)),(23,24)),25),26)),27)); -7623.21  -18.5884 239.186 112.074 23.9472 -7755.69 0.221395  0.24431 0.303813 0.230482 0.0906116  0.128944 0.0549064  0.251596  0.378608  0.095334
(1,((2,3),(((4,((5,6),7)),((8,9),10)),((((11,12),14),(13,15)),((((16,17),18),((19,20),21)),((22,(23,24)),(25,26)))))),27); -7743.99  -23.6515 236.036 112.346 26.2493 -7870.28 0.213643 0.262465 0.297269 0.226623  0.099157  0.140508 0.0761133  0.240643  0.341987  0.101591
(1,((((2,4),3),(5,(6,(7,8)))),((((9,10),11),12),((13,(14,15)),(((16,17),(18,(19,(20,21)))),(((22,24),23),(25,26)))))),27); -7651.15  -17.6117 234.68 112.421 24.6431 -7780.44 0.200162 0.257979 0.299063 0.242795 0.0822295  0.121416 0.0611444  0.266747  0.342716  0.125747
(1,((2,((3,(4,6)),5)),((((((7,((8,9),10)),(11,12)),13),(14,15)),(((16,19),(17,18)),((20,21),((22,24),(23,25))))),26)),27); -7750.82  -22.8184 236.967 112.163 25.9787 -7878.78 0.205654 0.253054 0.293047 0.248246 0.0831249  0.158114 0.0841339  0.251261   0.31141  0.111956
