tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,(((2,3),(4,5)),((((6,7),(8,(9,10))),(((11,12),((13,14),15)),((16,17),(18,19)))),((20,21),(22,23)))),24); -124461  -9.08765 218.134 84.9886 39.4993 -124625 0.244363 0.259259 0.183284 0.313094  0.367566    0.1579  0.110629 0.0355797   0.30466 0.0236662
(1,((((2,3),((((4,5),(6,7)),(8,(9,10))),(((11,12),(13,14)),(((15,16),(17,18)),(19,20))))),(21,22)),23),24); -124317  -9.29682 219.426 85.0875 37.3762 -124479 0.242802  0.25471 0.190374 0.312114  0.362528  0.156567  0.108985  0.036744  0.308739 0.0264369
(1,((2,3),(((((4,5),(6,7)),(8,(9,10))),(((11,12),(13,14)),((15,(16,17)),(18,19)))),((20,21),(22,23)))),24); -124354  -5.67021 218.774 85.0011 34.4404 -124516 0.243544 0.259188 0.187307  0.30996  0.374044  0.153285  0.105539 0.0374269  0.306856 0.0228479
(1,2,(((3,4),((((5,6),(7,8)),(9,10)),((((11,12),(13,(14,15))),((16,17),(18,19))),((20,21),(22,23))))),24)); -124501  -10.794 217.1 84.6613 37.6946 -124660 0.239931 0.262098 0.185341 0.312631  0.359953  0.158156  0.114432 0.0361246    0.3063 0.0250344
(1,((2,(3,4)),((((5,6),((7,8),(9,10))),((11,(12,13)),(((14,15),(16,17)),((18,19),(20,21))))),(22,23))),24); -124422  -10.4523 224.422 84.9866 37.8062 -124589 0.242949 0.258142 0.188397 0.310511  0.367969  0.161164  0.107536 0.0339931   0.30319 0.0261474
(1,((((2,3),(4,5)),(((6,7),(8,(9,10))),((((11,12),(13,14)),((15,16),17)),((18,19),(20,21))))),(22,23)),24); -124223  -6.24512 214.672 84.997 38.9875 -124386 0.245304 0.257772 0.183931 0.312993  0.365279  0.158253  0.109202 0.0370591  0.307056 0.0231522
(1,((2,3),(((((4,5),(6,7)),(8,(9,10))),(((11,12),((13,(14,15)),(16,17))),((18,19),(20,21)))),(22,23))),24); -124452  -8.4761 226.004 85.0889 37.8168 -124622 0.239769 0.258204 0.187234 0.314793  0.369234  0.156756  0.115198 0.0348306  0.299151 0.0248302
(1,(2,(((3,4),((((5,6),(7,8)),((9,10),(11,12))),((((13,14),15),(16,17)),((18,19),(20,21))))),(22,23))),24); -124387  -9.09628 225.321 84.766 35.7091 -124554 0.245393 0.257026 0.184732 0.312849  0.363082  0.151464  0.112294 0.0365304  0.311705 0.0249249
(1,2,(((((((3,4),(5,6)),((7,8),(9,10))),(((11,12),(13,14)),((15,16),(17,18)))),(19,(20,21))),(22,23)),24)); -124261  -8.80478 220.516 84.8993 37.6115 -124426 0.245476 0.256516 0.184743 0.313265  0.364098  0.155592  0.113441  0.034028  0.309808 0.0230332
(1,((((2,3),(4,5)),(((((6,7),8),(9,10)),((11,12),((13,14),15))),(((16,17),18),(19,(20,21))))),(22,23)),24); -124329  -7.99605 214.057 84.8066 37.6585 -124488 0.242682 0.253238 0.189988 0.314092   0.36172    0.1608  0.115845 0.0345922  0.302135 0.0249086
(1,((2,3),(((((4,5),(6,7)),(8,(9,10))),((11,12),((((13,14),15),(16,17)),(18,19)))),((20,21),(22,23)))),24); -124497  -8.00596 214.599 84.8943 38.0992 -124657 0.244733 0.258531 0.181375  0.31536  0.369714  0.159698   0.11101 0.0345857  0.301127 0.0238662
(1,(2,((((3,(4,5)),((((6,7),8),(9,10)),(11,12))),((13,(14,15)),(((16,17),18),(19,20)))),((21,22),23))),24); -124895  -14.9941 214.244 84.7267 37.1534 -125046 0.243436 0.253962 0.191462  0.31114  0.366027  0.155654   0.11134 0.0337934  0.308811  0.024374
(1,2,(((3,4),(((5,6),(7,8)),((9,10),((((11,12),(13,14)),((15,16),((17,18),19))),((20,21),(22,23)))))),24)); -124670  -15.1534 216.65 85.135 38.7132 -124825 0.241272 0.259805 0.183242  0.31568  0.362555  0.159312  0.111132  0.037776  0.303854 0.0253707
(1,(((2,3),((((4,5),6),((7,8),(9,10))),(((11,12),((13,14),15)),((16,17),((18,19),(20,21)))))),(22,23)),24); -124394  -10.1051 215.974 85.1465 33.5045 -124548 0.241564 0.252107 0.185794 0.320535  0.369758  0.163173  0.103413 0.0330888  0.306794 0.0237741
(1,2,((3,4),((((5,6),(7,8)),(9,10)),((((11,12),(13,14)),(((15,16),(17,18)),(19,20))),((21,22),(23,24)))))); -124289  -9.13107 210.494 84.9908 33.4623 -124438 0.244334  0.24865 0.192582 0.314433  0.367607  0.160014  0.107532 0.0333529  0.307914 0.0235793
(1,2,(((((((3,4),5),(6,7)),((8,(9,10)),(11,12))),(((13,14),15),((16,17),18))),((19,20),(21,22))),(23,24))); -124715  -12.187 212.337 84.501 36.3506 -124867 0.246179 0.251481 0.186228 0.316112   0.36178  0.155277  0.110434 0.0371494  0.310001 0.0253581
(1,((((2,3),(4,5)),(((6,7),(8,(9,10))),(((11,12),((13,14),((15,16),17))),(18,(19,20))))),((21,22),23)),24); -124487  -10.8558 228.301 84.9193 36.4752 -124656 0.243084 0.253463 0.185152 0.318301  0.365532  0.165394   0.10975 0.0357961  0.300012 0.0235159
(1,(((2,3),(((4,5),(6,7)),(((8,(9,10)),(11,12)),(((13,(14,15)),(16,17)),((18,19),(20,21)))))),(22,23)),24); -124458  -6.32759 209.381 85.1309 34.0142 -124610 0.243762 0.252532 0.188966  0.31474  0.373456  0.153678  0.105856 0.0327435  0.309814 0.0244527
