tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,((2,(3,4)),((((5,(6,7)),(8,(9,10))),((((11,12),(13,14)),(15,(16,17))),((18,19),(20,21)))),(22,23))),24); -124526  -8.51111 217.281 84.6784 24.9344 -124675 0.248857 0.259905  0.17643 0.314808  0.331699  0.146756  0.141996  0.040599  0.314531 0.0244186
(1,(((2,(3,4)),((((5,6),(7,8)),(9,10)),((((11,12),(13,14)),(15,16)),((17,18),(19,(20,21)))))),(22,23)),24); -124250  -9.51827 209.862 85.126 27.823 -124393 0.233636 0.262638  0.18401 0.319717  0.375127  0.138873  0.128834 0.0353374  0.296802 0.0250271
(1,2,((((3,4),(5,(6,7))),(((8,(9,10)),(11,(12,13))),(((14,15),(16,17)),((18,19),(20,21))))),((22,23),24))); -124500  -8.75096 218.697 84.8713 29.2546 -124655 0.235939 0.254313 0.190923 0.318825  0.357338  0.178287  0.107822 0.0325159  0.295995 0.0280413
(1,((((2,3),(((((4,5),6),(7,8)),(9,10)),(11,12))),(((13,14),(15,(16,17))),((18,19),(20,21)))),(22,23)),24); -124580  -14.0005 215.848 84.6863 28.9412 -124727 0.245975 0.257278 0.179696 0.317051  0.342586  0.171775  0.107633 0.0411109  0.310691 0.0262045
(1,(((2,(3,4)),((((5,6),(7,8)),(9,10)),(((11,12),((13,14),15)),((16,17),((18,19),(20,21)))))),(22,23)),24); -124396  -6.07894 214.627 84.8315 24.2565 -124544 0.236424 0.269645 0.192811  0.30112  0.338419  0.170995  0.110627 0.0293438  0.320223  0.030393
(1,((((2,3),(4,5)),((((6,7),8),(9,10)),((11,(12,13)),((((14,15),16),(17,18)),(19,(20,21)))))),(22,23)),24); -124499  -13.3328 216.855 85.0247 22.4469 -124640 0.241107 0.261866 0.171394 0.325633  0.370009   0.17585  0.129856 0.0341767  0.271708    0.0184
(1,(((2,(3,4)),(((((5,6),(7,8)),(9,10)),((11,12),(13,14))),(((15,16),17),((18,19),(20,21))))),(22,23)),24); -124302  -7.29616 213.076 84.9666 26.7257 -124449 0.241234 0.256649 0.196258 0.305859  0.337516  0.178564  0.111915 0.0338156  0.322383 0.0158059
(1,2,((((3,4),5),(((6,7),(8,(9,10))),(((11,(12,13)),(((14,15),16),(17,18))),((19,20),(21,22))))),(23,24))); -124753  -15.4588 218.629 84.5066 25.4877 -124897 0.252197 0.248246 0.192073 0.307484  0.325654  0.182356  0.119121 0.0344451  0.314132 0.0242923
(1,((((2,3),4),((((5,(6,7)),(8,(9,10))),((11,12),(13,14))),((15,(16,17)),((18,19),(20,21))))),(22,23)),24); -124548  -9.12582 219.536 84.868 27.3638 -124701 0.243574 0.248467 0.184327 0.323633  0.359648  0.150137  0.107846 0.0247485  0.334967 0.0226537
(1,((2,(3,4)),(((((5,6),(7,8)),((9,10),(11,12))),(((13,14),15),((16,17),(18,19)))),((20,21),(22,23)))),24); -124371  -6.53209 217.393 85.0556 29.1755 -124526 0.244266 0.260695 0.185379  0.30966  0.381258  0.166829  0.104955 0.0386657  0.287275 0.0210171
