tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,((((2,3),(4,5)),(((((6,7),8),(9,10)),(11,(12,13))),(((14,15),(16,17)),((18,19),(20,21))))),(22,23)),24); -124193  -5.82969 217.765 85.0404 34.1665 -124355 0.240557 0.262301 0.185554 0.311588  0.361137   0.15528  0.114873 0.0364213  0.306625 0.0256633
(1,((((2,3),(4,5)),(((6,7),(8,(9,10))),(((11,12),((13,14),(15,(16,17)))),((18,19),(20,21))))),(22,23)),24); -124302  -7.41918 209.335 85.4638 27.7366 -124446 0.238438 0.254244 0.191226 0.316093  0.389627  0.163093 0.0974258 0.0364328  0.297398 0.0160242
(1,2,((((((3,4),(5,6)),(((7,8),(9,10)),(((11,12),(13,14)),((15,16),17)))),((18,19),(20,21))),(22,23)),24)); -124408  -8.45012 218.019 85.1525 30.2708 -124563 0.232533 0.253487 0.187303 0.326677  0.346028  0.157993  0.119675 0.0400812  0.310586 0.0256362
(1,(((((2,3),(4,5)),(((6,7),8),(9,10))),((((11,12),(13,14)),(15,(16,17))),((18,19),(20,21)))),(22,23)),24); -124179  -5.33043 214.719 84.8892 33.5843 -124337 0.241074  0.25897 0.182889 0.317066  0.348864  0.158677   0.12407 0.0376792  0.302672 0.0280375
(1,((((2,3),(4,5)),(((((6,7),8),(9,10)),(((11,12),(13,14)),((15,16),17))),((18,19),(20,21)))),(22,23)),24); -124265  -7.26832 216.038 85.0744 32.0733 -124420 0.237545 0.255905 0.184864 0.321685  0.336747  0.166615  0.115635  0.034242   0.31724 0.0295215
(1,((2,(3,4)),(((((5,6),(7,8)),((9,10),(11,12))),(((13,14),15),((16,17),(18,(19,20))))),((21,22),23))),24); -124380  -9.57019 222.774 84.947 34.2178 -124542 0.246072 0.254921 0.184254 0.314753  0.362422  0.159346  0.107263 0.0366677  0.303593 0.0307092
(1,2,(((3,4),5),((((6,7),(8,(9,10))),((11,12),(((13,14),15),((16,17),(18,19))))),((20,21),((22,23),24))))); -124863  -13.7845 224.232 84.6823 32.059 -125021 0.240498 0.258353   0.1824 0.318749  0.355773  0.155202  0.117937 0.0323594  0.306969 0.0317591
(1,2,(((((3,4),(5,6)),(((7,8),(9,10)),(((11,12),(13,14)),(15,(16,17))))),(((18,19),(20,21)),(22,23))),24)); -124381  -11.3918 212.987 85.0316 30.347 -124528 0.234599 0.255646 0.192505  0.31725  0.349485  0.161847    0.1026 0.0352676  0.322189 0.0286118
(1,((((2,3),(4,5)),(((((6,7),8),(9,10)),(11,12)),(((13,(14,15)),(16,17)),((18,19),(20,21))))),(22,23)),24); -124319  -6.37312 224.705 84.7359 34.2326 -124487 0.241607 0.256075 0.185104 0.317214    0.3498  0.162846  0.113276 0.0401807  0.312196 0.0217017
(1,(((2,3),(((4,5),(6,7)),(((8,(9,10)),(11,(12,13))),(((14,15),(16,17)),((18,19),(20,21)))))),(22,23)),24); -124322  -5.72742 215.246 85.1796 33.0955 -124480 0.243112 0.260362 0.181811 0.314716  0.377885  0.154318  0.115932 0.0348614  0.294969 0.0220344
(1,(((2,(3,4)),((((5,6),(7,8)),(9,10)),((((11,12),(13,14)),(15,(16,17))),((18,19),(20,21))))),(22,23)),24); -124225  -6.81764 218.68 84.9921 33.76 -124386 0.240428 0.254991 0.183859 0.320721  0.360251  0.161492  0.112649 0.0327213  0.310802 0.0220846
(1,(((((2,3),(4,5)),(((6,7),8),(9,10))),(((11,12),((13,(14,15)),((16,17),18))),((19,20),21))),(22,23)),24); -124726  -12.4226 216.263 84.8268 32.5887 -124878 0.238001 0.253491 0.191002 0.317506  0.364401   0.15462  0.105417 0.0345403  0.310685 0.0303372
(1,((2,3),(((((4,5),(6,7)),(8,(9,10))),(((11,12),((13,14),15)),((16,17),(18,19)))),((20,21),(22,23)))),24); -124416  -5.31423 219.016 85.0819 35.3243 -124580 0.239224 0.256861 0.188522 0.315393  0.350045  0.160316  0.112878 0.0373464  0.314002 0.0254119
(1,(((((2,3),(4,5)),(((6,7),8),(9,10))),((((11,12),(13,14)),((15,16),(17,18))),(19,(20,21)))),(22,23)),24); -124180  -6.55239 211.924 84.9445 34.426 -124334 0.245141 0.256649 0.186299 0.311911  0.36639 0.159761 0.108343 0.038798 0.301277 0.025432
(1,((((2,3),(4,5)),((((6,7),8),((9,10),(11,12))),((((13,14),15),(16,17)),((18,19),(20,21))))),(22,23)),24); -124206  -4.24551 222.763 85.0407 34.4562 -124374 0.243233 0.250399 0.188961 0.317407  0.367414  0.159414  0.109882 0.0332459   0.30361 0.0264335
(1,(((2,(3,4)),((((5,6),(7,8)),((9,10),(11,12))),(((13,14),((15,16),17)),((18,19),(20,21))))),(22,23)),24); -124387  -6.99385 219.963 84.6995 30.8979 -124546 0.245588 0.258479 0.191851 0.304082  0.340598  0.165532  0.121885  0.034682  0.314304 0.0229989
(1,(((((2,3),(4,5)),(((6,7),8),(9,10))),(((11,12),(13,14)),(((15,16),17),(18,(19,20))))),((21,22),23)),24); -124251  -8.88344 217.871 85.1546 32.0253 -124407 0.238343 0.251951 0.189915 0.319791  0.361766  0.161692  0.117373 0.0308176  0.305978 0.0223723
(1,(((2,(3,4)),((((5,6),(7,8)),(9,10)),((((11,12),(13,14)),((15,16),(17,18))),(19,(20,21))))),(22,23)),24); -124291  -8.0396 215.28 85.0499 29.1808 -124443 0.247908 0.248075 0.191121 0.312896  0.343635  0.166489  0.109756 0.0376055  0.306959 0.0355554
(1,2,((3,4),(((((5,6),(7,8)),((9,10),((11,12),(13,(14,15))))),((16,17),(18,19))),(((20,21),22),(23,24))))); -124412  -12.7439 214.415 84.9549 31.2254 -124560 0.238202 0.250147 0.192736 0.318915    0.3695  0.160874  0.117822 0.0319028  0.299619 0.0202821
(1,(((2,(3,4)),(((5,(6,7)),(8,(9,10))),((((11,12),(13,14)),((15,16),17)),(18,(19,20))))),((21,22),23)),24); -124613  -10.5937 212.514 84.5728 32.2571 -124763 0.245178 0.253194 0.186462 0.315166  0.330025  0.167687  0.115941 0.0358616  0.323383 0.0271027
