tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,((2,((3,(4,(5,6))),7)),((((((((((8,9),10),11),12),13),(14,15)),((16,17),(18,19))),(((20,21),23),(22,24))),25),26)),27); -7669.96  -13.9719 236.45 112.453 25.7798 -7805.76 0.248196 0.249209 0.283824 0.218771  0.106702   0.20511 0.0545417  0.187267  0.346164  0.100214
(1,(2,(((3,(4,(5,6))),(7,(8,(9,10)))),((11,12),(((13,(14,15)),16),((((17,(20,21)),22),18),((((19,23),24),25),26)))))),27); -7839.52  -19.5381 236.607 111.953 30.0421 -7974.68 0.239509 0.255545 0.276569 0.228377 0.0983622  0.190624 0.0650446   0.19068  0.352668  0.102622
(1,(2,27),((3,(4,(5,6))),(((((((7,((8,10),9)),(11,12)),13),(14,15)),(16,17)),((18,19),(20,21))),(((22,24),(25,26)),23)))); -7715.12  -19.195 236.771 112.628 27.0038 -7847.07 0.214579  0.25473  0.30109 0.229601 0.0936238  0.188087 0.0552485  0.193201  0.372528 0.0973123
(1,((2,(3,(4,(5,(6,7))))),((((((((((8,9),10),12),(11,13)),(14,15)),(((16,17),18),19)),(20,21)),((22,24),23)),25),26)),27); -7653.19  -14.859 231.145 112.585 28.5282 -7785.42 0.225437 0.262044 0.275906 0.236613  0.106808  0.180343 0.0512816  0.191215  0.366852    0.1035
(1,(((2,(3,((4,(5,6)),7))),((((8,9),10),12),11)),((13,(14,15)),(((16,(17,18)),19),((((((20,21),22),23),25),24),26)))),27); -7791.41  -23.5968 239.168 112.262 28.6261 -7923.34 0.225321 0.248596 0.303476 0.222607  0.101616  0.187869 0.0619477  0.186447  0.362401 0.0997199
(1,((2,(3,(4,((5,6),7)))),(((8,9),10),(((11,12),((13,15),14)),(((((16,19),(17,18)),(20,21)),22),((23,24),(25,26)))))),27); -7696.4  -21.8969 227.558 112.149 30.4187 -7820.33 0.239526 0.250654 0.270816 0.239004  0.104604  0.183393 0.0583879  0.189897  0.365069 0.0986494
(1,(2,((3,(4,((5,6),7))),(((((((((8,10),9),(11,13)),12),(14,15)),(((16,17),(18,19)),20)),(((21,22),23),24)),26),25))),27); -7674.69  -21.1325 219.616 112.305 27.9755 -7788.84 0.228148 0.264592 0.280681 0.226578  0.108553  0.168534 0.0653469  0.182252  0.371537  0.103778
(1,((2,((3,4),(5,(6,7)))),((((((((((8,9),10),11),12),13),((((14,15),(16,17)),18),19)),((20,21),22)),(23,24)),25),26)),27); -7643.48  -17.7379 230.043 112.169 29.9088 -7773.53 0.228385  0.25441 0.280386 0.236819  0.100861   0.17832 0.0643602  0.192565  0.358136  0.105759
(1,(((2,4),(3,(5,((6,7),((8,9),10))))),(((11,12),13),((((14,15),((16,17),(18,19))),(20,21)),((22,(23,24)),(25,26))))),27); -7755.56  -18.7286 236.463 112.08 23.3544 -7884.57 0.219604 0.271798 0.277677 0.230921  0.110848  0.205678 0.0668794  0.189634  0.341447 0.0855123
(1,((2,(3,(4,((5,6),7)))),((((((((((8,10),9),11),12),13),14),15),((16,17),(18,19))),((20,21),((22,23),24))),(25,26))),27); -7603.26  -15.6947 238.496 112.545 27.2445 -7740.76 0.246028 0.254576 0.280062 0.219334   0.10432  0.188451 0.0509538  0.200465  0.369325  0.086485
(1,((2,27),(3,(4,(5,(6,7))))),((((((((8,10),9),11),12),((13,(14,15)),(16,17))),((18,(19,20)),21)),((22,24),23)),(25,26))); -7672.09  -18.6507 224.616 112.193 23.7408 -7789.6 0.223389 0.268252 0.286042 0.222317 0.0991212  0.170116 0.0771642  0.177073  0.375283  0.101242
(1,(2,((3,(((4,6),5),7)),((8,(9,10)),((((((((11,(12,13)),(14,15)),16),((17,18),(19,(20,21)))),23),(22,24)),25),26)))),27); -7776.72  -24.8885 234.31 111.953 29.2252 -7903.42 0.240546 0.270113  0.26853 0.220811  0.106514    0.1837 0.0640976  0.183653  0.364471 0.0975656
(1,(2,((3,(((4,6),7),5)),(((((((((8,9),10),11),12),((13,14),15)),(((16,17),18),19)),(((20,21),23),(22,24))),25),26))),27); -7689.89  -15.2874 232.123 112.104 29.1316 -7823.75 0.239608 0.253094 0.281672 0.225625 0.0972665  0.177798 0.0620379  0.182254  0.386508 0.0941352
(1,((2,((3,4),(5,6))),(((((((((7,((8,9),10)),11),12),13),(14,15)),(((16,17),(18,19)),(20,21))),(22,(23,24))),25),26)),27); -7677.7  -15.0121 233.197 112.316 29.4874 -7813.05 0.229566 0.260992 0.281106 0.228335  0.106837   0.17224 0.0579198  0.190782  0.366338  0.105884
(1,((2,(3,(4,((5,7),6)))),((((((((((((8,9),10),11),12),13),(14,15)),(((16,17),18),19)),(20,21)),22),(23,24)),25),26)),27); -7614.3  -14.7907 239.886 112.435 26.9346 -7753.89 0.250632 0.257627 0.272207 0.219535    0.1009  0.192202 0.0623208  0.198665  0.340556  0.105356
(1,((2,(3,(4,(5,(6,7))))),(((((((((8,(9,10)),11),12),13),((14,(15,16)),((17,(18,19)),20))),22),(21,(23,24))),25),26)),27); -7658.46  -21.886 236.219 112.289 25.1978 -7785.7 0.214947 0.254357 0.304775 0.225921  0.103102  0.181075 0.0538434  0.186664  0.385864 0.0894522
(1,((2,27),(((((((((8,9),10),(11,13)),12),(14,15)),22),((((16,17),18),(19,20)),21)),(23,24)),(25,26))),(3,(4,(5,(6,7))))); -7673.45  -24.2574 234.552 112.015 30.4573 -7802.19 0.231814 0.253996 0.278443 0.235748  0.107008  0.180682 0.0646725  0.185532  0.362121 0.0999838
(1,((2,((3,4),(5,(6,7)))),((((((((((8,9),10),11),12),((13,14),15)),(16,17)),((18,19),(20,21))),22),(23,24)),(25,26))),27); -7627.4  -14.6503 242.737 112.506 25.7239 -7768.7 0.251411 0.274641 0.257145 0.216803   0.10184  0.191841 0.0558579  0.192011  0.358478 0.0999713
