tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,2,((((((3,(4,5)),((6,(7,8)),((9,10),11))),((12,13),14)),(15,16)),(17,(18,19))),(((((20,(21,22)),((23,24),25)),(((26,27),28),(29,30))),(31,32)),((33,34),((35,(36,37)),((38,(((40,42),41),43)),39)))))); -23794.3  -25.3045 324.488 160.69 33.4176 -23966.2  0.27515 0.217862  0.26688 0.240109 0.0851855  0.240502  0.148194 0.0758734  0.332386   0.11786
(1,(2,(((((((((3,4),((5,6),(7,8))),((9,10),11)),(12,13)),(((14,15),16),(17,(18,19)))),((((20,(21,22)),(23,24)),(25,26)),((((27,28),29),30),((31,32),33)))),((34,35),(36,37))),(38,39)),((40,42),41))),43); -23567.7  -17.7676 313.775 160.144 32.7031 -23736.3 0.272534 0.217533 0.263816 0.246117 0.0816714  0.248555  0.148655  0.077026  0.324318  0.119775
(1,2,((((((3,4),(5,(6,(7,8)))),((9,10),11)),(12,13)),(((((14,15),16),(17,(18,19))),((((((20,(21,22)),(23,24)),(25,26)),((27,28),(29,30))),(31,32)),(33,34))),((35,(36,37)),(38,(39,((40,42),41)))))),43)); -23634.4  -18.6226 320.855 161.169 29.0216 -23804.4 0.278333 0.206684 0.264726 0.250257 0.0785675  0.244524  0.155201 0.0839559  0.322177  0.115574
(1,((2,3),((((((((((4,5),((6,7),8)),((9,10),11)),(((12,13),14),(15,16))),((((21,22),23),24),(25,26))),((17,(18,19)),20)),(((27,28),(29,30)),(31,32))),(33,34)),(35,(36,37))),(38,((39,40),(41,42))))),43); -23733.7  -24.8298 314.636 160.837 28.8047 -23891.5 0.284289 0.219997  0.26521 0.230504 0.0797775  0.235051  0.152511 0.0818958  0.332495   0.11827
(1,2,(((3,(4,(5,6))),((((7,8),(9,(10,11))),(12,(13,14))),(((((15,16),17),(18,19)),((20,(21,22)),(23,24))),(((((25,26),(27,28)),(29,30)),((31,32),33)),((34,((38,39),((40,42),41))),(35,(36,37))))))),43)); -23682.3  -25.4832 315.721 161.276 25.9076 -23837.2 0.263631 0.224646 0.270905 0.240818 0.0981084  0.239115  0.144309 0.0663421  0.333605  0.118521
(1,2,((((((((((3,4),((5,6),(7,8))),((9,(10,11)),((12,13),14))),(((15,16),(17,(18,19))),((20,(21,22)),(23,24)))),(25,26)),(31,32)),(((27,28),29),30)),((33,34),(35,(36,37)))),((38,39),((40,41),42))),43)); -23598.1  -17.839 319.261 160.818 26.2351 -23765  0.27276 0.225135 0.266585  0.23552 0.0855482  0.247585  0.155508 0.0796031  0.304863  0.126893
(1,2,((((3,4),(5,6)),(((((((7,8),((9,10),11)),(12,13)),((14,15),16)),(((17,18),19),((((20,(21,22)),((23,24),(25,26))),(27,28)),((29,30),(31,(32,33)))))),(34,(35,(36,37)))),((38,(39,40)),(41,42)))),43)); -23752.5  -32.0552 319.177 161.766 30.1902 -23908.1   0.2748 0.215797 0.269396 0.240007 0.0754356  0.245206   0.14066 0.0775941  0.348916  0.112188
(1,2,(((((((3,4),((5,6),(7,8))),(((9,10),11),((12,13),(14,15)))),((16,(17,(18,19))),(((((20,(21,22)),(23,24)),(25,26)),((27,28),(29,30))),(31,(32,33))))),((34,35),(36,37))),((38,39),((40,42),41))),43)); -23635.5  -18.6226 310.255 160.629 29.8462 -23796.3 0.264978 0.221263 0.260054 0.253705 0.0874673  0.241669  0.142278 0.0848886  0.325388  0.118309
(1,2,((((((((3,4),((5,6),((7,8),(9,10)))),((11,12),(13,14))),((((((15,16),(17,(18,19))),((20,21),((22,23),24))),(31,32)),(((25,26),((27,28),29)),30)),(33,34))),(39,((40,41),42))),(35,(36,37))),38),43)); -23657.9  -29.4275 325.27 161.145 27.1524 -23819.8 0.280112  0.20876 0.271232 0.239896 0.0849903  0.246878  0.156431 0.0829344  0.325632  0.103134
(1,2,(((((3,((4,5),6)),(7,8)),((9,(10,11)),((12,13),14))),((((((15,16),(17,(18,19))),(((20,(21,22)),(23,24)),(25,26))),((32,33),34)),(((27,28),(29,30)),31)),((35,(36,37)),((38,39),((40,42),41))))),43)); -23687.6  -25.2743 314.445 160.944 27.5662 -23843.4 0.259581 0.225557 0.280511 0.234351 0.0820384  0.234983  0.155023 0.0775245  0.339471  0.110959
