tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,((2,3),4),((((((5,6),8),9),7),10),(((((((((11,(16,18)),17),(12,13)),(14,26)),((20,21),23)),(15,22)),(19,24)),25),27))); -6910.96  -3.82362 245.497 113.403 0 -7039.23 0.230928 0.238628 0.299598 0.230846 0.0790643  0.137537 0.0804328  0.240606   0.35429   0.10807
(1,((2,3),4),((5,6),((((7,((((((((((11,16),18),12),(14,26)),(13,17)),((20,21),23)),(15,22)),(19,24)),25),27)),10),9),8))); -6992.94  -9.79702 262.169 113.356 0 -7131.96 0.230925 0.238628 0.299603 0.230845 0.0790621  0.137539 0.0804362  0.240609  0.354285  0.108069
(1,((2,4),3),((((((5,6),8),9),10),7),(((((((((11,(16,18)),17),(12,13)),(14,26)),((20,21),23)),(15,22)),(19,24)),25),27))); -7189.53  -4.88663 249.001 112.132 0 -7321.52 0.230929 0.238633 0.299598  0.23084 0.0790631  0.137538 0.0804373  0.240604  0.354284  0.108073
(1,((2,4),3),((((((5,6),8),9),7),10),(((((((((11,(16,18)),17),(12,13)),(14,26)),((20,21),23)),(15,22)),(19,24)),25),27))); -6888.17  -4.21507 256.189 113.227 0 -7026.91 0.230925 0.238633 0.299603 0.230839 0.0790655  0.137538 0.0804347  0.240608  0.354288  0.108065
(1,(2,(3,4)),((5,6),((((7,(((((((11,(16,18)),((12,(13,17)),(14,26))),((20,21),23)),(15,22)),(19,24)),25),27)),10),9),8))); -6908.86  -8.57961 255.963 113.289 0 -7042.95 0.230929 0.238632 0.299594 0.230845 0.0790675  0.137534 0.0804352  0.240609  0.354284  0.108071
(1,((2,3),4),(((((5,6),8),9),(7,10)),((((((((((11,(16,18)),17),(12,13)),(14,26)),15),((19,24),22)),(20,21)),23),25),27))); -6920.33  -6.76917 244.275 113.251 0 -7044.59 0.230923  0.23863 0.299597  0.23085 0.0790677  0.137535 0.0804357  0.240609  0.354289  0.108064
(1,((2,3),4),(((((5,6),8),9),(7,10)),(((((((((((11,(16,18)),17),(12,13)),(14,26)),22),(21,23)),(19,24)),15),20),25),27))); -6912.16  -8.73631 249.36 113.471 0 -7039.31 0.230931 0.238622 0.299601 0.230846 0.0790708  0.137538 0.0804374  0.240605  0.354281  0.108068
(1,((2,3),4),((5,6),((((7,(((((((((11,(16,18)),12),(14,26)),(13,17)),((20,21),23)),(15,22)),(19,24)),25),27)),10),9),8))); -6947.53  -7.743 270.474 113.231 0 -7097.03 0.230922 0.238633 0.299598 0.230847 0.0790661  0.137535 0.0804352  0.240603  0.354293  0.108067
(1,((2,3),4),((((((5,6),8),9),10),7),(((((((((((11,16),18),17),(12,13)),(14,26)),20),(19,24)),(21,(22,23))),15),25),27))); -6935.64  -7.49921 252.246 113.099 0 -7067.29 0.230929 0.238629 0.299598 0.230844 0.0790638  0.137537 0.0804394  0.240605  0.354287  0.108068
(1,(2,4),(3,((((((5,6),8),9),7),10),(((((((((11,(16,18)),((12,(13,17)),(14,26))),24),(20,21)),15),23),(19,22)),25),27)))); -6927.26  -18.9461 260.776 113.421 0 -7055.67 0.230928 0.238624 0.299601 0.230847  0.079067   0.13754 0.0804349  0.240603  0.354284  0.108071
(1,((2,4),3),((5,6),(((7,(((((((((((11,16),18),12),((13,14),26)),17),20),(19,24)),(21,(22,23))),15),25),27)),10),(8,9)))); -7010.96  -9.81257 260.818 113.424 0 -7148.54 0.230924  0.23863 0.299603 0.230844 0.0790682  0.137536 0.0804356  0.240604  0.354286   0.10807
(1,((2,4),3),((5,6),((((7,((((((((((11,(16,18)),12),(14,26)),(13,17)),(22,23)),(19,24)),15),(20,21)),25),27)),10),9),8))); -6902.9  -10.9683 257.984 113.278 0 -7036.64 0.230927 0.238631 0.299598 0.230844 0.0790649  0.137537 0.0804373  0.240607  0.354284   0.10807
(1,(2,(3,4)),(((((5,6),8),9),(7,10)),((((((((11,(16,18)),((12,26),((13,17),14))),15),23),((19,24),22)),(20,21)),25),27))); -6951.21  -10.5002 244.284 113.217 0 -7071.78  0.23092 0.238631   0.2996 0.230848 0.0790666  0.137534 0.0804349  0.240603   0.35429  0.108072
(1,((2,3),4),((((((5,6),8),9),10),7),((((((((((11,(16,18)),17),(12,13)),(14,26)),15),23),((19,24),22)),(20,21)),25),27))); -6919.86  -5.71311 247.609 113.392 0 -7048.36  0.23093  0.23863 0.299596 0.230844 0.0790665  0.137535 0.0804335   0.24061  0.354289  0.108067
