mu1,mu2,mu3,s1,s2,s3,s4,s5,s6,s7,s8,s9,a1,b1,a2,b2,a3,b3
0.13849,0.159452,0.119135,0.000214763,-1.05868e-05,-1.80856e-05,-1.05868e-05,0.000243683,-1.77485e-05,-1.80856e-05,-1.77485e-05,0.000184473,89.3049,644.849,104.293,654.908,78.8173,658.942
0.0937164,0.0795233,0.164918,0.000137028,-2.78744e-05,-4.02227e-06,-2.78744e-05,0.000119586,-5.926e-06,-4.02227e-06,-5.926e-06,0.000237496,64.0947,683.921,60.7878,730.492,115.582,698.378
0.13849,0.159452,0.119135,0.000214763,-1.05868e-05,-1.80856e-05,-1.05868e-05,0.000243683,-1.77485e-05,-1.80856e-05,-1.77485e-05,0.000184473,89.3049,644.849,102.011,647.703,70.9971,625.398
0.159452,0.13849,0.119135,0.000243683,-1.05868e-05,-1.77485e-05,-1.05868e-05,0.000214763,-1.80856e-05,-1.77485e-05,-1.80856e-05,0.000184473,104.337,654.344,88.4441,642.422,79.3638,661.222
0.0937164,0.0795233,0.164918,0.000137028,-2.78744e-05,-4.02227e-06,-2.78744e-05,0.000119586,-5.926e-06,-4.02227e-06,-5.926e-06,0.000237496,64.0947,683.921,51.015,669.2,114.942,696.441
0.0771297,0.1004,0.100806,0.000104398,-1.0727e-05,-8.93736e-06,-1.0727e-05,0.000131625,-6.66909e-06,-8.93736e-06,-6.66909e-06,0.000132493,56.9838,738.805,78.6492,776.253,81.5666,788.215
0.149667,0.143144,0.0707138,0.000240313,-2.70775e-05,-1.3985e-05,-2.70775e-05,0.000230358,-1.3645e-05,-1.3985e-05,-1.3645e-05,0.000117781,93.2127,622.8,93.1947,640.308,46.3632,632.347
0.0771297,0.1004,0.100806,0.000104398,-1.0727e-05,-8.93736e-06,-1.0727e-05,0.000131625,-6.66909e-06,-8.93736e-06,-6.66909e-06,0.000132493,56.9838,738.805,74.1714,753.832,75.3856,757.762
0.142698,0.14989,0.0684807,0.000230123,-2.77719e-05,-1.32577e-05,-2.77719e-05,0.000241122,-1.36252e-05,-1.32577e-05,-1.36252e-05,0.000117359,88.4862,620.094,99.8049,647.883,41.7799,601.128
0.0771297,0.1004,0.100806,0.000104398,-1.0727e-05,-8.93736e-06,-1.0727e-05,0.000131625,-6.66909e-06,-8.93736e-06,-6.66909e-06,0.000132493,56.9838,738.805,77.3513,769.822,75.8241,759.963
0.159452,0.13849,0.119135,0.000243683,-1.05868e-05,-1.77485e-05,-1.05868e-05,0.000214763,-1.80856e-05,-1.77485e-05,-1.80856e-05,0.000184473,104.337,654.344,88.6356,643.117,76.352,648.555
0.1004,0.0771297,0.100806,0.000131625,-1.0727e-05,-6.66909e-06,-1.0727e-05,0.000104398,-8.93736e-06,-6.66909e-06,-8.93736e-06,0.000132493,76.5816,762.768,58.2173,749.905,78.9335,775.389
0.159452,0.13849,0.119135,0.000243683,-1.05868e-05,-1.77485e-05,-1.05868e-05,0.000214763,-1.80856e-05,-1.77485e-05,-1.80856e-05,0.000184473,104.337,654.344,89.7906,647.294,77.3629,652.834
0.0771297,0.1004,0.100806,0.000104398,-1.0727e-05,-8.93736e-06,-1.0727e-05,0.000131625,-6.66909e-06,-8.93736e-06,-6.66909e-06,0.000132493,56.9838,738.805,75.8601,762.365,74.5149,753.373
0.159452,0.13849,0.119135,0.000243683,-1.05868e-05,-1.77485e-05,-1.05868e-05,0.000214763,-1.80856e-05,-1.77485e-05,-1.80856e-05,0.000184473,104.337,654.344,90.7294,650.669,78.5434,657.796
0.0866707,0.0871418,0.0661577,0.000127388,-2.75626e-05,-3.23429e-06,-2.75626e-05,0.000127766,-6.37707e-06,-3.23429e-06,-6.37707e-06,0.000110469,58.9678,680.365,60.6833,705.842,39.9467,602.688
0.0771297,0.1004,0.100806,0.000104398,-1.0727e-05,-8.93736e-06,-1.0727e-05,0.000131625,-6.66909e-06,-8.93736e-06,-6.66909e-06,0.000132493,56.9838,738.805,75.9736,762.935,75.1256,756.454
0.13849,0.159452,0.119135,0.000214763,-1.05868e-05,-1.80856e-05,-1.05868e-05,0.000243683,-1.77485e-05,-1.80856e-05,-1.77485e-05,0.000184473,89.3049,644.849,102.961,650.713,74.1416,639.098
0.159452,0.13849,0.119135,0.000243683,-1.05868e-05,-1.77485e-05,-1.05868e-05,0.000214763,-1.80856e-05,-1.77485e-05,-1.80856e-05,0.000184473,104.337,654.344,88.8674,643.958,73.867,637.913
0.0771297,0.1004,0.100806,0.000104398,-1.0727e-05,-8.93736e-06,-1.0727e-05,0.000131625,-6.66909e-06,-8.93736e-06,-6.66909e-06,0.000132493,56.9838,738.805,78.5667,775.846,78.8345,774.902
0.159452,0.13849,0.119135,0.000243683,-1.05868e-05,-1.77485e-05,-1.05868e-05,0.000214763,-1.80856e-05,-1.77485e-05,-1.80856e-05,0.000184473,104.337,654.344,89.7484,647.142,81.9031,671.717
0.0771297,0.1004,0.100806,0.000104398,-1.0727e-05,-8.93736e-06,-1.0727e-05,0.000131625,-6.66909e-06,-8.93736e-06,-6.66909e-06,0.000132493,56.9838,738.805,78.8912,777.446,80.4391,782.749
0.159452,0.13849,0.119135,0.000243683,-1.05868e-05,-1.77485e-05,-1.05868e-05,0.000214763,-1.80856e-05,-1.77485e-05,-1.80856e-05,0.000184473,104.337,654.344,87.7154,639.771,75.489,644.879
0.0771297,0.1004,0.100806,0.000104398,-1.0727e-05,-8.93736e-06,-1.0727e-05,0.000131625,-6.66909e-06,-8.93736e-06,-6.66909e-06,0.000132493,56.9838,738.805,79.4015,779.957,79.0565,775.992
0.159452,0.13849,0.119135,0.000243683,-1.05868e-05,-1.77485e-05,-1.05868e-05,0.000214763,-1.80856e-05,-1.77485e-05,-1.80856e-05,0.000184473,104.337,654.344,88.9982,644.431,74.3332,639.923
0.159452,0.13849,0.119135,0.000243683,-1.05868e-05,-1.77485e-05,-1.05868e-05,0.000214763,-1.80856e-05,-1.77485e-05,-1.80856e-05,0.000184473,104.337,654.344,88.1942,641.514,76.9373,651.036
0.0771297,0.1004,0.100806,0.000104398,-1.0727e-05,-8.93736e-06,-1.0727e-05,0.000131625,-6.66909e-06,-8.93736e-06,-6.66909e-06,0.000132493,56.9838,738.805,77.2623,769.379,76.9277,765.473
0.159452,0.13849,0.119135,0.000243683,-1.05868e-05,-1.77485e-05,-1.05868e-05,0.000214763,-1.80856e-05,-1.77485e-05,-1.80856e-05,0.000184473,104.337,654.344,89.9672,647.93,82.0916,672.49
0.13849,0.159452,0.119135,0.000214763,-1.05868e-05,-1.80856e-05,-1.05868e-05,0.000243683,-1.77485e-05,-1.80856e-05,-1.77485e-05,0.000184473,89.3049,644.849,103.712,653.084,76.4078,648.792
0.13849,0.159452,0.119135,0.000214763,-1.05868e-05,-1.80856e-05,-1.05868e-05,0.000243683,-1.77485e-05,-1.80856e-05,-1.77485e-05,0.000184473,89.3049,644.849,104.985,657.079,74.8284,642.051
0.1004,0.0771297,0.100806,0.000131625,-1.0727e-05,-6.66909e-06,-1.0727e-05,0.000104398,-8.93736e-06,-6.66909e-06,-8.93736e-06,0.000132493,76.5816,762.768,57.8278,747.392,79.5725,778.521
0.159452,0.13849,0.119135,0.000243683,-1.05868e-05,-1.77485e-05,-1.05868e-05,0.000214763,-1.80856e-05,-1.77485e-05,-1.80856e-05,0.000184473,104.337,654.344,89.3656,645.76,79.5302,661.915
0.0771297,0.1004,0.100806,0.000104398,-1.0727e-05,-8.93736e-06,-1.0727e-05,0.000131625,-6.66909e-06,-8.93736e-06,-6.66909e-06,0.000132493,56.9838,738.805,76.5535,765.841,77.4695,768.164
0.13849,0.159452,0.119135,0.000214763,-1.05868e-05,-1.80856e-05,-1.05868e-05,0.000243683,-1.77485e-05,-1.80856e-05,-1.77485e-05,0.000184473,89.3049,644.849,105.392,658.351,78.1653,656.211
0.1004,0.0771297,0.100806,0.000131625,-1.0727e-05,-6.66909e-06,-1.0727e-05,0.000104398,-8.93736e-06,-6.66909e-06,-8.93736e-06,0.000132493,76.5816,762.768,57.3061,744.013,73.4826,748.137
0.13849,0.159452,0.119135,0.000214763,-1.05868e-05,-1.80856e-05,-1.05868e-05,0.000243683,-1.77485e-05,-1.80856e-05,-1.77485e-05,0.000184473,89.3049,644.849,106.092,660.534,81.1137,668.473
0.0771297,0.1004,0.100806,0.000104398,-1.0727e-05,-8.93736e-06,-1.0727e-05,0.000131625,-6.66909e-06,-8.93736e-06,-6.66909e-06,0.000132493,56.9838,738.805,77.2139,769.138,77.3563,767.603
0.13849,0.159452,0.119135,0.000214763,-1.05868e-05,-1.80856e-05,-1.05868e-05,0.000243683,-1.77485e-05,-1.80856e-05,-1.77485e-05,0.000184473,89.3049,644.849,102.145,648.131,74.8372,642.089
0.13849,0.159452,0.119135,0.000214763,-1.05868e-05,-1.80856e-05,-1.05868e-05,0.000243683,-1.77485e-05,-1.80856e-05,-1.77485e-05,0.000184473,89.3049,644.849,103.16,651.343,74.8956,642.339
