n1,n2,bl1,n1,n2,bl2,n1,n2,bl3,n1,n2,bl4,n1,n2,bl5,loglik,logprior,logdens,logweight
2,6,0.099340083,5,6,0.019811443,3,5,0.062448389,4,5,0.097246546,1,6,0.083570895,-3366.4604,7.2483471,16.923316,-3376.1353
2,6,0.12932,5,6,0.058480866,3,5,0.11608287,4,5,0.086228409,1,6,0.11524134,-3373.4497,10.10707,13.197011,-3376.5396
2,6,0.081069873,5,6,0.023629406,3,5,0.068222778,4,5,0.10538035,1,6,0.11631379,-3355.5811,7.8923239,17.336162,-3365.025
2,6,0.074746489,5,6,0.032933812,3,5,0.089629741,4,5,0.097655827,1,6,0.12153157,-3352.9904,8.3299487,17.974219,-3362.6347
2,6,0.030074916,5,6,0.058639777,3,5,0.084176526,4,5,0.10189771,1,6,0.092816599,-3384.6416,7.3521105,17.485823,-3394.7753
2,6,0.090438388,5,6,0.055882536,3,5,0.11328825,4,5,0.084184333,1,6,0.10077233,-3363.0373,8.8913167,10.618182,-3364.7641
2,6,0.081358276,5,6,0.039759258,3,5,0.079970651,4,5,0.085501472,1,6,0.11774119,-3353.2326,8.086617,17.273523,-3362.4195
2,6,0.077323263,5,6,0.026565314,3,5,0.091115086,4,5,0.08553448,1,6,0.11127709,-3353.9914,7.8363047,17.63399,-3363.7891
2,6,0.10955071,5,6,0.039874262,3,5,0.095685467,4,5,0.097081298,1,6,0.11219308,-3358.5342,9.0876963,14.945406,-3364.3919
2,6,0.10211453,5,6,0.032551808,3,5,0.086636173,4,5,0.078635337,1,6,0.12159277,-3356.0632,8.4306124,15.060991,-3362.6936
2,6,0.034066701,5,6,0.05744258,3,5,0.092608322,4,5,0.10124666,1,6,0.088066357,-3381.8685,7.4686125,18.043568,-3392.4434
2,6,0.092748934,5,6,0.029704909,3,5,0.058960422,4,5,0.101881,1,6,0.073790294,-3368.5626,7.1417111,16.348714,-3377.7696
2,6,0.087507636,5,6,0.035367123,3,5,0.11701224,4,5,0.080439652,1,6,0.094347885,-3361.032,8.2934908,11.279786,-3364.0183
2,6,0.10003514,5,6,0.056091568,3,5,0.032321898,4,5,0.059939204,1,6,0.10572976,-3394.9865,7.0823513,18.541329,-3406.4454
2,6,0.11540684,5,6,0.039591127,3,5,0.078173719,4,5,0.071198121,1,6,0.12207105,-3361.7963,8.5288171,14.327934,-3367.5955
2,6,0.06862245,5,6,0.027849217,3,5,0.088010588,4,5,0.07644221,1,6,0.13770223,-3356.5769,7.9725338,18.018975,-3366.6234
2,6,0.094078294,5,6,0.029526707,3,5,0.10749975,4,5,0.078203863,1,6,0.098101666,-3359.1112,8.1482056,16.014441,-3366.9774
2,6,0.10509247,5,6,0.071107822,3,5,0.078462122,4,5,0.10420445,1,6,0.117731,-3367.1756,9.5319573,11.352181,-3368.9959
2,6,0.076729976,5,6,0.035670189,3,5,0.09510723,4,5,0.11111034,1,6,0.11573614,-3355.0596,8.6870776,15.245876,-3361.6184
2,6,0.09542475,5,6,0.065768869,3,5,0.047497594,4,5,0.068060073,1,6,0.1053442,-3376.7276,7.6419096,16.573651,-3385.6593
2,6,0.068189374,5,6,0.035121928,3,5,0.066570641,4,5,0.096660368,1,6,0.11418568,-3354.9213,7.6145599,17.365836,-3364.6726
2,6,0.077083469,5,6,0.039691438,3,5,0.081585449,4,5,0.10942381,1,6,0.13178597,-3354.5991,8.7914027,16.858775,-3362.6665
2,6,0.036429699,5,6,0.055088388,3,5,0.12198365,4,5,0.083105399,1,6,0.10087299,-3381.4081,7.9496024,14.559724,-3388.0182
2,6,0.048824915,5,6,0.067888609,3,5,0.083268139,4,5,0.091907605,1,6,0.048265612,-3402.6059,6.8030976,17.244446,-3413.0472
2,6,0.075862615,5,6,0.037807453,3,5,0.079334223,4,5,0.089442834,1,6,0.11958712,-3352.8156,8.040685,18.125856,-3362.9008
2,6,0.095963633,5,6,0.027141442,3,5,0.10549591,4,5,0.068839704,1,6,0.09850333,-3361.3493,7.9188803,14.376527,-3367.8069
2,6,0.087745691,5,6,0.034310864,3,5,0.085262348,4,5,0.09086636,1,6,0.099565199,-3354.4264,7.9550092,17.889977,-3364.3614
2,6,0.066202802,5,6,0.058699489,3,5,0.04834792,4,5,0.033075928,1,6,0.14866427,-3408.4101,7.0998082,17.317677,-3418.628
2,6,0.072197206,5,6,0.032600094,3,5,0.082918379,4,5,0.078237883,1,6,0.12806107,-3354.3476,7.8802927,17.431186,-3363.8985
2,6,0.066981761,5,6,0.023217976,3,5,0.062398356,4,5,0.099979632,1,6,0.11613695,-3358.2075,7.3742936,13.528114,-3364.3613
2,6,0.076238204,5,6,0.071018432,3,5,0.055163489,4,5,0.034177297,1,6,0.12940556,-3402.3783,7.3200597,18.177382,-3413.2356
2,6,0.063355539,5,6,0.038893008,3,5,0.078532711,4,5,0.089509377,1,6,0.12778794,-3354.6251,7.9615714,17.597455,-3364.261
2,6,0.076783609,5,6,0.067776713,3,5,0.054006995,4,5,0.033057201,1,6,0.12170035,-3403.3668,7.0664973,18.61501,-3414.9154
2,6,0.11881009,5,6,0.038792734,3,5,0.11023879,4,5,0.087893152,1,6,0.092526936,-3365.5728,8.9652341,16.118157,-3372.7258
2,6,0.036028485,5,6,0.056385193,3,5,0.08293738,4,5,0.10438964,1,6,0.092711465,-3377.0906,7.4490432,17.229213,-3386.8708
2,6,0.075091579,5,6,0.028495679,3,5,0.076907681,4,5,0.097142716,1,6,0.12559422,-3353.1531,8.0646375,18.30389,-3363.3923
2,6,0.085797586,5,6,0.071356074,3,5,0.030617602,4,5,0.054661437,1,6,0.10146967,-3405.349,6.8780474,15.862433,-3414.3334
2,6,0.078678544,5,6,0.026364189,3,5,0.081652215,4,5,0.11010373,1,6,0.081024295,-3361.6897,7.5564594,17.808736,-3371.942
2,6,0.054696937,5,6,0.051639578,3,5,0.055969191,4,5,0.048180705,1,6,0.11529965,-3381.3694,6.5157211,14.056681,-3388.9103
2,6,0.089843788,5,6,0.027961941,3,5,0.07865852,4,5,0.10495712,1,6,0.12595513,-3354.0017,8.54753,17.574536,-3363.0287
2,6,0.099591157,5,6,0.02437447,3,5,0.087049747,4,5,0.11322449,1,6,0.076386441,-3366.324,8.0125261,16.810848,-3375.1223
2,6,0.078250029,5,6,0.052401817,3,5,0.059899572,4,5,0.032586674,1,6,0.13317071,-3396.6467,7.1261759,17.674516,-3407.195
2,6,0.079162865,5,6,0.013148127,3,5,0.073216557,4,5,0.10078572,1,6,0.085033118,-3366.9446,7.0269278,16.794776,-3376.7124
2,6,0.078846263,5,6,0.024710106,3,5,0.11140954,4,5,0.090155282,1,6,0.13077015,-3357.3775,8.7178269,16.089625,-3364.7493
2,6,0.066896064,5,6,0.038137423,3,5,0.069994896,4,5,0.071935425,1,6,0.1401455,-3358.8429,7.7421862,15.226345,-3366.3271
2,6,0.053801938,5,6,0.070771621,3,5,0.090065616,4,5,0.10823749,1,6,0.028618904,-3440.7009,7.0299114,16.453143,-3450.1241
2,6,0.096556832,5,6,0.028250382,3,5,0.072406512,4,5,0.087453785,1,6,0.080706475,-3362.2286,7.3074797,17.192661,-3372.1137
2,6,0.079351583,5,6,0.028464882,3,5,0.060894101,4,5,0.099553568,1,6,0.066433223,-3372.1568,6.6939471,15.619172,-3381.082
2,6,0.0869541,5,6,0.033376352,3,5,0.10014289,4,5,0.10056332,1,6,0.1288567,-3355.0211,8.9978672,15.07045,-3361.0937
2,6,0.090786994,5,6,0.023212889,3,5,0.080373077,4,5,0.096490338,1,6,0.094436233,-3357.1765,7.7059906,17.936834,-3367.4073
2,6,0.044946042,5,6,0.070686489,3,5,0.072441379,4,5,0.10545543,1,6,0.037347034,-3426.6583,6.6175274,19.276898,-3439.3177
2,6,0.083964742,5,6,0.018527906,3,5,0.067060187,4,5,0.10528906,1,6,0.080899684,-3366.0843,7.1148315,18.354621,-3377.3241
2,6,0.050490765,5,6,0.052615471,3,5,0.11043978,4,5,0.12215758,1,6,0.025803847,-3452.654,7.2301488,8.8167041,-3454.2406
2,6,0.048941856,5,6,0.065967902,3,5,0.08085011,4,5,0.10684321,1,6,0.03780921,-3420.3346,6.8082457,18.929389,-3432.4558
2,6,0.059667931,5,6,0.030271524,3,5,0.092849631,4,5,0.097822218,1,6,0.12097624,-3356.0933,8.0317508,16.129971,-3364.1915
2,6,0.046755083,5,6,0.081614398,3,5,0.091745248,4,5,0.11917364,1,6,0.025840493,-3461.8196,7.3025772,13.727053,-3468.2441
2,6,0.085801758,5,6,0.053637858,3,5,0.098348814,4,5,0.091940497,1,6,0.099666582,-3358.9743,8.5879102,12.820394,-3363.2068
2,6,0.053754637,5,6,0.02852648,3,5,0.087952742,4,5,0.10565926,1,6,0.1294418,-3358.834,8.1066984,14.393775,-3365.121
2,6,0.04164792,5,6,0.059400874,3,5,0.097599191,4,5,0.084902823,1,6,0.10031389,-3371.9835,7.6772939,17.624016,-3381.9302
2,6,0.080360353,5,6,0.036669244,3,5,0.072427355,4,5,0.0749917,1,6,0.10509772,-3355.9823,7.3909274,15.698974,-3364.2903
2,6,0.06571929,5,6,0.031232788,3,5,0.074527477,4,5,0.068115504,1,6,0.12070048,-3358.5175,7.2059109,16.422256,-3367.7338
2,6,0.058247212,5,6,0.029324049,3,5,0.10989294,4,5,0.07249476,1,6,0.12815066,-3362.4111,7.9621923,12.681797,-3367.1307
2,6,0.042882127,5,6,0.070179216,3,5,0.082438249,4,5,0.10217723,1,6,0.038047889,-3426.3759,6.7144943,19.01569,-3438.6771
2,6,0.090090633,5,6,0.063655921,3,5,0.035140071,4,5,0.065947781,1,6,0.10292761,-3388.3994,7.1552403,18.693528,-3399.9377
2,6,0.063209281,5,6,0.050122996,3,5,0.068921559,4,5,0.11186573,1,6,0.10405875,-3359.4739,7.9635663,11.364629,-3362.8749
2,6,0.085439443,5,6,0.026750806,3,5,0.090480292,4,5,0.089553553,1,6,0.098508968,-3355.281,7.8146612,14.589766,-3362.0561
2,6,0.091001223,5,6,0.023867684,3,5,0.084397492,4,5,0.094330948,1,6,0.12768549,-3354.0873,8.4256567,16.643314,-3362.3049
2,6,0.08086949,5,6,0.029389518,3,5,0.076678762,4,5,0.084931578,1,6,0.11308331,-3353.4171,7.6990531,17.645278,-3363.3633
2,6,0.10954012,5,6,0.024709458,3,5,0.079152838,4,5,0.10115187,1,6,0.118999,-3357.3509,8.6710659,16.097507,-3364.7773
2,6,0.076813665,5,6,0.030165335,3,5,0.10029192,4,5,0.066327183,1,6,0.1177134,-3358.4712,7.82623,15.747737,-3366.3927
2,6,0.05869001,5,6,0.039628974,3,5,0.091303301,4,5,0.06728335,1,6,0.1537431,-3363.6687,8.2129747,13.115627,-3368.5714
2,6,0.076745275,5,6,0.029608906,3,5,0.08595698,4,5,0.10475491,1,6,0.1227442,-3353.31,8.3962054,17.980412,-3362.8942
2,6,0.11030226,5,6,0.032791826,3,5,0.073157337,4,5,0.081115531,1,6,0.12582301,-3358.3883,8.4637994,14.675741,-3364.6002
2,6,0.087885655,5,6,0.045772925,3,5,0.094053232,4,5,0.085451936,1,6,0.11660157,-3355.387,8.5953063,17.205575,-3363.9973
2,6,0.037317262,5,6,0.07384591,3,5,0.074698573,4,5,0.10007633,1,6,0.03080665,-3451.5816,6.3348944,17.338318,-3462.585
2,6,0.046325318,5,6,0.058695635,3,5,0.088175375,4,5,0.09993896,1,6,0.042120507,-3411.5811,6.7051159,17.91601,-3422.792
2,6,0.03150658,5,6,0.04723674,3,5,0.10176721,4,5,0.083101904,1,6,0.075055939,-3391.4298,6.7733675,16.264267,-3400.9207
2,6,0.08736791,5,6,0.025117077,3,5,0.071180914,4,5,0.087849785,1,6,0.12286185,-3354.5621,7.8875507,17.000002,-3363.6745
2,6,0.086211577,5,6,0.035403198,3,5,0.067215423,4,5,0.087204121,1,6,0.14759292,-3356.9715,8.4725449,13.877941,-3362.3769
2,6,0.09003346,5,6,0.026068939,3,5,0.068256361,4,5,0.10763571,1,6,0.082796869,-3362.4591,7.4958269,18.475162,-3373.4385
2,6,0.13625587,5,6,0.040536836,3,5,0.068567601,4,5,0.069413793,1,6,0.091341246,-3373.5306,8.1223068,10.362898,-3375.7712
2,6,0.084249671,5,6,0.028573509,3,5,0.10062946,4,5,0.084055154,1,6,0.13460593,-3355.4509,8.6422746,17.154168,-3363.9628
2,6,0.07266787,5,6,0.03894504,3,5,0.080217732,4,5,0.10690561,1,6,0.12634986,-3353.9817,8.5017222,14.398318,-3359.8783
2,6,0.042566477,5,6,0.075810817,3,5,0.067075765,4,5,0.1124106,1,6,0.041446236,-3424.7205,6.7861978,17.723926,-3435.6583
2,6,0.041020805,5,6,0.075481196,3,5,0.10211635,4,5,0.083336058,1,6,0.09260596,-3381.1521,7.8912074,16.348234,-3389.6091
2,6,0.046564323,5,6,0.070486697,3,5,0.076418955,4,5,0.098983709,1,6,0.033298717,-3433.1512,6.515048,19.1792,-3445.8154
2,6,0.08089965,5,6,0.069865545,3,5,0.070588597,4,5,0.020464343,1,6,0.1374823,-3424.7607,7.5860087,13.280116,-3430.4548
2,6,0.12760691,5,6,0.045663101,3,5,0.074260377,4,5,0.10257133,1,6,0.093737409,-3367.1136,8.8767827,14.950603,-3373.1875
2,6,0.092328873,5,6,0.074401721,3,5,0.028450905,4,5,0.07404462,1,6,0.11678934,-3397.8909,7.7203092,16.569457,-3406.74
2,6,0.078341128,5,6,0.051704849,3,5,0.053851308,4,5,0.038753148,1,6,0.12765948,-3389.8617,7.0061983,18.341918,-3401.1974
2,6,0.081303108,5,6,0.020671321,3,5,0.072944089,4,5,0.088793163,1,6,0.11093943,-3355.8459,7.4930222,15.847248,-3364.2001
2,6,0.07065389,5,6,0.020783856,3,5,0.06096232,4,5,0.10307508,1,6,0.15326739,-3361.6787,8.1748506,11.812704,-3365.3166
2,6,0.089277413,5,6,0.03049272,3,5,0.095299209,4,5,0.091424087,1,6,0.11173313,-3353.9803,8.3645313,18.219435,-3363.8352
2,6,0.070982575,5,6,0.04915699,3,5,0.093008115,4,5,0.096325852,1,6,0.096349753,-3357.89,8.1164657,14.075126,-3363.8487
2,6,0.10970265,5,6,0.024748393,3,5,0.073629316,4,5,0.10085876,1,6,0.095170318,-3360.6102,8.0821888,15.108332,-3367.6364
2,6,0.085403345,5,6,0.022158973,3,5,0.073514308,4,5,0.10528061,1,6,0.077317368,-3364.7826,7.2734921,19.020134,-3376.5292
2,6,0.079798781,5,6,0.034687296,3,5,0.083214248,4,5,0.065469638,1,6,0.1129666,-3357.4129,7.5227313,15.826288,-3365.7165
2,6,0.10785256,5,6,0.02866433,3,5,0.079942032,4,5,0.072548662,1,6,0.12065012,-3358.7413,8.1931541,14.755787,-3365.304
2,6,0.070834527,5,6,0.031938895,3,5,0.086786948,4,5,0.084646074,1,6,0.13835575,-3354.5791,8.2512438,17.59369,-3363.9215
2,6,0.051458813,5,6,0.072837472,3,5,0.067920349,4,5,0.11474483,1,6,0.04233941,-3414.8711,6.9860175,17.404839,-3425.2899
2,6,0.089736064,5,6,0.064922978,3,5,0.02547757,4,5,0.071423681,1,6,0.11275433,-3400.593,7.2862924,17.811088,-3411.1178
2,6,0.0813215,5,6,0.045928697,3,5,0.048736999,4,5,0.038374202,1,6,0.14456632,-3395.0144,7.1785543,16.003124,-3403.839
2,6,0.039816243,5,6,0.066866339,3,5,0.071428552,4,5,0.106506,1,6,0.027594756,-3455.905,6.2442378,17.78595,-3467.4467
2,6,0.094315657,5,6,0.023099458,3,5,0.073975909,4,5,0.077691334,1,6,0.095337118,-3359.4509,7.2883895,12.296151,-3364.4587
2,6,0.10726206,5,6,0.034525118,3,5,0.10374388,4,5,0.075550616,1,6,0.083259803,-3364.8674,8.0868296,13.966434,-3370.747
2,6,0.091146653,5,6,0.026807719,3,5,0.075078185,4,5,0.11199424,1,6,0.083533591,-3361.6476,7.7712078,18.211821,-3372.0882
2,6,0.073500519,5,6,0.032397171,3,5,0.1108515,4,5,0.1154666,1,6,0.12309599,-3358.8597,9.1062357,13.193327,-3362.9468
2,6,0.082123925,5,6,0.033769443,3,5,0.10307275,4,5,0.071160507,1,6,0.13320489,-3357.8241,8.4666304,15.50557,-3364.863
2,6,0.082414518,5,6,0.025503879,3,5,0.076203455,4,5,0.10498842,1,6,0.081434279,-3361.3334,7.4108909,18.788642,-3372.7112
2,6,0.093952587,5,6,0.043615302,3,5,0.099773905,4,5,0.096085365,1,6,0.108448,-3356.7925,8.8375031,15.487422,-3363.4424
2,6,0.082890044,5,6,0.028873635,3,5,0.074458029,4,5,0.090084934,1,6,0.10309803,-3354.3439,7.5880935,16.80087,-3363.5567
2,6,0.10071099,5,6,0.050675771,3,5,0.094450015,4,5,0.091550805,1,6,0.11716508,-3358.5977,9.0910533,15.340482,-3364.8472
2,6,0.066583487,5,6,0.044786553,3,5,0.071089035,4,5,0.11650544,1,6,0.13233646,-3357.6061,8.6260197,15.255112,-3364.2352
2,6,0.077943637,5,6,0.066269506,3,5,0.059985447,4,5,0.032081375,1,6,0.11673884,-3400.6525,7.0603761,18.125332,-3411.7174
2,6,0.072120599,5,6,0.045317009,3,5,0.068967744,4,5,0.094128987,1,6,0.12130349,-3354.9203,8.0367565,16.383081,-3363.2666
2,6,0.091018461,5,6,0.031827613,3,5,0.070564333,4,5,0.11913641,1,6,0.076463258,-3365.9722,7.7802015,16.406364,-3374.5984
2,6,0.092090782,5,6,0.035271501,3,5,0.069714205,4,5,0.081169981,1,6,0.11819223,-3355.298,7.9287741,15.302138,-3362.6713
2,6,0.028971243,5,6,0.054516552,3,5,0.1023001,4,5,0.073690109,1,6,0.082620878,-3393.8714,6.8419777,16.828443,-3403.8579
2,6,0.083680908,5,6,0.030588652,3,5,0.082972422,4,5,0.096342839,1,6,0.11689171,-3352.6563,8.2095307,17.877225,-3362.324
2,6,0.094626094,5,6,0.032830835,3,5,0.099584291,4,5,0.079328344,1,6,0.10519168,-3356.4992,8.2312249,16.311709,-3364.5797
2,6,0.092488252,5,6,0.041284737,3,5,0.10447324,4,5,0.0941811,1,6,0.11266164,-3356.6865,8.9017794,16.872246,-3364.657
2,6,0.10225314,5,6,0.02676959,3,5,0.086519377,4,5,0.10481022,1,6,0.11646461,-3355.8868,8.7363389,16.179046,-3363.3295
2,6,0.086677088,5,6,0.080678698,3,5,0.030398435,4,5,0.056916792,1,6,0.11077663,-3407.0895,7.3089529,14.289619,-3414.0701
2,6,0.07423547,5,6,0.059765511,3,5,0.053617207,4,5,0.0408989,1,6,0.14294954,-3391.1669,7.4293327,17.940732,-3401.6783
