n1,n2,bl1,n1,n2,bl2,n1,n2,bl3,n1,n2,bl4,n1,n2,bl5,loglik,logprior,logdens,logweight
2,6,0.10621806,5,6,0.062157178,3,5,0.094013484,4,5,0.098453655,1,6,0.094796968,-3365.746,9.112787,-1.9897831,-3354.6435
2,6,0.12837539,5,6,0.038157673,3,5,0.09682847,4,5,0.081579985,1,6,0.10785922,-3364.4249,9.0560147,-0.77432864,-3354.5945
2,6,0.12737865,5,6,0.038205334,3,5,0.09774974,4,5,0.085655064,1,6,0.095682405,-3365.4215,8.893424,-0.38438743,-3356.1436
2,6,0.10401665,5,6,0.031295754,3,5,0.10313258,4,5,0.086723004,1,6,0.12057201,-3357.339,8.9148,-2.1924321,-3346.2318
2,6,0.11413572,5,6,0.055017484,3,5,0.11537221,4,5,0.091352926,1,6,0.095397237,-3368.7895,9.4255114,-0.92687182,-3358.4372
2,6,0.12301225,5,6,0.058283546,3,5,0.099958748,4,5,0.083397458,1,6,0.11666722,-3368.0859,9.6263844,-0.47319422,-3357.9863
2,6,0.11670049,5,6,0.040973882,3,5,0.08382583,4,5,0.1011788,1,6,0.10800787,-3360.3173,9.0137374,-0.12429134,-3351.1793
2,6,0.11962023,5,6,0.039120408,3,5,0.091053628,4,5,0.08639494,1,6,0.093087,-3362.9093,8.5855242,-0.015132868,-3354.3086
2,6,0.097756745,5,6,0.04025014,3,5,0.094006016,4,5,0.09430226,1,6,0.10914528,-3355.8541,8.7092088,-1.4617632,-3345.6831
2,6,0.11863136,5,6,0.027845994,3,5,0.089080857,4,5,0.082930282,1,6,0.1174535,-3359.6655,8.7188399,-2.2481573,-3348.6985
2,6,0.15048713,5,6,0.047381093,3,5,0.090285444,4,5,0.09102245,1,6,0.11017321,-3373.705,9.7869865,-4.3682662,-3359.5497
2,6,0.10091175,5,6,0.057759269,3,5,0.10890232,4,5,0.081236564,1,6,0.10547166,-3364.0036,9.0856312,-1.1524288,-3353.7656
2,6,0.11252728,5,6,0.043279487,3,5,0.086037651,4,5,0.1017828,1,6,0.1175343,-3359.4306,9.2232304,-0.25358478,-3349.9538
2,6,0.11026307,5,6,0.042798764,3,5,0.099654358,4,5,0.077099606,1,6,0.090282598,-3363.3334,8.401968,-0.26553794,-3354.6659
2,6,0.11733344,5,6,0.055764605,3,5,0.095512164,4,5,0.085656715,1,6,0.10392788,-3365.0969,9.163896,-0.44373963,-3355.4893
2,6,0.13110079,5,6,0.038597459,3,5,0.097459955,4,5,0.089465386,1,6,0.11459234,-3364.8654,9.4243186,-1.1981964,-3354.2429
2,6,0.11037878,5,6,0.032157937,3,5,0.09412255,4,5,0.081813533,1,6,0.096659661,-3359.8139,8.3026491,-0.62863067,-3350.8827
2,6,0.11358308,5,6,0.034680718,3,5,0.11533972,4,5,0.096104288,1,6,0.086439095,-3366.7585,8.922938,-0.076132154,-3357.7594
2,6,0.12497061,5,6,0.037039463,3,5,0.10343285,4,5,0.069100068,1,6,0.10309347,-3366.7363,8.7527292,-0.51577574,-3357.4678
2,6,0.1163149,5,6,0.062276749,3,5,0.085697198,4,5,0.077529293,1,6,0.10488784,-3367.0995,8.9341195,-0.85231335,-3357.3131
2,6,0.12738888,5,6,0.046774759,3,5,0.098410104,4,5,0.0889663,1,6,0.11119861,-3365.5501,9.4547732,-0.51043985,-3355.5849
2,6,0.10925771,5,6,0.054118494,3,5,0.11762074,4,5,0.088175259,1,6,0.09678377,-3367.5269,9.3191195,-0.85064955,-3357.3571
2,6,0.11730157,5,6,0.055977208,3,5,0.097729391,4,5,0.086359847,1,6,0.10128419,-3365.666,9.1730442,-0.5896869,-3355.9032
2,6,0.10661948,5,6,0.042146713,3,5,0.11978529,4,5,0.089302268,1,6,0.097158376,-3364.4394,9.1002425,-0.37162454,-3354.9676
2,6,0.11294003,5,6,0.034980022,3,5,0.11849333,4,5,0.073414982,1,6,0.11311817,-3364.5768,9.0589307,-0.81509604,-3354.7028
2,6,0.10843311,5,6,0.04110543,3,5,0.098133304,4,5,0.074768965,1,6,0.11896145,-3359.913,8.8280452,-0.61570116,-3350.4693
2,6,0.10648566,5,6,0.046864806,3,5,0.093957275,4,5,0.080578757,1,6,0.11212227,-3359.3362,8.8001754,-0.30915494,-3350.2269
2,6,0.11892625,5,6,0.043452295,3,5,0.09095931,4,5,0.098873012,1,6,0.093454134,-3363.5892,8.9133001,-0.093114493,-3354.5828
2,6,0.10279071,5,6,0.044786638,3,5,0.085706763,4,5,0.097374383,1,6,0.091197566,-3359.8016,8.4371212,-0.95454014,-3350.4099
2,6,0.11984234,5,6,0.046354596,3,5,0.09161216,4,5,0.084801146,1,6,0.12344356,-3362.5083,9.321076,-0.26441738,-3352.9228
2,6,0.14623918,5,6,0.041397407,3,5,0.10281087,4,5,0.072241275,1,6,0.11122594,-3373.6015,9.4782933,-3.5848738,-3360.5383
2,6,0.10673185,5,6,0.040720026,3,5,0.10260983,4,5,0.07888546,1,6,0.074938735,-3367.8992,8.077718,-1.1194878,-3358.702
2,6,0.13258188,5,6,0.052198663,3,5,0.088118186,4,5,0.090644776,1,6,0.10775586,-3368.0569,9.4259874,-1.176122,-3357.4548
2,6,0.11295858,5,6,0.053429922,3,5,0.083231578,4,5,0.083543834,1,6,0.090169617,-3364.6638,8.4666706,-0.95556093,-3355.2415
2,6,0.09462195,5,6,0.040451989,3,5,0.086472105,4,5,0.08705461,1,6,0.11186784,-3354.6748,8.4093698,-2.0133677,-3344.2521
2,6,0.10633476,5,6,0.049595992,3,5,0.094500444,4,5,0.091005275,1,6,0.11125176,-3359.6212,9.0537648,-0.3071694,-3350.2603
2,6,0.11491534,5,6,0.051972927,3,5,0.082917888,4,5,0.091938629,1,6,0.09487421,-3363.5379,8.7323799,-0.51380681,-3354.2917
2,6,0.13328944,5,6,0.03941178,3,5,0.10156803,4,5,0.09882542,1,6,0.091034194,-3369.4542,9.2825772,-0.90890161,-3359.2627
2,6,0.11198358,5,6,0.04645389,3,5,0.080384697,4,5,0.10659748,1,6,0.13875001,-3362.0047,9.6833932,-0.63366357,-3351.6876
2,6,0.13067714,5,6,0.026017846,3,5,0.088276403,4,5,0.092002284,1,6,0.098644667,-3364.877,8.7123669,-1.8480973,-3354.3165
2,6,0.12193137,5,6,0.034098932,3,5,0.077934984,4,5,0.083024352,1,6,0.094710805,-3363.1174,8.2340089,-0.28914686,-3354.5942
2,6,0.11947747,5,6,0.048545226,3,5,0.077985546,4,5,0.088829842,1,6,0.11784163,-3362.3631,9.0535942,-0.09564592,-3353.2139
2,6,0.12658542,5,6,0.050519988,3,5,0.083680178,4,5,0.068665454,1,6,0.11134882,-3368.0997,8.8159972,-0.4874941,-3358.7962
2,6,0.11228389,5,6,0.039740267,3,5,0.098655905,4,5,0.10590024,1,6,0.11110413,-3360.5784,9.3536888,-0.26047534,-3350.9643
2,6,0.12397946,5,6,0.062680546,3,5,0.091374067,4,5,0.10883606,1,6,0.11078441,-3370.5321,9.9530909,-0.98179111,-3359.5972
2,6,0.12744185,5,6,0.048824864,3,5,0.087406704,4,5,0.087915038,1,6,0.1056704,-3365.3741,9.1451771,-0.52053337,-3355.7084
2,6,0.11706013,5,6,0.04319399,3,5,0.092311081,4,5,0.061797414,1,6,0.086441863,-3369.714,8.0160896,-0.16762278,-3361.5303
2,6,0.11939033,5,6,0.052505111,3,5,0.097071098,4,5,0.069289849,1,6,0.097822944,-3367.8406,8.7215866,-0.44797638,-3358.671
2,6,0.1194019,5,6,0.049730851,3,5,0.06923491,4,5,0.088178286,1,6,0.11157893,-3363.7508,8.7624977,-0.039392685,-3354.9489
2,6,0.11787644,5,6,0.04608622,3,5,0.080451397,4,5,0.088431927,1,6,0.11597359,-3361.1159,8.9763914,-0.096384094,-3352.0431
2,6,0.12341339,5,6,0.042911496,3,5,0.082572047,4,5,0.08489699,1,6,0.1047184,-3362.7778,8.7702466,-0.18959317,-3353.818
2,6,0.10934201,5,6,0.051081066,3,5,0.10733404,4,5,0.095276417,1,6,0.10818401,-3363.2551,9.4243509,-0.22266957,-3353.6081
2,6,0.11877149,5,6,0.033700819,3,5,0.10996179,4,5,0.083056223,1,6,0.10378838,-3363.3983,8.9855739,-0.47134762,-3353.9414
2,6,0.10373174,5,6,0.052229122,3,5,0.087716913,4,5,0.099437089,1,6,0.099774191,-3360.5165,8.857781,-0.89209491,-3350.7667
2,6,0.10513614,5,6,0.037675056,3,5,0.088006555,4,5,0.09353429,1,6,0.0999345,-3357.4238,8.4857308,-0.67701829,-3348.261
2,6,0.11208803,5,6,0.057504145,3,5,0.10014391,4,5,0.083406061,1,6,0.093650408,-3366.2922,8.9358512,-1.2436906,-3356.1126
2,6,0.096982866,5,6,0.02360403,3,5,0.093576703,4,5,0.075621474,1,6,0.11660667,-3357.0112,8.1278348,-4.9430738,-3343.9403
2,6,0.10429886,5,6,0.041605066,3,5,0.10558406,4,5,0.095657679,1,6,0.10571668,-3359.5567,9.0572471,-0.56555996,-3349.9339
2,6,0.095191649,5,6,0.060463284,3,5,0.10131553,4,5,0.069342931,1,6,0.1017758,-3364.7808,8.561784,-2.1356203,-3354.0834
2,6,0.11151602,5,6,0.036619093,3,5,0.10077197,4,5,0.090045972,1,6,0.11803571,-3358.9952,9.1397753,-0.80164937,-3349.0538
2,6,0.12269067,5,6,0.059291415,3,5,0.095052578,4,5,0.081253627,1,6,0.11817181,-3367.9099,9.5292021,-0.4544956,-3357.9262
2,6,0.11968033,5,6,0.031972808,3,5,0.097764962,4,5,0.083330769,1,6,0.098174624,-3362.2928,8.6184699,-0.47318534,-3353.2012
2,6,0.10100942,5,6,0.038882489,3,5,0.07953255,4,5,0.088931088,1,6,0.10407632,-3356.1038,8.2486373,-1.1551607,-3346.7
2,6,0.09716712,5,6,0.048012635,3,5,0.076527256,4,5,0.082022968,1,6,0.11563629,-3357.1217,8.3873254,-1.2869107,-3347.4475
2,6,0.12832439,5,6,0.045943055,3,5,0.096718421,4,5,0.060226931,1,6,0.10264275,-3371.5698,8.6771108,-0.597017,-3362.2957
