n1,n2,bl1,n1,n2,bl2,n1,n2,bl3,n1,n2,bl4,n1,n2,bl5,loglik,logprior,logdens,logweight
2,6,0.10368725,5,6,0.062725807,3,5,0.085605598,4,5,0.084277996,1,6,0.1040454,-3363.3145,8.8068409,-1.3551324,-3353.1525
2,6,0.06395841,5,6,0.028943149,3,5,0.095278038,4,5,0.092999836,1,6,0.1169338,-3355.3273,7.9622646,-0.99579002,-3346.3692
2,6,0.082805304,5,6,0.025389011,3,5,0.098781797,4,5,0.079971446,1,6,0.13456446,-3356.022,8.4302404,-0.62112101,-3346.9707
2,6,0.075475012,5,6,0.027768742,3,5,0.088303573,4,5,0.095469054,1,6,0.090812132,-3356.935,7.5565702,-0.67436338,-3348.704
2,6,0.039551906,5,6,0.055904423,3,5,0.096322544,4,5,0.088226072,1,6,0.092530912,-3374.4627,7.4507171,-0.44085379,-3366.5711
2,6,0.074102339,5,6,0.031477823,3,5,0.062342045,4,5,0.10021139,1,6,0.12815032,-3355.6448,7.9256782,-0.1864836,-3347.5326
2,6,0.072453262,5,6,0.037210041,3,5,0.062751793,4,5,0.083208284,1,6,0.12004839,-3356.0917,7.5134354,-2.221832,-3346.3564
2,6,0.072904906,5,6,0.053410553,3,5,0.099704357,4,5,0.099463424,1,6,0.11633577,-3358.0186,8.8363801,-0.91907328,-3348.2632
2,6,0.12187125,5,6,0.060153783,3,5,0.086525023,4,5,0.092332386,1,6,0.091486095,-3369.0071,9.0473708,-1.8413274,-3358.1184
2,6,0.1073895,5,6,0.064861951,3,5,0.030135527,4,5,0.062854759,1,6,0.13004594,-3401.3503,7.9057536,-0.40764028,-3393.0369
2,6,0.041197983,5,6,0.085316252,3,5,0.10356922,4,5,0.064919128,1,6,0.084661503,-3392.0288,7.5932817,-3.4109269,-3381.0246
2,6,0.0680586,5,6,0.028366229,3,5,0.079269399,4,5,0.080964829,1,6,0.13436562,-3355.3699,7.8204935,-0.039194966,-3347.5103
2,6,0.080165959,5,6,0.025228572,3,5,0.082117008,4,5,0.1195646,1,6,0.09126164,-3359.8131,7.9667556,-3.5796358,-3348.2667
2,6,0.092737593,5,6,0.04855413,3,5,0.039120298,4,5,0.063106716,1,6,0.096539707,-3382.2404,6.8011689,-0.60547312,-3374.8337
2,6,0.045590802,5,6,0.081254137,3,5,0.075455096,4,5,0.10016492,1,6,0.043465396,-3418.5542,6.9186071,-1.0337585,-3410.6018
2,6,0.11006512,5,6,0.023261279,3,5,0.071120397,4,5,0.089689021,1,6,0.098667019,-3360.539,7.8560567,-1.536634,-3351.1463
2,6,0.090620326,5,6,0.022835163,3,5,0.10609786,4,5,0.082291124,1,6,0.12660607,-3357.2494,8.5690109,-1.6213835,-3347.0591
2,6,0.075100819,5,6,0.065272968,3,5,0.036329365,4,5,0.059147647,1,6,0.11291289,-3389.6956,6.9752737,-0.95396117,-3381.7663
2,6,0.095202289,5,6,0.030419306,3,5,0.069878864,4,5,0.078960431,1,6,0.1048687,-3356.907,7.5865917,-1.3069835,-3348.0135
2,6,0.12548495,5,6,0.02639311,3,5,0.10032765,4,5,0.078415492,1,6,0.098676534,-3365.1782,8.5859547,-1.4939032,-3355.0984
2,6,0.083235353,5,6,0.036571735,3,5,0.069760651,4,5,0.14478653,1,6,0.11215071,-3363.0976,8.9300995,-0.25463971,-3353.9128
2,6,0.079750368,5,6,0.026743725,3,5,0.092332299,4,5,0.077380947,1,6,0.113773,-3354.9469,7.7996067,-0.37680846,-3346.7705
2,6,0.055614243,5,6,0.073879012,3,5,0.069950282,4,5,0.10113088,1,6,0.037576864,-3419.2864,6.7630256,-0.27383854,-3412.2496
2,6,0.044274083,5,6,0.070002997,3,5,0.066420916,4,5,0.095134748,1,6,0.048831587,-3407.6351,6.4932866,-1.1855814,-3399.9562
2,6,0.093585866,5,6,0.055217401,3,5,0.10599532,4,5,0.08440619,1,6,0.10711221,-3360.9834,8.9263398,-1.8862208,-3350.1708
2,6,0.12635933,5,6,0.060161016,3,5,0.094895353,4,5,0.093489189,1,6,0.098645098,-3370.0119,9.4709997,-1.6324124,-3358.9085
2,6,0.046877536,5,6,0.066278536,3,5,0.060826774,4,5,0.11169374,1,6,0.038428384,-3424.0292,6.4820993,-0.07084024,-3417.4763
2,6,0.091098384,5,6,0.062320965,3,5,0.063657257,4,5,0.03192449,1,6,0.15200534,-3402.6536,8.0201287,-0.42513895,-3394.2084
2,6,0.034137224,5,6,0.057362103,3,5,0.083101161,4,5,0.072537871,1,6,0.090763987,-3382.1989,6.7580469,-0.242775,-3375.198
2,6,0.084588135,5,6,0.034941338,3,5,0.073045587,4,5,0.1061451,1,6,0.1347437,-3354.6049,8.6692773,-0.39423103,-3345.5414
2,6,0.045686549,5,6,0.072344144,3,5,0.097356187,4,5,0.082776705,1,6,0.093268679,-3375.5788,7.8286453,-1.636475,-3366.1137
2,6,0.048038398,5,6,0.066748047,3,5,0.076545433,4,5,0.11127885,1,6,0.035142809,-3427.6824,6.7550708,-0.14490355,-3420.7824
2,6,0.089098333,5,6,0.0318613,3,5,0.073934959,4,5,0.098449599,1,6,0.11282262,-3353.6686,8.1233363,-0.46623549,-3345.0791
2,6,0.11500446,5,6,0.065523431,3,5,0.0937542,4,5,0.081850877,1,6,0.10810703,-3367.785,9.2847999,-0.99726035,-3357.503
2,6,0.11115476,5,6,0.024905624,3,5,0.068440924,4,5,0.11122856,1,6,0.099337014,-3362.0181,8.3013377,-2.3688509,-3351.3479
2,6,0.077171469,5,6,0.033402704,3,5,0.07185668,4,5,0.11777303,1,6,0.13343471,-3356.0061,8.6727719,-0.59035169,-3346.743
2,6,0.080248681,5,6,0.059656774,3,5,0.04870253,4,5,0.044811874,1,6,0.13512994,-3389.0496,7.370996,-1.1554548,-3380.5231
2,6,0.018903897,5,6,0.068646162,3,5,0.091596881,4,5,0.1031616,1,6,0.099078414,-3406.0749,7.6277392,-2.4959447,-3395.9512
