mu1,mu2,s1,s2,s3,s4,a1,b1,a2,b2
0.0508892,0.115105,7.38104e-05,-5.35964e-06,-5.35964e-06,0.000137673,0,0,0,0
0.086737,0.0931331,3.66377e-05,3.60234e-07,3.60234e-07,9.96855e-05,0,0,0,0
0.0316107,0.082252,3.29533e-05,-8.08457e-07,-8.08457e-07,8.76378e-05,0,0,0,0
0.089774,0.0830177,3.1041e-05,6.34423e-07,6.34423e-07,8.79595e-05,0,0,0,0
0.0881954,0.0357401,3.08834e-05,1.91144e-06,1.91144e-06,4.61005e-05,0,0,0,0
0.0737423,0.120938,3.0791e-05,1.9866e-06,1.9866e-06,0.000140298,0,0,0,0
0.0714863,0.0948548,2.46791e-05,-8.30206e-09,-8.30206e-09,0.000100353,0,0,0,0
0.0463212,0.0903436,5.45639e-05,-1.18595e-06,-1.18595e-06,9.87473e-05,0,0,0,0
0.0457085,0.116382,6.18323e-05,-4.37907e-06,-4.37907e-06,0.000138031,0,0,0,0
0.0673242,0.0318387,2.65355e-05,1.32944e-07,1.32944e-07,4.522e-05,0,0,0,0
0.100372,0.0362579,4.04148e-05,2.28285e-06,2.28285e-06,4.76635e-05,0,0,0,0
0.0276674,0.083239,2.45864e-05,-5.13052e-07,-5.13052e-07,8.72513e-05,0,0,0,0
0.0750713,0.120788,3.18776e-05,2.10517e-06,2.10517e-06,0.000140684,0,0,0,0
0.0586993,0.0358084,2.00522e-05,2.08908e-08,2.08908e-08,4.51616e-05,0,0,0,0
0.0511091,0.0373419,2.2568e-05,-1.58294e-06,-1.58294e-06,4.59311e-05,0,0,0,0
0.0842876,0.084599,2.81118e-05,3.56576e-07,3.56576e-07,9.01699e-05,0,0,0,0
0.11715,0.0806821,3.68429e-05,5.83632e-06,5.83632e-06,8.82383e-05,0,0,0,0
0.0660186,0.0358553,2.48206e-05,1.56272e-07,1.56272e-07,4.55315e-05,0,0,0,0
0.0816343,0.084363,2.59257e-05,4.10026e-07,4.10026e-07,8.92066e-05,0,0,0,0
0.0369301,0.117735,4.2129e-05,-3.24643e-06,-3.24643e-06,0.000136848,0,0,0,0
0.0837573,0.12064,4.16677e-05,2.13937e-06,2.13937e-06,0.000142565,0,0,0,0
0.0776374,0.0841966,2.31813e-05,4.14536e-07,4.14536e-07,8.82686e-05,0,0,0,0
0.0520303,0.0375806,2.35115e-05,-1.66482e-06,-1.66482e-06,4.61392e-05,0,0,0,0
0.0460714,0.0386656,1.82903e-05,-1.37103e-06,-1.37103e-06,4.59557e-05,0,0,0,0
0.0488218,0.11496,7.06834e-05,-5.18252e-06,-5.18252e-06,0.000137219,0,0,0,0
0.0476839,0.115656,6.80419e-05,-4.85558e-06,-4.85558e-06,0.000137945,0,0,0,0
0.0453087,0.0390456,1.80302e-05,-1.42997e-06,-1.42997e-06,4.7099e-05,0,0,0,0
0.0589928,0.032373,2.5698e-05,-2.26917e-07,-2.26917e-07,4.59319e-05,0,0,0,0
0.0878962,0.0371115,3.05489e-05,1.88288e-06,1.88288e-06,4.60121e-05,0,0,0,0
0.104425,0.0809193,4.20147e-05,1.19584e-06,1.19584e-06,8.74471e-05,0,0,0,0
0.0984371,0.0350802,3.84133e-05,2.29038e-06,2.29038e-06,4.63537e-05,0,0,0,0
0.0462178,0.0375427,1.85666e-05,-1.38538e-06,-1.38538e-06,4.61665e-05,0,0,0,0
0.0963158,0.0823098,3.58178e-05,8.43623e-07,8.43623e-07,8.81582e-05,0,0,0,0
0.0529497,0.11434,8.00064e-05,-5.89114e-06,-5.89114e-06,0.000137441,0,0,0,0
0.0292345,0.0798949,2.98998e-05,-4.83253e-06,-4.83253e-06,8.62308e-05,0,0,0,0
0.0778173,0.12065,3.45908e-05,2.13784e-06,2.13784e-06,0.000140866,0,0,0,0
0.050735,0.0350064,1.88282e-05,-1.42808e-07,-1.42808e-07,4.5827e-05,0,0,0,0
0.100349,0.034074,3.95744e-05,2.4763e-06,2.4763e-06,4.615e-05,0,0,0,0
0.0329551,0.0924957,3.27494e-05,-3.33989e-07,-3.33989e-07,9.88248e-05,0,0,0,0
0.115801,0.0797347,3.51404e-05,5.66305e-06,5.66305e-06,8.71281e-05,0,0,0,0
0.0440734,0.117215,5.66257e-05,-3.88418e-06,-3.88418e-06,0.000138507,0,0,0,0
0.0814976,0.119633,3.69801e-05,2.51797e-06,2.51797e-06,0.000139092,0,0,0,0
0.0677471,0.121286,2.5579e-05,1.86966e-06,1.86966e-06,0.000139979,0,0,0,0
0.0419048,0.11706,5.34285e-05,-3.85156e-06,-3.85156e-06,0.000137799,0,0,0,0
0.0480257,0.116006,6.70845e-05,-4.70738e-06,-4.70738e-06,0.00013822,0,0,0,0
0.0220796,0.0822834,1.86244e-05,-3.31332e-06,-3.31332e-06,8.6939e-05,0,0,0,0
0.0873603,0.0827287,2.92844e-05,6.61683e-07,6.61683e-07,8.74077e-05,0,0,0,0
0.0948459,0.0828444,3.50269e-05,7.36391e-07,7.36391e-07,8.88954e-05,0,0,0,0
0.0465889,0.0382723,1.87514e-05,-1.39477e-06,-1.39477e-06,4.60106e-05,0,0,0,0
0.0890967,0.0924504,3.8008e-05,4.71994e-07,4.71994e-07,9.9197e-05,0,0,0,0
0.0296812,0.0828784,2.51864e-05,-5.27032e-07,-5.27032e-07,8.67048e-05,0,0,0,0
0.039059,0.0385957,1.32065e-05,-1.09148e-06,-1.09148e-06,4.61261e-05,0,0,0,0
