mu1,mu2,s1,s2,s3,s4,a1,b1,a2,b2
0.09486,0.118371,5.09114e-05,3.21314e-06,3.21314e-06,0.000139786,0,0,0,0
0.0721296,0.0949478,2.52785e-05,-1.25429e-08,-1.25429e-08,0.000100809,0,0,0,0
0.0346698,0.0788378,4.21145e-05,-6.67193e-06,-6.67193e-06,8.71099e-05,0,0,0,0
0.126528,0.0795472,4.24325e-05,6.68625e-06,6.68625e-06,8.75173e-05,0,0,0,0
0.0764918,0.0840974,2.24425e-05,3.95733e-07,3.95733e-07,8.7836e-05,0,0,0,0
0.129729,0.0789951,4.44267e-05,6.98721e-06,6.98721e-06,8.76999e-05,0,0,0,0
0.0746276,0.095044,2.76043e-05,-2.29434e-08,-2.29434e-08,0.00010119,0,0,0,0
0.0877711,0.0933161,3.81183e-05,3.33621e-07,3.33621e-07,0.000100149,0,0,0,0
0.0846087,0.0930347,3.43249e-05,3.1041e-07,3.1041e-07,9.96273e-05,0,0,0,0
0.0311687,0.0804462,3.48418e-05,-5.60611e-06,-5.60611e-06,8.76289e-05,0,0,0,0
0.102575,0.0817085,4.07233e-05,1.02563e-06,1.02563e-06,8.8171e-05,0,0,0,0
0.0824844,0.0932529,3.25316e-05,2.92871e-07,2.92871e-07,9.92492e-05,0,0,0,0
0.0385551,0.093227,3.97073e-05,-3.39675e-07,-3.39675e-07,0.000100404,0,0,0,0
0.0790317,0.0939373,3.0188e-05,1.39723e-07,1.39723e-07,0.000100288,0,0,0,0
0.0961662,0.0830486,3.64434e-05,6.74184e-07,6.74184e-07,8.94688e-05,0,0,0,0
0.0883798,0.0926586,3.76209e-05,4.03277e-07,4.03277e-07,9.96747e-05,0,0,0,0
0.0925289,0.118399,4.77959e-05,3.18275e-06,3.18275e-06,0.000138947,0,0,0,0
0.0809765,0.119452,3.62163e-05,2.58178e-06,2.58178e-06,0.000138806,0,0,0,0
0.0707199,0.0851066,1.92742e-05,2.81448e-07,2.81448e-07,8.87087e-05,0,0,0,0
0.078506,0.093966,2.97479e-05,1.34389e-07,1.34389e-07,0.000100143,0,0,0,0
0.0980581,0.0822089,3.72551e-05,9.13432e-07,9.13432e-07,8.8599e-05,0,0,0,0
0.0339241,0.0935587,3.33931e-05,-2.28073e-07,-2.28073e-07,0.000100036,0,0,0,0
0.0925899,0.0924154,4.17728e-05,5.59387e-07,5.59387e-07,9.94763e-05,0,0,0,0
0.0722454,0.0950474,2.55316e-05,-2.55333e-08,-2.55333e-08,0.000100654,0,0,0,0
0.0845178,0.0926249,3.36899e-05,3.75189e-07,3.75189e-07,9.87897e-05,0,0,0,0
0.0308837,0.0826547,3.15636e-05,-7.33413e-07,-7.33413e-07,8.79101e-05,0,0,0,0
0.0296512,0.0954433,2.70377e-05,7.80463e-08,7.80463e-08,0.000101556,0,0,0,0
0.0769239,0.120537,3.34285e-05,2.22158e-06,2.22158e-06,0.0001407,0,0,0,0
0.0847359,0.0841716,2.7985e-05,5.41523e-07,5.41523e-07,8.97665e-05,0,0,0,0
0.0987726,0.0825734,3.82205e-05,7.83844e-07,7.83844e-07,8.89421e-05,0,0,0,0
0.0871917,0.118908,4.22916e-05,2.88023e-06,2.88023e-06,0.00013907,0,0,0,0
0.0652852,0.095789,2.07113e-05,-1.22622e-07,-1.22622e-07,0.000100931,0,0,0,0
0.0755983,0.0955041,2.9272e-05,-7.4393e-08,-7.4393e-08,0.000101586,0,0,0,0
0.066768,0.121596,2.50247e-05,1.77095e-06,1.77095e-06,0.000140395,0,0,0,0
0.106402,0.0809046,2.98325e-05,4.9218e-06,4.9218e-06,8.74e-05,0,0,0,0
0.1071,0.0810586,3.03463e-05,4.9832e-06,4.9832e-06,8.75604e-05,0,0,0,0
0.114089,0.0796593,3.40287e-05,5.4868e-06,5.4868e-06,8.67668e-05,0,0,0,0
0.0273539,0.0815285,2.84729e-05,-4.72558e-06,-4.72558e-06,8.78818e-05,0,0,0,0
0.0794537,0.119936,3.52791e-05,2.44536e-06,2.44536e-06,0.000139988,0,0,0,0
0.0922871,0.0831345,3.3151e-05,6.4887e-07,6.4887e-07,8.8834e-05,0,0,0,0
0.0836038,0.0934646,3.39584e-05,2.37043e-07,2.37043e-07,0.000100178,0,0,0,0
0.0329449,0.0826334,3.44524e-05,-7.70228e-07,-7.70228e-07,8.83983e-05,0,0,0,0
0.0826538,0.119344,3.78554e-05,2.64785e-06,2.64785e-06,0.000138974,0,0,0,0
0.0307237,0.0833146,3.18177e-05,-6.31001e-07,-6.31001e-07,8.89675e-05,0,0,0,0
0.033042,0.120059,3.3114e-05,-2.31266e-06,-2.31266e-06,0.000139105,0,0,0,0
0.0967249,0.0827265,3.65415e-05,7.48066e-07,7.48066e-07,8.88844e-05,0,0,0,0
0.0782106,0.0936156,2.90769e-05,1.67861e-07,1.67861e-07,9.9651e-05,0,0,0,0
0.0712398,0.0953703,2.50411e-05,-6.77551e-08,-6.77551e-08,0.000101066,0,0,0,0
0.120149,0.0803552,3.86925e-05,6.10443e-06,6.10443e-06,8.82488e-05,0,0,0,0
0.0823881,0.119164,3.72743e-05,2.6978e-06,2.6978e-06,0.000138221,0,0,0,0
0.126431,0.0785381,4.15555e-05,6.58831e-06,6.58831e-06,8.64814e-05,0,0,0,0
0.0289632,0.0808621,3.13925e-05,-5.135e-06,-5.135e-06,8.76307e-05,0,0,0,0
0.0397033,0.0811544,4.54845e-05,-1.21915e-06,-1.21915e-06,8.82441e-05,0,0,0,0
0.0282135,0.083897,2.89294e-05,-5.33079e-07,-5.33079e-07,8.93303e-05,0,0,0,0
0.0871399,0.0829433,2.91402e-05,6.34005e-07,6.34005e-07,8.76348e-05,0,0,0,0
0.0872691,0.0837776,2.96959e-05,5.02904e-07,5.02904e-07,8.90711e-05,0,0,0,0
0.0268545,0.12196,2.54901e-05,-1.70755e-06,-1.70755e-06,0.000141359,0,0,0,0
0.0294595,0.121257,2.76773e-05,-1.87371e-06,-1.87371e-06,0.00014028,0,0,0,0
0.0793853,0.0934053,2.98901e-05,2.03396e-07,2.03396e-07,9.94518e-05,0,0,0,0
0.0683424,0.121076,2.59114e-05,1.8959e-06,1.8959e-06,0.00013944,0,0,0,0
0.123363,0.0799168,4.05415e-05,6.38885e-06,6.38885e-06,8.78801e-05,0,0,0,0
0.0261773,0.0844157,2.17572e-05,-3.61215e-07,-3.61215e-07,8.81907e-05,0,0,0,0
0.0318797,0.120703,3.29965e-05,-2.11172e-06,-2.11172e-06,0.000140594,0,0,0,0
0.0282466,0.0817144,2.93972e-05,-4.82153e-06,-4.82153e-06,8.81576e-05,0,0,0,0
0.084876,0.119596,4.07912e-05,2.58052e-06,2.58052e-06,0.000140157,0,0,0,0
0.107241,0.0812572,4.46537e-05,1.18537e-06,1.18537e-06,8.83407e-05,0,0,0,0
0.123387,0.0798204,4.03968e-05,6.38432e-06,6.38432e-06,8.7608e-05,0,0,0,0
0.0784025,0.120028,3.42912e-05,2.36351e-06,2.36351e-06,0.000139605,0,0,0,0
0.103747,0.0810853,2.83283e-05,4.70548e-06,4.70548e-06,8.72018e-05,0,0,0,0
0.0974402,0.0823905,3.68483e-05,8.60006e-07,8.60006e-07,8.86814e-05,0,0,0,0
0.03086,0.0944534,2.66262e-05,-6.05565e-08,-6.05565e-08,9.99409e-05,0,0,0,0
0.0360921,0.0829356,3.78315e-05,-6.79263e-07,-6.79263e-07,8.94527e-05,0,0,0,0
0.0879869,0.0927893,3.73928e-05,4.08114e-07,4.08114e-07,9.95173e-05,0,0,0,0
0.0773054,0.0940208,2.87364e-05,1.31903e-07,1.31903e-07,9.97638e-05,0,0,0,0
0.0340223,0.119855,3.70118e-05,-2.44948e-06,-2.44948e-06,0.000139829,0,0,0,0
0.0813585,0.0929617,3.11903e-05,2.68286e-07,2.68286e-07,9.90995e-05,0,0,0,0
0.0992408,0.0826332,2.67434e-05,4.38965e-06,4.38965e-06,8.84611e-05,0,0,0,0
0.0970443,0.0824539,3.65204e-05,8.07549e-07,8.07549e-07,8.8375e-05,0,0,0,0
0.0759629,0.120683,3.26868e-05,2.0945e-06,2.0945e-06,0.000140307,0,0,0,0
