mu1,mu2,s1,s2,s3,s4,a1,b1,a2,b2
0.0844231,0.0942408,3.62444e-05,1.33209e-07,1.33209e-07,0.000101125,0,0,0,0
0.0735735,0.0943767,2.58687e-05,5.90328e-08,5.90328e-08,0.000100398,0,0,0,0
0.125126,0.0792708,4.11088e-05,6.52343e-06,6.52343e-06,8.71676e-05,0,0,0,0
0.0863496,0.0361557,2.95781e-05,1.84587e-06,1.84587e-06,4.60251e-05,0,0,0,0
0.0771953,0.0943183,2.89952e-05,8.1505e-08,8.1505e-08,0.000100488,0,0,0,0
0.0962166,0.0345702,3.67492e-05,2.22165e-06,2.22165e-06,4.62902e-05,0,0,0,0
0.109738,0.0804708,3.15793e-05,5.15454e-06,5.15454e-06,8.68519e-05,0,0,0,0
0.0770118,0.0348027,3.39561e-05,2.61885e-07,2.61885e-07,4.5784e-05,0,0,0,0
0.0992397,0.081504,3.78716e-05,1.00781e-06,1.00781e-06,8.74124e-05,0,0,0,0
0.0322974,0.0930174,3.23569e-05,-2.80787e-07,-2.80787e-07,9.94065e-05,0,0,0,0
0.12602,0.0786316,4.13688e-05,6.55737e-06,6.55737e-06,8.66986e-05,0,0,0,0
0.0530454,0.0363769,2.0384e-05,-1.09073e-07,-1.09073e-07,4.53924e-05,0,0,0,0
0.0831763,0.0834575,2.65878e-05,5.49935e-07,5.49935e-07,8.79919e-05,0,0,0,0
0.0924269,0.0828224,3.30191e-05,7.19284e-07,7.19284e-07,8.83724e-05,0,0,0,0
0.0804279,0.0939399,3.15299e-05,1.50943e-07,1.50943e-07,0.000100334,0,0,0,0
0.122452,0.0794917,3.94225e-05,6.27442e-06,6.27442e-06,8.73031e-05,0,0,0,0
0.0406281,0.117177,4.9136e-05,-3.68407e-06,-3.68407e-06,0.000137062,0,0,0,0
0.0246666,0.0818061,2.33348e-05,-4.01599e-06,-4.01599e-06,8.72326e-05,0,0,0,0
0.0461614,0.0369464,1.57211e-05,-1.59383e-07,-1.59383e-07,4.70724e-05,0,0,0,0
0.0581699,0.0354233,2.44494e-05,-1.06556e-07,-1.06556e-07,4.52052e-05,0,0,0,0
0.050706,0.116706,7.18921e-05,-4.34027e-06,-4.34027e-06,0.000140341,0,0,0,0
0.0442499,0.116727,5.69592e-05,-4.11728e-06,-4.11728e-06,0.000137632,0,0,0,0
0.118479,0.0792379,5.42161e-05,1.82345e-06,1.82345e-06,8.71873e-05,0,0,0,0
0.0724182,0.0348751,3.03059e-05,1.58722e-07,1.58722e-07,4.53254e-05,0,0,0,0
0.0410092,0.0365491,1.43982e-05,-1.07674e-06,-1.07674e-06,4.57714e-05,0,0,0,0
0.0224285,0.0839712,2.11655e-05,-4.67019e-07,-4.67019e-07,8.7958e-05,0,0,0,0
0.0508647,0.0372402,1.9083e-05,-1.89032e-07,-1.89032e-07,4.70324e-05,0,0,0,0
0.0883796,0.0359832,3.07514e-05,1.96942e-06,1.96942e-06,4.58793e-05,0,0,0,0
0.0734277,0.0351791,3.12461e-05,1.43518e-07,1.43518e-07,4.52909e-05,0,0,0,0
0.0753527,0.0327613,3.3017e-05,2.11964e-07,2.11964e-07,4.54578e-05,0,0,0,0
0.074244,0.0320652,3.25309e-05,1.45415e-07,1.45415e-07,4.54058e-05,0,0,0,0
0.0731659,0.0945995,2.5738e-05,3.92706e-08,3.92706e-08,0.000100704,0,0,0,0
0.0792964,0.0356083,2.49722e-05,1.65569e-06,1.65569e-06,4.59352e-05,0,0,0,0
0.0366052,0.0391739,1.17152e-05,-1.04223e-06,-1.04223e-06,4.68092e-05,0,0,0,0
0.0814271,0.0935756,3.19781e-05,2.12702e-07,2.12702e-07,9.98666e-05,0,0,0,0
0.0198374,0.0832407,1.51696e-05,-2.85025e-06,-2.85025e-06,8.72591e-05,0,0,0,0
0.0777214,0.120275,3.39181e-05,2.26667e-06,2.26667e-06,0.000139945,0,0,0,0
0.047808,0.116245,6.54027e-05,-4.56719e-06,-4.56719e-06,0.000138253,0,0,0,0
0.0499896,0.0361863,1.82685e-05,-1.40056e-07,-1.40056e-07,4.6011e-05,0,0,0,0
0.0250566,0.0838192,2.44021e-05,-5.23946e-07,-5.23946e-07,8.82958e-05,0,0,0,0
0.0919448,0.0922287,4.07769e-05,5.0427e-07,5.0427e-07,9.96843e-05,0,0,0,0
0.0278006,0.0805816,2.63315e-05,-4.34665e-06,-4.34665e-06,8.61265e-05,0,0,0,0
0.130374,0.079397,4.54488e-05,7.07816e-06,7.07816e-06,8.81521e-05,0,0,0,0
0.0461877,0.0385154,1.80598e-05,-1.28989e-06,-1.28989e-06,4.55643e-05,0,0,0,0
0.0478656,0.115885,6.30102e-05,-4.72106e-06,-4.72106e-06,0.000136909,0,0,0,0
0.036926,0.0809854,3.98599e-05,-1.11939e-06,-1.11939e-06,8.69888e-05,0,0,0,0
0.0429927,0.0386647,1.6144e-05,-1.29078e-06,-1.29078e-06,4.66287e-05,0,0,0,0
0.0883706,0.0833632,3.02189e-05,5.76376e-07,5.76376e-07,8.84512e-05,0,0,0,0
0.0667497,0.0955406,2.16164e-05,-9.66851e-08,-9.66851e-08,0.000100574,0,0,0,0
0.0451084,0.11658,6.26472e-05,-4.26996e-06,-4.26996e-06,0.000138788,0,0,0,0
0.0793277,0.0376868,2.47254e-05,1.66274e-06,1.66274e-06,4.56728e-05,0,0,0,0
0.0995154,0.0345665,3.9454e-05,2.32185e-06,2.32185e-06,4.66444e-05,0,0,0,0
0.0607888,0.0337536,2.12973e-05,1.14836e-07,1.14836e-07,4.52328e-05,0,0,0,0
0.0240101,0.0819816,2.10876e-05,-3.67295e-06,-3.67295e-06,8.68233e-05,0,0,0,0
0.0877244,0.0357512,3.07923e-05,1.85828e-06,1.85828e-06,4.65437e-05,0,0,0,0
0.12047,0.0806125,3.93419e-05,6.15196e-06,6.15196e-06,8.89018e-05,0,0,0,0
0.0495908,0.0393535,2.12436e-05,-1.57134e-06,-1.57134e-06,4.61648e-05,0,0,0,0
0.0797576,0.120181,3.59544e-05,2.3192e-06,2.3192e-06,0.000140252,0,0,0,0
0.0986393,0.082132,3.76555e-05,9.08522e-07,9.08522e-07,8.83466e-05,0,0,0,0
0.0286323,0.0835788,2.8503e-05,-5.71167e-07,-5.71167e-07,8.86672e-05,0,0,0,0
0.0727153,0.0948479,2.56133e-05,1.3225e-08,1.3225e-08,0.000101004,0,0,0,0
0.0245369,0.0814769,2.24765e-05,-3.84386e-06,-3.84386e-06,8.67232e-05,0,0,0,0
0.0573254,0.0357543,2.4087e-05,-1.9278e-07,-1.9278e-07,4.60192e-05,0,0,0,0
0.0199598,0.0831934,1.77986e-05,-3.31335e-06,-3.31335e-06,8.82172e-05,0,0,0,0
0.119554,0.0797643,3.75126e-05,6.00415e-06,6.00415e-06,8.69626e-05,0,0,0,0
0.0607252,0.0334,2.18321e-05,2.24088e-08,2.24088e-08,4.54283e-05,0,0,0,0
0.0772013,0.0941791,2.88303e-05,1.00838e-07,1.00838e-07,0.000100208,0,0,0,0
0.0947464,0.0827548,3.48648e-05,7.63634e-07,7.63634e-07,8.87794e-05,0,0,0,0
0.0487132,0.115613,7.09068e-05,-4.96163e-06,-4.96163e-06,0.000138373,0,0,0,0
0.0709868,0.12125,2.84722e-05,1.90877e-06,1.90877e-06,0.000140615,0,0,0,0
0.0553258,0.0348087,1.77413e-05,4.20662e-08,4.20662e-08,4.50216e-05,0,0,0,0
0.0462013,0.116348,6.31733e-05,-4.42792e-06,-4.42792e-06,0.000138224,0,0,0,0
0.0808852,0.119532,3.62306e-05,2.55726e-06,2.55726e-06,0.00013902,0,0,0,0
0.0235231,0.0818174,2.12005e-05,-3.68365e-06,-3.68365e-06,8.6925e-05,0,0,0,0
0.083728,0.0364699,2.75148e-05,1.85133e-06,1.85133e-06,4.60059e-05,0,0,0,0
0.0243632,0.0814408,2.18708e-05,-3.72958e-06,-3.72958e-06,8.65858e-05,0,0,0,0
0.0984195,0.0823022,3.75735e-05,8.5215e-07,8.5215e-07,8.83757e-05,0,0,0,0
0.0226464,0.0826983,1.8915e-05,-3.38617e-06,-3.38617e-06,8.71648e-05,0,0,0,0
0.0901897,0.0921789,3.87108e-05,5.4022e-07,5.4022e-07,9.88714e-05,0,0,0,0
0.0902385,0.0826876,3.12408e-05,6.96603e-07,6.96603e-07,8.75708e-05,0,0,0,0
0.0504933,0.0373798,2.18885e-05,-1.52048e-06,-1.52048e-06,4.57767e-05,0,0,0,0
0.0746332,0.0330073,3.22395e-05,2.23981e-07,2.23981e-07,4.55375e-05,0,0,0,0
0.0472965,0.116234,6.58068e-05,-4.54816e-06,-4.54816e-06,0.000138479,0,0,0,0
0.0265574,0.0835307,2.45083e-05,-5.13655e-07,-5.13655e-07,8.7743e-05,0,0,0,0
0.028815,0.083458,2.56662e-05,-5.16089e-07,-5.16089e-07,8.76619e-05,0,0,0,0
0.0399174,0.0910951,3.96578e-05,-6.92046e-07,-6.92046e-07,9.76606e-05,0,0,0,0
0.0913724,0.0920257,3.97834e-05,5.41734e-07,5.41734e-07,9.9128e-05,0,0,0,0
0.0631343,0.0346054,2.33358e-05,4.65828e-08,4.65828e-08,4.52557e-05,0,0,0,0
0.0186409,0.0865083,1.42896e-05,-1.88594e-07,-1.88594e-07,8.97243e-05,0,0,0,0
0.0842178,0.0362119,2.80395e-05,1.80336e-06,1.80336e-06,4.58656e-05,0,0,0,0
0.0510709,0.0355432,1.90416e-05,-1.37154e-07,-1.37154e-07,4.57807e-05,0,0,0,0
0.0491439,0.0382266,2.06921e-05,-1.47216e-06,-1.47216e-06,4.57338e-05,0,0,0,0
0.060717,0.0360454,2.10036e-05,1.11245e-07,1.11245e-07,4.53546e-05,0,0,0,0
0.0785478,0.120081,3.451e-05,2.33819e-06,2.33819e-06,0.00013967,0,0,0,0
0.0478548,0.115085,6.9012e-05,-5.04313e-06,-5.04313e-06,0.000137253,0,0,0,0
0.054954,0.0371561,2.21476e-05,-1.86637e-07,-1.86637e-07,4.63716e-05,0,0,0,0
0.0354973,0.118776,3.96719e-05,-2.88195e-06,-2.88195e-06,0.000138263,0,0,0,0
0.108484,0.080843,3.10307e-05,5.07275e-06,5.07275e-06,8.71825e-05,0,0,0,0
0.0475796,0.0373717,1.95925e-05,-1.42341e-06,-1.42341e-06,4.59862e-05,0,0,0,0
0.094261,0.0826862,3.43866e-05,7.46701e-07,7.46701e-07,8.83536e-05,0,0,0,0
0.052551,0.114802,7.7355e-05,-5.65714e-06,-5.65714e-06,0.000137624,0,0,0,0
0.0768212,0.0942889,2.86198e-05,8.38878e-08,8.38878e-08,0.000100364,0,0,0,0
0.0833597,0.118226,3.74073e-05,2.98777e-06,2.98777e-06,0.000136363,0,0,0,0
0.0394809,0.0902172,4.72473e-05,-8.88439e-07,-8.88439e-07,9.83482e-05,0,0,0,0
0.0313242,0.0826635,3.07024e-05,-7.03468e-07,-7.03468e-07,8.76343e-05,0,0,0,0
0.0277225,0.0832086,2.57907e-05,-5.5602e-07,-5.5602e-07,8.75236e-05,0,0,0,0
0.0306138,0.083202,2.78709e-05,-5.76185e-07,-5.76185e-07,8.76923e-05,0,0,0,0
0.0257415,0.0837199,2.22036e-05,-4.38773e-07,-4.38773e-07,8.74615e-05,0,0,0,0
0.0349863,0.0924104,3.50154e-05,-4.11054e-07,-4.11054e-07,9.88532e-05,0,0,0,0
0.0816761,0.0932584,3.18018e-05,2.45568e-07,2.45568e-07,9.96024e-05,0,0,0,0
0.119116,0.0800122,3.75342e-05,5.98988e-06,5.98988e-06,8.76383e-05,0,0,0,0
0.105596,0.0811831,4.30183e-05,1.17513e-06,1.17513e-06,8.78256e-05,0,0,0,0
0.120989,0.0801338,3.89749e-05,6.16638e-06,6.16638e-06,8.77379e-05,0,0,0,0
0.0298842,0.0826429,2.76552e-05,-6.21172e-07,-6.21172e-07,8.70222e-05,0,0,0,0
0.117084,0.0805242,3.65282e-05,5.81403e-06,5.81403e-06,8.76252e-05,0,0,0,0
0.103695,0.0819091,2.88823e-05,4.74222e-06,4.74222e-06,8.83035e-05,0,0,0,0
0.0922239,0.0916964,4.02413e-05,5.69422e-07,5.69422e-07,9.90625e-05,0,0,0,0
0.0487865,0.114933,6.96771e-05,-5.14976e-06,-5.14976e-06,0.000136947,0,0,0,0
0.0942431,0.091482,4.20242e-05,6.7111e-07,6.7111e-07,9.87277e-05,0,0,0,0
0.089592,0.0357339,3.16694e-05,1.99854e-06,1.99854e-06,4.59275e-05,0,0,0,0
0.047721,0.0389688,2.02331e-05,-1.5993e-06,-1.5993e-06,4.7958e-05,0,0,0,0
0.0308281,0.0828032,2.8491e-05,-6.32295e-07,-6.32295e-07,8.72995e-05,0,0,0,0
0.0277479,0.080578,2.72455e-05,-4.5019e-06,-4.5019e-06,8.64165e-05,0,0,0,0
0.0528882,0.114299,7.79301e-05,-5.84279e-06,-5.84279e-06,0.000136902,0,0,0,0
0.0249844,0.0942547,2.11986e-05,4.88703e-08,4.88703e-08,9.95894e-05,0,0,0,0
0.0862429,0.0834186,1.99483e-05,3.54655e-06,3.54655e-06,8.84563e-05,0,0,0,0
0.0803104,0.0845395,2.51344e-05,3.41186e-07,3.41186e-07,8.91482e-05,0,0,0,0
0.0922341,0.0826619,3.27694e-05,7.377e-07,7.377e-07,8.80221e-05,0,0,0,0
0.118822,0.0794907,3.68265e-05,5.90949e-06,5.90949e-06,8.65634e-05,0,0,0,0
0.088361,0.0344216,3.13457e-05,1.89865e-06,1.89865e-06,4.65618e-05,0,0,0,0
0.0625855,0.0335107,2.87718e-05,-2.22951e-07,-2.22951e-07,4.57295e-05,0,0,0,0
0.0501733,0.114358,7.59909e-05,-5.52325e-06,-5.52325e-06,0.000137302,0,0,0,0
0.0308753,0.0822538,3.20962e-05,-7.89113e-07,-7.89113e-07,8.75229e-05,0,0,0,0
0.0252497,0.0839877,2.68e-05,-5.67214e-07,-5.67214e-07,8.92068e-05,0,0,0,0
0.0699816,0.120611,2.69323e-05,2.05536e-06,2.05536e-06,0.000138898,0,0,0,0
0.0790667,0.0841758,2.40859e-05,4.27714e-07,4.27714e-07,8.84546e-05,0,0,0,0
0.101632,0.0816821,2.74267e-05,4.57454e-06,4.57454e-06,8.7752e-05,0,0,0,0
0.0489803,0.0354867,1.74723e-05,-1.15408e-07,-1.15408e-07,4.56186e-05,0,0,0,0
0.0252463,0.0821488,2.29877e-05,-3.95398e-06,-3.95398e-06,8.72551e-05,0,0,0,0
0.0220952,0.0826997,1.88826e-05,-3.39716e-06,-3.39716e-06,8.73577e-05,0,0,0,0
0.103114,0.0815639,4.10977e-05,1.06457e-06,1.06457e-06,8.80718e-05,0,0,0,0
0.0548839,0.1142,8.75833e-05,-6.2096e-06,-6.2096e-06,0.000138552,0,0,0,0
0.0909454,0.0829423,3.19244e-05,6.75763e-07,6.75763e-07,8.82305e-05,0,0,0,0
0.0515148,0.0338983,1.52232e-05,8.14187e-08,8.14187e-08,4.51786e-05,0,0,0,0
0.0446616,0.0382525,1.70071e-05,-1.25052e-06,-1.25052e-06,4.56391e-05,0,0,0,0
0.0172009,0.0839213,1.24794e-05,-2.48527e-06,-2.48527e-06,8.78462e-05,0,0,0,0
0.0845624,0.0930983,3.43699e-05,3.0253e-07,3.0253e-07,9.9697e-05,0,0,0,0
0.0458684,0.115797,6.23424e-05,-4.59618e-06,-4.59618e-06,0.000137137,0,0,0,0
0.0203724,0.0856496,1.64132e-05,-2.64234e-07,-2.64234e-07,8.89847e-05,0,0,0,0
0.0273958,0.0832942,2.39634e-05,-4.9214e-07,-4.9214e-07,8.71921e-05,0,0,0,0
0.0471126,0.116517,6.52364e-05,-4.38328e-06,-4.38328e-06,0.000138913,0,0,0,0
0.123766,0.0794182,4.02155e-05,6.39555e-06,6.39555e-06,8.70723e-05,0,0,0,0
0.0610639,0.0360952,2.75472e-05,-2.64008e-07,-2.64008e-07,4.6635e-05,0,0,0,0
0.0245852,0.0815743,2.30214e-05,-3.94958e-06,-3.94958e-06,8.69522e-05,0,0,0,0
0.0566351,0.0331733,2.35849e-05,-1.93467e-07,-1.93467e-07,4.58102e-05,0,0,0,0
0.0862728,0.0927689,3.56157e-05,3.47992e-07,3.47992e-07,9.98401e-05,0,0,0,0
0.0469962,0.115546,6.35936e-05,-4.75132e-06,-4.75132e-06,0.000136779,0,0,0,0
0.0286967,0.0828901,2.74068e-05,-6.15082e-07,-6.15082e-07,8.74195e-05,0,0,0,0
0.0790064,0.0941548,3.04742e-05,1.14188e-07,1.14188e-07,0.000100415,0,0,0,0
0.127075,0.0792723,4.26678e-05,6.72846e-06,6.72846e-06,8.76835e-05,0,0,0,0
0.0428358,0.0388922,1.5797e-05,-1.23215e-06,-1.23215e-06,4.59449e-05,0,0,0,0
0.093688,0.0830682,3.42584e-05,6.90235e-07,6.90235e-07,8.91224e-05,0,0,0,0
0.0677988,0.0332647,2.65299e-05,1.70126e-07,1.70126e-07,4.5411e-05,0,0,0,0
0.0518807,0.114714,7.8625e-05,-5.64996e-06,-5.64996e-06,0.000137987,0,0,0,0
0.0752249,0.034085,3.35254e-05,8.67773e-08,8.67773e-08,4.56447e-05,0,0,0,0
0.108124,0.0803412,3.05783e-05,5.00495e-06,5.00495e-06,8.66631e-05,0,0,0,0
0.112855,0.0805923,3.36769e-05,5.43899e-06,5.43899e-06,8.73659e-05,0,0,0,0
0.0390193,0.0807824,4.27892e-05,-1.23926e-06,-1.23926e-06,8.71372e-05,0,0,0,0
0.118223,0.0795619,3.66209e-05,5.87482e-06,5.87482e-06,8.71367e-05,0,0,0,0
0.105013,0.0810697,4.25104e-05,1.1875e-06,1.1875e-06,8.77077e-05,0,0,0,0
0.0526951,0.114692,7.85795e-05,-5.72635e-06,-5.72635e-06,0.000137714,0,0,0,0
0.0934646,0.0827944,3.38566e-05,7.90094e-07,7.90094e-07,8.88851e-05,0,0,0,0
