mu1,mu2,mu3,s1,s2,s3,s4,s5,s6,s7,s8,s9,a1,b1,a2,b2,a3,b3
0.0751979,0.126963,0.113735,9.17208e-05,-9.54078e-06,-1.30718e-05,-9.54078e-06,0.000158908,-2.74304e-07,-1.30718e-05,-2.74304e-07,0.000139995,61.6515,819.857,99.805,794.994,90.722,810.467
0.0917159,0.110615,0.12536,0.000112323,-9.9375e-06,-1.06896e-05,-9.9375e-06,0.000137436,-4.69853e-06,-1.06896e-05,-4.69853e-06,0.00015682,74.8892,816.535,88.1312,803.355,100.45,803.551
0.0751979,0.126963,0.113735,9.17208e-05,-9.54078e-06,-1.30718e-05,-9.54078e-06,0.000158908,-2.74304e-07,-1.30718e-05,-2.74304e-07,0.000139995,61.6515,819.857,98.5957,790.163,88.9371,802.454
0.0878377,0.0939408,0.150482,0.000109482,-1.64053e-05,-5.92208e-06,-1.64053e-05,0.000117097,-2.49619e-06,-5.92208e-06,-2.49619e-06,0.000198535,70.4723,802.301,77.2065,820.656,114.023,758.641
0.0939408,0.0878377,0.150482,0.000117097,-1.64053e-05,-2.49619e-06,-1.64053e-05,0.000109482,-5.92208e-06,-2.49619e-06,-5.92208e-06,0.000198535,75.3637,802.247,73.0118,825.338,115.1,762.218
0.126963,0.0751979,0.113735,0.000158908,-9.54078e-06,-2.74304e-07,-9.54078e-06,9.17208e-05,-1.30718e-05,-2.74304e-07,-1.30718e-05,0.000139995,101.44,798.972,64.3289,840.097,92.845,819.895
0.0751979,0.126963,0.113735,9.17208e-05,-9.54078e-06,-1.30718e-05,-9.54078e-06,0.000158908,-2.74304e-07,-1.30718e-05,-2.74304e-07,0.000139995,61.6515,819.857,100.878,799.257,91.5384,814.105
0.0878377,0.0939408,0.150482,0.000109482,-1.64053e-05,-5.92208e-06,-1.64053e-05,0.000117097,-2.49619e-06,-5.92208e-06,-2.49619e-06,0.000198535,70.4723,802.301,77.4143,821.759,113.567,757.126
0.126963,0.0751979,0.113735,0.000158908,-9.54078e-06,-2.74304e-07,-9.54078e-06,9.17208e-05,-1.30718e-05,-2.74304e-07,-1.30718e-05,0.000139995,101.44,798.972,62.5652,828.501,96.6262,836.423
0.0751979,0.126963,0.113735,9.17208e-05,-9.54078e-06,-1.30718e-05,-9.54078e-06,0.000158908,-2.74304e-07,-1.30718e-05,-2.74304e-07,0.000139995,61.6515,819.857,102.771,806.719,94.6638,827.886
0.0878377,0.0939408,0.150482,0.000109482,-1.64053e-05,-5.92208e-06,-1.64053e-05,0.000117097,-2.49619e-06,-5.92208e-06,-2.49619e-06,0.000198535,70.4723,802.301,81.9123,845.296,115.613,763.915
0.0878377,0.0939408,0.150482,0.000109482,-1.64053e-05,-5.92208e-06,-1.64053e-05,0.000117097,-2.49619e-06,-5.92208e-06,-2.49619e-06,0.000198535,70.4723,802.301,75.4358,811.191,113.481,756.838
0.126963,0.0751979,0.113735,0.000158908,-9.54078e-06,-2.74304e-07,-9.54078e-06,9.17208e-05,-1.30718e-05,-2.74304e-07,-1.30718e-05,0.000139995,101.44,798.972,60.7046,816.088,93.8893,824.493
0.0765206,0.102983,0.111193,8.78663e-05,-9.18264e-06,-6.72176e-06,-9.18264e-06,0.000118099,-2.9602e-06,-6.72176e-06,-2.9602e-06,0.00012731,66.6399,870.875,92.7281,889.723,99.604,886.713
0.110615,0.0917159,0.12536,0.000137436,-9.9375e-06,-4.69853e-06,-9.9375e-06,0.000112323,-1.06896e-05,-4.69853e-06,-1.06896e-05,0.00015682,89.0284,804.847,74.8602,819.001,102.099,810.119
0.0751979,0.126963,0.113735,9.17208e-05,-9.54078e-06,-1.30718e-05,-9.54078e-06,0.000158908,-2.74304e-07,-1.30718e-05,-2.74304e-07,0.000139995,61.6515,819.857,100.916,799.408,92.1506,816.823
0.102983,0.0765206,0.111193,0.000118099,-9.18264e-06,-2.9602e-06,-9.18264e-06,8.78663e-05,-6.72176e-06,-2.9602e-06,-6.72176e-06,0.00012731,89.8013,872.004,66.7604,875.226,97.7326,878.343
0.0939408,0.0878377,0.150482,0.000117097,-1.64053e-05,-2.49619e-06,-1.64053e-05,0.000109482,-5.92208e-06,-2.49619e-06,-5.92208e-06,0.000198535,75.3637,802.247,74.529,833.869,114.565,760.444
0.0765206,0.102983,0.111193,8.78663e-05,-9.18264e-06,-6.72176e-06,-9.18264e-06,0.000118099,-2.9602e-06,-6.72176e-06,-2.9602e-06,0.00012731,66.6399,870.875,91.902,885.751,98.6003,882.234
0.0765206,0.102983,0.111193,8.78663e-05,-9.18264e-06,-6.72176e-06,-9.18264e-06,0.000118099,-2.9602e-06,-6.72176e-06,-2.9602e-06,0.00012731,66.6399,870.875,91.6086,884.336,98.0097,879.588
0.110615,0.0917159,0.12536,0.000137436,-9.9375e-06,-4.69853e-06,-9.9375e-06,0.000112323,-1.06896e-05,-4.69853e-06,-1.06896e-05,0.00015682,89.0284,804.847,76.8134,829.616,103.684,816.383
