mu1,mu2,s1,s2,s3,s4,a1,b1,a2,b2
0.0257985,0.0812626,2.2864e-05,-3.86746e-06,-3.86746e-06,8.62262e-05,22.5904,81.7443,79.1056,961.475
0.0522983,0.11394,8.1437e-05,-5.93015e-06,-5.93015e-06,0.000137411,23.1738,53.8038,94.0291,828.522
0.073574,0.12093,3.06003e-05,2.00247e-06,2.00247e-06,0.000140356,51.8861,21.9502,105.139,865.903
0.0867436,0.0928444,3.61889e-05,3.75906e-07,3.75906e-07,9.94919e-05,60.0586,24.8007,86.7004,933.524
0.0905564,0.0354747,3.22063e-05,2.08715e-06,2.08715e-06,4.60199e-05,101.785,68.4511,27.6534,776.32
0.12285,0.0802887,4.07199e-05,6.35992e-06,6.35992e-06,8.85773e-05,79.1958,21.7929,67.415,877.336
0.0853441,0.0927425,3.46447e-05,3.59985e-07,3.59985e-07,9.92513e-05,59.6664,24.04,86.5594,933.893
0.0308409,0.0830683,2.89606e-05,-6.15956e-07,-6.15956e-07,8.77794e-05,23.9739,67.5039,78.7941,947.508
0.101816,0.0822292,4.06447e-05,9.1583e-07,9.1583e-07,8.91982e-05,64.6966,22.3283,75.6256,920.887
0.0468569,0.115883,6.28005e-05,-4.64522e-06,-4.64522e-06,0.000137127,24.0296,55.0203,99.978,854.941
0.0867628,0.0353655,2.97648e-05,1.91175e-06,1.91175e-06,4.59695e-05,101.51,68.7315,27.4098,773.213
0.0266985,0.0808419,2.40941e-05,-4.0005e-06,-4.0005e-06,8.60333e-05,22.9161,82.1897,75.6123,941.122
0.037991,0.117121,4.58119e-05,-3.48981e-06,-3.48981e-06,0.000136731,21.9851,53.08,100.863,859.716
0.0609904,0.0345338,2.17438e-05,4.32377e-08,4.32377e-08,4.51911e-05,80.6257,72.7602,26.3867,764.128
0.0497898,0.115378,6.81769e-05,-5.10733e-06,-5.10733e-06,0.000136941,24.8547,55.846,98.7789,850.498
0.030069,0.0825397,2.83316e-05,-6.4783e-07,-6.4783e-07,8.7044e-05,23.3711,66.6808,78.3782,948.998
0.0302596,0.0930869,2.80492e-05,-1.73423e-07,-1.73423e-07,9.89113e-05,23.1942,59.382,87.6149,941.171
0.058363,0.114089,9.65737e-05,-6.53479e-06,-6.53479e-06,0.000139672,24.0609,53.7904,92.0796,813.233
0.0438991,0.0906519,5.05453e-05,-1.0218e-06,-1.0218e-06,9.86775e-05,26.4248,61.9288,83.6026,920.548
0.0704456,0.034213,2.90183e-05,1.04807e-07,1.04807e-07,4.53017e-05,80.4691,72.402,25.8258,755.043
0.0724848,0.120851,2.94439e-05,2.00731e-06,2.00731e-06,0.000139843,52.5429,22.3456,104.035,862.945
0.0825439,0.119608,3.81319e-05,2.5603e-06,2.5603e-06,0.000139667,51.6714,21.4282,101.928,854.803
0.0921354,0.0350779,3.428e-05,1.9888e-06,1.9888e-06,4.73889e-05,100.752,69.795,26.7863,752.744
0.0473639,0.0376635,1.9092e-05,-1.34072e-06,-1.34072e-06,4.56707e-05,69.4121,101.632,30.955,824.128
0.0832066,0.0932141,3.31947e-05,2.81196e-07,2.81196e-07,9.95481e-05,59.7102,24.3523,87.2239,936.066
0.0263106,0.0941291,2.27519e-05,-5.69423e-09,-5.69423e-09,9.94989e-05,21.8114,57.7565,89.0487,946.029
0.0362936,0.0917599,3.69317e-05,-5.13591e-07,-5.13591e-07,9.83687e-05,25.0355,61.3124,85.6527,933.164
0.0496682,0.0367113,1.83169e-05,-2.09283e-07,-2.09283e-07,4.76287e-05,71.7271,82.8628,28.321,771.135
0.0819374,0.0936824,3.26291e-05,2.04051e-07,2.04051e-07,0.00010006,59.1047,24.2234,87.7239,936.336
0.0215572,0.0853488,1.57625e-05,-2.27871e-07,-2.27871e-07,8.81973e-05,21.8072,64.8019,82.549,967.468
0.0590293,0.0350659,2.55894e-05,-2.1066e-07,-2.1066e-07,4.60137e-05,71.9992,81.9074,26.7724,762.795
0.0822696,0.0939718,3.3425e-05,1.74375e-07,1.74375e-07,0.000100379,59.9234,25.6069,87.9381,935.987
0.0570906,0.0354381,2.37954e-05,-1.67377e-07,-1.67377e-07,4.56941e-05,72.2933,81.9203,27.5183,776.044
0.0383246,0.117282,4.71611e-05,-3.53239e-06,-3.53239e-06,0.000137261,21.7629,52.8079,100.345,855.841
