mu1,mu2,s1,s2,s3,s4,a1,b1,a2,b2
1.03937,0.0590617,0.000861517,0.000702684,0.000702684,0.000784539,0,0,0,0
0.00990524,0.0737734,5.69089e-05,1.04528e-05,1.04528e-05,7.17964e-05,0,0,0,0
0.105397,0.0316687,0.000573924,-0.000482476,-0.000482476,0.000503095,0,0,0,0
1.0778,0.160346,0.00118658,0.0010952,0.0010952,0.00121587,0,0,0,0
0.138181,1.15856,0.000645355,0.000660937,0.000660937,0.00654205,0,0,0,0
0.189487,0.155464,0.000573162,-0.000428172,-0.000428172,0.000650393,0,0,0,0
1.00253,0.0711227,0.000792815,0.000648117,0.000648117,0.000741935,0,0,0,0
0.207694,1.15304,0.00145378,0.0010731,0.0010731,0.00665215,0,0,0,0
0.233696,0.118467,0.000807896,-0.00060449,-0.00060449,0.000783585,0,0,0,0
0.14057,1.15829,0.000666627,0.00067313,0.00067313,0.0065405,0,0,0,0
0.190893,0.154505,0.000585044,-0.000437724,-0.000437724,0.000658478,0,0,0,0
0.134782,0.217653,0.00113915,-0.000996309,-0.000996309,0.00124216,0,0,0,0
0.0214052,0.171292,0.00080778,-0.000769588,-0.000769588,0.000919151,0,0,0,0
0.18954,1.04812,0.00101235,0.000584305,0.000584305,0.00467915,0,0,0,0
0.11339,0.236145,0.000830015,-0.000732299,-0.000732299,0.00101665,0,0,0,0
0.166756,0.102633,0.000727733,-0.000585527,-0.000585527,0.000704601,0,0,0,0
0.0751693,0.0588766,4.89453e-05,-6.72742e-06,-6.72742e-06,5.80741e-05,0,0,0,0
0.921829,0.0818364,0.000676927,0.000547839,0.000547839,0.000653842,0,0,0,0
0.0180637,1.05203,0.000541326,-0.000413081,-0.000413081,0.00463438,0,0,0,0
0.115223,0.23476,0.000831937,-0.000728249,-0.000728249,0.00100755,0,0,0,0
0.130298,0.221249,0.00102497,-0.000894928,-0.000894928,0.0011513,0,0,0,0
0.0180664,0.171427,0.000708816,-0.000681556,-0.000681556,0.000836325,0,0,0,0
0.136611,0.110111,0.000528864,-0.00043535,-0.00043535,0.000571561,0,0,0,0
0.0660699,0.076597,4.03446e-05,7.73974e-06,7.73974e-06,7.16237e-05,0,0,0,0
0.191923,0.15467,0.000652316,-0.000501326,-0.000501326,0.000721595,0,0,0,0
0.0113916,0.179198,0.000426937,-0.000427457,-0.000427457,0.000609928,0,0,0,0
0.165113,0.103918,0.000709578,-0.000570257,-0.000570257,0.000691456,0,0,0,0
0.0752902,0.0586697,4.95786e-05,-6.8405e-06,-6.8405e-06,5.79185e-05,0,0,0,0
0.016493,1.15383,0.00146217,-0.00108543,-0.00108543,0.0066614,0,0,0,0
0.201265,0.146109,0.000665457,-0.000504532,-0.000504532,0.000716025,0,0,0,0
0.200503,1.15352,0.00135574,0.00102599,0.00102599,0.00663834,0,0,0,0
0.0201602,1.0505,0.000660713,-0.000463222,-0.000463222,0.00463888,0,0,0,0
0.112301,0.237238,0.000795851,-0.000698074,-0.000698074,0.000982399,0,0,0,0
1.03579,0.0777129,0.000812961,0.000674483,0.000674483,0.000774085,0,0,0,0
0.189029,1.15524,0.00120409,0.000959954,0.000959954,0.00662233,0,0,0,0
0.2137,0.135464,0.000692973,-0.000515613,-0.000515613,0.000714009,0,0,0,0
0.0779079,0.0568748,0.000377832,-0.000319325,-0.000319325,0.000368794,0,0,0,0
0.976568,0.170958,0.000760733,0.000728441,0.000728441,0.000881468,0,0,0,0
0.141563,0.104988,0.000527144,-0.000429435,-0.000429435,0.000560902,0,0,0,0
0.0510121,0.0778223,3.43135e-05,-6.88196e-06,-6.88196e-06,7.19779e-05,0,0,0,0
0.969682,0.111981,0.000705041,0.000576634,0.000576634,0.000707543,0,0,0,0
0.0802152,0.0578621,5.50282e-05,-7.61525e-06,-7.61525e-06,5.8387e-05,0,0,0,0
0.169677,0.186286,0.00162061,-0.00140594,-0.00140594,0.00158981,0,0,0,0
0.029736,0.161596,0.00122111,-0.00115239,-0.00115239,0.00126884,0,0,0,0
0.148831,1.05173,0.000623429,0.000440718,0.000440718,0.00465022,0,0,0,0
0.124869,0.226526,0.000959529,-0.000835753,-0.000835753,0.00109805,0,0,0,0
0.175596,0.0947912,0.000776686,-0.000621982,-0.000621982,0.00073065,0,0,0,0
0.073714,0.0591238,4.66876e-05,-6.51936e-06,-6.51936e-06,5.81596e-05,0,0,0,0
0.188645,0.0635534,0.000810784,-0.000658042,-0.000658042,0.000744779,0,0,0,0
0.726701,0.125333,0.000398626,0.000328722,0.000328722,0.000483218,0,0,0,0
0.0660175,0.0739803,5.49214e-05,-1.03287e-05,-1.03287e-05,7.21116e-05,0,0,0,0
0.145122,0.121076,0.000571146,-0.000460685,-0.000460685,0.000605216,0,0,0,0
0.0785542,0.0580372,5.22447e-05,-7.32877e-06,-7.32877e-06,5.83523e-05,0,0,0,0
0.130361,0.221118,0.0010183,-0.000888827,-0.000888827,0.00114559,0,0,0,0
0.0206114,0.170199,0.000785306,-0.000752344,-0.000752344,0.000901826,0,0,0,0
0.177788,0.0932133,0.000892385,-0.000730842,-0.000730842,0.000834479,0,0,0,0
0.0255535,1.04883,0.00087724,-0.000543551,-0.000543551,0.00466099,0,0,0,0
0.096059,0.252033,0.000837558,-0.00077329,-0.00077329,0.00108943,0,0,0,0
0.0149971,1.15393,0.00135021,-0.00102825,-0.00102825,0.00663771,0,0,0,0
0.0969393,0.248869,0.000598434,-0.000538126,-0.000538126,0.000853367,0,0,0,0
0.00992363,0.180084,0.000398479,-0.000402614,-0.000402614,0.000588326,0,0,0,0
0.0244918,1.04919,0.000857421,-0.000532728,-0.000532728,0.00466155,0,0,0,0
0.0166567,1.05238,0.000503329,-0.000396931,-0.000396931,0.00463008,0,0,0,0
0.927057,0.226918,0.000960596,0.000836601,0.000836601,0.00109884,0,0,0,0
0.16877,1.04993,0.000801128,0.000508825,0.000508825,0.00466165,0,0,0,0
1.02544,0.212299,0.00119919,0.00103802,0.00103802,0.00126881,0,0,0,0
0.140175,0.107246,0.000567455,-0.000469084,-0.000469084,0.000601711,0,0,0,0
0.0610887,0.0752487,4.86835e-05,-9.12834e-06,-9.12834e-06,7.16993e-05,0,0,0,0
0.0708881,0.0652221,0.000577282,-0.000509229,-0.000509229,0.000552005,0,0,0,0
1.13634,0.154225,0.00140102,0.00128922,0.00128922,0.00139302,0,0,0,0
0.176147,1.04871,0.00086082,0.000539068,0.000539068,0.00465599,0,0,0,0
0.983619,0.217505,0.00112185,0.000973153,0.000973153,0.00121457,0,0,0,0
0.0258599,1.04796,0.000941374,-0.000568198,-0.000568198,0.00466148,0,0,0,0
0.909047,0.228653,0.000933198,0.000814063,0.000814063,0.00108037,0,0,0,0
0.0104759,1.15702,0.000848346,-0.000775295,-0.000775295,0.00656302,0,0,0,0
0.826281,0.148897,0.000614744,0.000458405,0.000458405,0.000672437,0,0,0,0
0.93237,0.099716,0.000644895,0.000535238,0.000535238,0.000658926,0,0,0,0
0.0625026,0.0748748,5.07813e-05,-9.47838e-06,-9.47838e-06,7.17067e-05,0,0,0,0
0.125329,0.119474,0.000449325,-0.000370072,-0.000370072,0.000517451,0,0,0,0
0.0562918,0.076403,4.018e-05,-7.83921e-06,-7.83921e-06,7.19516e-05,0,0,0,0
0.0146336,1.15551,0.00110718,-0.000906893,-0.000906893,0.00660361,0,0,0,0
0.24316,0.109965,0.000854628,-0.000640849,-0.000640849,0.000811789,0,0,0,0
1.05186,0.103804,0.000809048,0.000665155,0.000665155,0.000783587,0,0,0,0
0.0038154,0.0606649,3.9432e-05,5.67294e-06,5.67294e-06,5.83745e-05,0,0,0,0
0.0249099,1.04869,0.000875855,-0.000543724,-0.000543724,0.00465839,0,0,0,0
0.141871,0.211983,0.00121602,-0.00105273,-0.00105273,0.00128184,0,0,0,0
0.162715,0.0872886,0.000703009,-0.000578004,-0.000578004,0.000688499,0,0,0,0
0.0222742,0.07563,4.50975e-05,8.51052e-06,8.51052e-06,7.16718e-05,0,0,0,0
0.917578,0.084699,0.000657436,0.000532171,0.000532171,0.000641258,0,0,0,0
0.0140771,0.0753342,4.78898e-05,9.16833e-06,9.16833e-06,7.21625e-05,0,0,0,0
0.142525,0.123396,0.000564882,-0.000457972,-0.000457972,0.000605645,0,0,0,0
0.0767476,0.0586395,4.94925e-05,-7.10516e-06,-7.10516e-06,5.87798e-05,0,0,0,0
1.01136,0.112937,0.000736087,0.000607434,0.000607434,0.000738588,0,0,0,0
0.0662531,0.06075,3.89145e-05,-5.58888e-06,-5.58888e-06,5.81772e-05,0,0,0,0
0.170619,1.04981,0.000820442,0.000514624,0.000514624,0.0046643,0,0,0,0
0.0960516,0.250111,0.000612597,-0.000552547,-0.000552547,0.000868765,0,0,0,0
0.155684,0.0929469,0.000604209,-0.000489257,-0.000489257,0.000606978,0,0,0,0
0.0200597,0.0762093,4.23292e-05,8.16839e-06,8.16839e-06,7.1972e-05,0,0,0,0
0.0504018,0.082699,0.00026937,-0.000239025,-0.000239025,0.000314373,0,0,0,0
0.832976,0.178224,0.00053575,0.000521516,0.000521516,0.000697587,0,0,0,0
0.154636,0.113181,0.000656026,-0.000531284,-0.000531284,0.000664717,0,0,0,0
0.0878271,0.0558366,6.76292e-05,-9.03854e-06,-9.03854e-06,5.77941e-05,0,0,0,0
0.171586,0.0987634,0.000854119,-0.000701576,-0.000701576,0.0008128,0,0,0,0
0.0750629,0.0588824,4.95102e-05,-6.84741e-06,-6.84741e-06,5.80578e-05,0,0,0,0
0.172484,0.0974659,0.000761815,-0.00061177,-0.00061177,0.000724201,0,0,0,0
0.0867112,0.0560256,6.47079e-05,-8.7089e-06,-8.7089e-06,5.78431e-05,0,0,0,0
0.94638,0.105486,0.000704297,0.000566962,0.000566962,0.000690009,0,0,0,0
0.00758313,0.0594329,4.55949e-05,6.37649e-06,6.37649e-06,5.82709e-05,0,0,0,0
0.184153,0.0873305,0.000845677,-0.000677736,-0.000677736,0.000775663,0,0,0,0
0.0849943,0.0565542,6.28251e-05,-8.3902e-06,-8.3902e-06,5.7818e-05,0,0,0,0
0.189549,1.0472,0.000994253,0.000588434,0.000588434,0.00466307,0,0,0,0
0.135178,0.217805,0.00113239,-0.000984299,-0.000984299,0.00122624,0,0,0,0
0.951484,0.100456,0.00073159,0.000586271,0.000586271,0.00070266,0,0,0,0
0.0813097,0.0574476,5.62752e-05,-7.7097e-06,-7.7097e-06,5.8158e-05,0,0,0,0
0.164244,0.104872,0.000721161,-0.000582338,-0.000582338,0.00070428,0,0,0,0
0.0418437,0.0599795,4.29248e-05,6.00506e-06,6.00506e-06,5.80323e-05,0,0,0,0
0.0138362,1.15528,0.00106874,-0.00088755,-0.00088755,0.0065957,0,0,0,0
0.172664,0.0973726,0.000755279,-0.000604898,-0.000604898,0.000717117,0,0,0,0
0.00698594,0.0602291,4.07057e-05,5.78385e-06,5.78385e-06,5.81954e-05,0,0,0,0
0.0253369,1.0499,0.00081969,-0.000512263,-0.000512263,0.00466632,0,0,0,0
0.107112,0.241477,0.000786548,-0.000702575,-0.000702575,0.000998984,0,0,0,0
0.015035,1.15468,0.00124233,-0.00097691,-0.00097691,0.00662529,0,0,0,0
0.249311,0.104844,0.000872435,-0.000648948,-0.000648948,0.000812481,0,0,0,0
0.0749549,0.0595489,0.000360932,-0.000305868,-0.000305868,0.000358343,0,0,0,0
1.00425,0.171622,0.000792884,0.000759806,0.000759806,0.000911933,0,0,0,0
0.113478,0.235449,0.000797835,-0.000703717,-0.000703717,0.000990391,0,0,0,0
0.0149179,0.175747,0.000548657,-0.00053734,-0.00053734,0.000707463,0,0,0,0
0.192777,0.059997,0.000893509,-0.000734831,-0.000734831,0.000817042,0,0,0,0
0,0.0752957,3.76726e-05,9.97288e-06,9.97288e-06,7.01972e-05,0,0,0,0
0.0223372,1.04935,0.000738268,-0.000494551,-0.000494551,0.00464104,0,0,0,0
0.120751,0.230248,0.000914166,-0.000797389,-0.000797389,0.00106586,0,0,0,0
0.0275654,1.05016,0.000819901,-0.000500152,-0.000500152,0.00467534,0,0,0,0
