((((((1,2),3),4),5),6),7,8); 0.61806944 0.61544405  -0.20896273  -0.21081142
(((((1,2),3),4),5),(6,7),8); 0.21923287 0.22103851  -0.65909434  -0.65553206
((((((1,2),3),4),5),7),6,8); 0.14415561 0.14497841  -0.84116846  -0.83869668
(((((1,2),3),(4,5)),6),7,8); 0.00745319 0.00968755  -2.12765779  -2.01378626
((((1,2),3),(4,5)),(6,7),8); 0.00508998 0.00347931  -2.29328361  -2.45850690
(((((1,2),3),(4,5)),7),6,8); 0.00290856 0.00228207  -2.53632166  -2.64167151
((((((1,2),3),5),4),6),7,8); 0.00054536 0.00068383  -3.26332039  -3.16505393
((((1,2),(4,5)),3),(6,7),8); 0.00054536 0.00024564  -3.26332039  -3.60969549
((((((1,2),3),5),4),7),6,8); 0.00036357 0.00016109  -3.43941165  -3.79293919
(((((1,2),(4,5)),3),6),7,8); 0.00036357 0.00068395  -3.43941165  -3.16497485
(((((1,(2,3)),4),5),6),7,8); 0.00018179 0.00011208  -3.74044164  -3.95046287
(((((1,2),(4,5)),3),7),6,8); 0.00018179 0.00016112  -3.74044164  -3.79286010
(((((1,2),3),5),4),(6,7),8); 0.00018179 0.00024560  -3.74044164  -3.60977457
((((1,2),3),4),(5,(6,7)),8); 0.00018179 0.00018175  -3.74044164  -3.74052073
((((1,5),(4,6)),(2,3)),7,8); 0.00018179 0.00018179  -3.74044164  -3.74044164
(((1,2),(4,(5,(6,7)))),3,8); 0.00018179 0.00018179  -3.74044164  -3.74044164
((1,2),(3,(4,(5,(6,7)))),8); 0.00018179 0.00018179  -3.74044164  -3.74044164
